file, x_pos, y_pos
/data/21_04_I/M1,-7322,34334
/data/21_04_I/M2,-7090,27553
/data/21_04_I/M3,-6866,20749
/data/21_04_I/M4,-6634,14400
/data/21_04_I/M5,-6380,7882
/data/21_04_I/M6,-6112,1142
/data/21_04_I/M7,-5576,-5309
/data/21_04_I/M8,-4836,-12138
/data/28_04_IV/M1,-3973,36559
/data/28_04_IV/M2,-3970,26453
/data/28_04_IV/M3,-4204,4431
/data/28_04_IV/M4,7651,-15741
/data/02_05_II/M1,9085,59589
/data/02_05_II/M2,9416,50198
/data/02_05_II/M3,11147,-4033
/data/02_05_II/M4,11087,-1084
/data/02_05_III/M1,-1838,-12385
/data/02_05_III/M2,-6565,52867
/data/02_05_III/M3,-2046,-10598
/data/02_05_III/M4,-6046,46601
