NomeFile,ValoreFit,ErrFit,χ^2_Rid,GdL
data\12-05_spettrofotometro\ELAB\AU-Vetro_1-cm_IV_1.csv,1.0178970253440899e-07,4.3219902608652176e-10,13415.586738361333,3303
data\12-05_spettrofotometro\ELAB\AU-Vetro_2-cm_IV_1.csv,7.996441229502739e-08,2.4711806116503965e-10,6087.13921253168,3303
data\12-05_spettrofotometro\ELAB\AU-Vetro_4-cm_IV_1.csv,2.9050457922062483e-08,3.320035968218913e-11,121.37857842977215,3303
data\12-05_spettrofotometro\ELAB\AU-Vetro_5-cm_IV_1.csv,5.009497618434566e-08,1.396229882821602e-10,2172.039112908722,3303
data\12-05_spettrofotometro\ELAB\AU-Vetro_6-cm_IV_1.csv,5.182911478476363e-08,1.5285885170798566e-10,2580.9456800976363,3303
data\12-05_spettrofotometro\ELAB\AU-Vetro_7-cm_IV_1.csv,4.320746155640521e-08,1.1042851287721932e-10,1376.9932681715497,3303
data\2-05_spettrofotometro\ELAB\Oro-Oro 1.csv,4.279044210234436e-08,1.328934611947316e-10,1968.5538557843183,3303
data\2-05_spettrofotometro\ELAB\Oror-oro 2_1.csv,4.8273502340090054e-08,1.4724232146282566e-10,2397.352344451105,3300
data\2-05_spettrofotometro\ELAB\Oror-oro 3_1.csv,5.836675162167351e-08,1.624446155140443e-10,2890.6956938143003,3303
data\2-05_spettrofotometro\ELAB\Oror-oro 4_1.csv,6.805607095971812e-08,1.9999448266388323e-10,4231.273682187878,3303
data\2-05_spettrofotometro\ELAB\Oror-oro 5_1.csv,9.865385294377548e-08,4.789969353022783e-10,14935.259993565915,3297
data\2-05_spettrofotometro\ELAB\Oror-oro 6_1.csv,1.0504125979317835e-07,4.849201119230275e-10,15217.481170368292,3303
data\21-04_spettrofotometro\ELAB\AU-PDMS-Vetro-PDMS-Vetro-900-350_1.csv,1.7946094925421185e-08,1.3554299506182744e-10,1843.3995008023319,3303
data\21-04_spettrofotometro\ELAB\AU-Vetro-Vetro-900-350-5nm_1.csv,1.4349402839580059e-08,9.267854052340533e-11,959.423415702204,3303
data\21-04_spettrofotometro\ELAB\AU-Vetro-Vetro-900-350-5nm_2.csv,1.6928527876852486e-09,4.5733863129243275e-11,238.2119577063822,3303
data\21-04_spettrofotometro\ELAB\AU_vetro-Vetro-900-350.csv,9.361859653293721e-08,2.9714444225804234e-10,8036.409250165844,3294
data\5-05_spettrofotometro\vetrino1_spettrofotometro\ELAB\vetroAU-vetro_1_1.csv,8.027373711396147e-08,5.630623279395403e-09,29986.56134099404,3294
data\5-05_spettrofotometro\vetrino1_spettrofotometro\ELAB\vetroAU-vetro_2_1.csv,7.523143951315173e-08,1.8082761847331543e-10,3514.1524070691976,3303
data\5-05_spettrofotometro\vetrino1_spettrofotometro\ELAB\vetroAU-vetro_3_1.csv,6.716915070984842e-08,3.101912706301092e-10,8514.13461963277,3300
data\5-05_spettrofotometro\vetrino1_spettrofotometro\ELAB\vetroAU-vetro_4_1.csv,5.0780490554034655e-08,1.5946303196654517e-10,2786.7350546712114,3300
data\5-05_spettrofotometro\vetrino1_spettrofotometro\ELAB\vetroAU-vetro_5_1.csv,3.7941469819295566e-08,1.4771740817855095e-10,2398.846965775175,3303
data\5-05_spettrofotometro\vetrino2_spettrofotometro\ELAB\vetroAU-vetro_1_2.csv,8.027373711396147e-08,5.630623279395403e-09,29986.56134099404,3294
data\5-05_spettrofotometro\vetrino2_spettrofotometro\ELAB\vetroAU-vetro_2_2.csv,7.523143951315173e-08,1.8082761847331543e-10,3514.1524070691976,3303
data\5-05_spettrofotometro\vetrino2_spettrofotometro\ELAB\vetroAU-vetro_3_2.csv,6.716915070984842e-08,3.101912706301092e-10,8514.13461963277,3300
data\5-05_spettrofotometro\vetrino2_spettrofotometro\ELAB\vetroAU-vetro_4_2.csv,5.0780490554034655e-08,1.5946303196654517e-10,2786.7350546712114,3300
data\5-05_spettrofotometro\vetrino2_spettrofotometro\ELAB\vetroAU-vetro_5_2.csv,3.7941469819295566e-08,1.4771740817855095e-10,2398.846965775175,3303
data\5-05_spettrofotometro\vetrino3_spettrofotometro\ELAB\vetroAU-vetro_1_1.csv,2.0209089579077235e-08,2.0898284296375592e-10,4583.312785572589,3303
data\5-05_spettrofotometro\vetrino3_spettrofotometro\ELAB\vetroAU-vetro_2_1.csv,3.528149286580113e-08,2.391935406941004e-10,5808.131434649954,3303
data\5-05_spettrofotometro\vetrino3_spettrofotometro\ELAB\vetroAU-vetro_3_1.csv,6.336020784402956e-08,6.053547602411596e-11,401.1035691546722,3303
data\9_05_spettrofotometro\ELAB\gold_glass_trasm_3_cm_1.csv,7.877769243457311e-08,2.2274906607206317e-10,5112.184329116555,3303
data\9_05_spettrofotometro\ELAB\gold_glass_trasm_4_cm_1.csv,5.717533050316379e-08,1.7085332275616682e-10,3173.2385847976107,3303
data\9_05_spettrofotometro\ELAB\gold_glass_trasm_5_cm_1.csv,4.913755053642609e-08,1.5622560192742875e-10,2677.0731798952866,3303
data\9_05_spettrofotometro\ELAB\gold_glass_trasm_6_cm_1.csv,4.046170738002803e-08,1.4982466591660585e-10,2465.93255804331,3303
