NomeFile,ValoreFit,ErrFit,χ_2_Rid,GdL
data\12-05_spettrofotometro\ELAB\AU-Vetro_1-cm_IV_1.csv,6e-08,inf,27777.777777777777,3600
data\12-05_spettrofotometro\ELAB\AU-Vetro_2-cm_IV_1.csv,6e-08,inf,27777.777777777777,3600
data\12-05_spettrofotometro\ELAB\AU-Vetro_4-cm_IV_1.csv,6e-08,inf,27777.777777777777,3600
data\12-05_spettrofotometro\ELAB\AU-Vetro_5-cm_IV_1.csv,6e-08,inf,27777.777777777777,3600
data\12-05_spettrofotometro\ELAB\AU-Vetro_6-cm_IV_1.csv,6e-08,inf,27777.777777777777,3600
data\12-05_spettrofotometro\ELAB\AU-Vetro_7-cm_IV_1.csv,6e-08,inf,27777.777777777777,3600
data\2-05_spettrofotometro\ELAB\Oro-Oro 1.csv,6e-08,inf,27777.777777777777,3600
data\2-05_spettrofotometro\ELAB\Oror-oro 2_1.csv,6e-08,inf,27777.777777777777,3600
data\2-05_spettrofotometro\ELAB\Oror-oro 3_1.csv,6e-08,inf,27777.777777777777,3600
data\2-05_spettrofotometro\ELAB\Oror-oro 4_1.csv,6e-08,inf,27777.777777777777,3600
data\2-05_spettrofotometro\ELAB\Oror-oro 5_1.csv,6e-08,inf,27777.77777777778,3596
data\2-05_spettrofotometro\ELAB\Oror-oro 6_1.csv,6e-08,inf,27777.777777777777,3600
data\26-05_spettrofotometro\ELAB\Oro2_Aria_1.csv,6e-08,inf,27777.77777777778,3600
data\26-05_spettrofotometro\ELAB\Oro3_Aria_1.csv,6e-08,inf,27777.777777777777,3600
data\26-05_spettrofotometro\ELAB\Oro4_Aria_1.csv,6e-08,inf,27777.777777777777,3600
data\26-05_spettrofotometro\ELAB\Oro5_Aria_1.csv,6e-08,inf,27777.777777777777,3600
data\26-05_spettrofotometro\ELAB\Oro6_Aria_1.csv,6e-08,inf,27777.777777777777,3600
data\26-05_spettrofotometro\ELAB\Oro7b_Aria_1.csv,6e-08,inf,27777.777777777777,3600
data\26-05_spettrofotometro\ELAB\Oro7_Aria_1.csv,6e-08,inf,27777.777777777777,3600
data\5-05_spettrofotometro\vetrino1_spettrofotometro\ELAB\vetroAU-vetro_1_1.csv,6e-08,inf,27777.777777777777,1872
data\5-05_spettrofotometro\vetrino1_spettrofotometro\ELAB\vetroAU-vetro_2_1.csv,6e-08,inf,27777.777777777777,3600
data\5-05_spettrofotometro\vetrino1_spettrofotometro\ELAB\vetroAU-vetro_3_1.csv,6e-08,inf,27777.777777777777,3600
data\5-05_spettrofotometro\vetrino1_spettrofotometro\ELAB\vetroAU-vetro_4_1.csv,6e-08,inf,27777.777777777777,3600
data\5-05_spettrofotometro\vetrino1_spettrofotometro\ELAB\vetroAU-vetro_5_1.csv,6e-08,inf,27777.777777777777,3600
data\5-05_spettrofotometro\vetrino2_spettrofotometro\ELAB\vetroAU-vetro_1_2.csv,6e-08,inf,27777.777777777777,1872
data\5-05_spettrofotometro\vetrino2_spettrofotometro\ELAB\vetroAU-vetro_2_2.csv,6e-08,inf,27777.777777777777,3600
data\5-05_spettrofotometro\vetrino2_spettrofotometro\ELAB\vetroAU-vetro_3_2.csv,6e-08,inf,27777.777777777777,3600
data\5-05_spettrofotometro\vetrino2_spettrofotometro\ELAB\vetroAU-vetro_4_2.csv,6e-08,inf,27777.777777777777,3600
data\5-05_spettrofotometro\vetrino2_spettrofotometro\ELAB\vetroAU-vetro_5_2.csv,6e-08,inf,27777.777777777777,3600
data\5-05_spettrofotometro\vetrino3_spettrofotometro\ELAB\vetroAU-vetro_1_1.csv,6e-08,inf,27777.777777777777,3600
data\5-05_spettrofotometro\vetrino3_spettrofotometro\ELAB\vetroAU-vetro_2_1.csv,6e-08,inf,27777.777777777777,3600
data\5-05_spettrofotometro\vetrino3_spettrofotometro\ELAB\vetroAU-vetro_3_1.csv,6e-08,inf,27777.777777777777,3600
data\9_05_spettrofotometro\ELAB\gold_glass_trasm_3_cm_1.csv,6e-08,inf,27777.777777777777,3600
data\9_05_spettrofotometro\ELAB\gold_glass_trasm_4_cm_1.csv,6e-08,inf,27777.777777777777,3600
data\9_05_spettrofotometro\ELAB\gold_glass_trasm_5_cm_1.csv,6e-08,inf,27777.777777777777,3600
data\9_05_spettrofotometro\ELAB\gold_glass_trasm_6_cm_1.csv,6e-08,inf,27777.777777777777,3600
