lambda,transmittance,polished,trasm_error
9.000000000000001e-07,0.0054,0.004903741373047585,2.9422448238285506e-05
8.995e-07,0.0401,0.02236225741690832,0.00013417354450144991
8.990000000000001e-07,-0.0172,-0.012849245480352607,-7.709547288211563e-05
8.985000000000001e-07,-0.0402,-0.0299129399508892,-0.0001794776397053352
8.98e-07,-0.0026,-0.0034441647900384153,-2.0664988740230492e-05
8.975000000000001e-07,0.0459,0.04484611626770884,0.000269076697606253
8.97e-07,0.0148,0.011650791151696451,6.99047469101787e-05
8.965e-07,-0.0498,-0.043131820543911306,-0.0002587909232634678
8.960000000000001e-07,-0.0083,-0.012011577424023156,-7.206946454413893e-05
8.955e-07,0.0438,0.17415506958250496,0.0010449304174950298
8.95e-07,-0.0055,-0.006523544063574902,-3.914126438144941e-05
8.945000000000001e-07,-0.0214,-0.01897836112096488,-0.00011387016672578928
8.94e-07,0.0524,0.05477733639974911,0.00032866401839849464
8.935000000000001e-07,0.0036,0.0027283061765820387,1.636983705949223e-05
8.930000000000001e-07,0.0188,0.01828615893395584,0.00010971695360373503
8.925e-07,-0.0005,-0.000554016620498615,-3.32409972299169e-06
8.920000000000001e-07,0.0051,0.00547386497799721,3.2843189867983264e-05
8.915000000000001e-07,-0.0422,-0.04470812586079034,-0.00026824875516474206
8.91e-07,0.0023,0.00237603305785124,1.4256198347107438e-05
8.905000000000001e-07,0.0006,0.0010366275051831375,6.219765031098825e-06
8.900000000000001e-07,0.011,0.01211453744493392,7.268722466960351e-05
8.895e-07,0.0093,0.008736496007515264,5.2418976045091584e-05
8.890000000000001e-07,-0.0144,-0.014605943807688405,-8.763566284613044e-05
8.885e-07,0.0389,0.033557625948930296,0.00020134575569358176
8.88e-07,0.0415,0.05434070970276286,0.00032604425821657713
8.875000000000001e-07,-0.0031,-0.002595228128924236,-1.5571368773545416e-05
8.87e-07,0.0171,0.016415474704809446,9.849284822885668e-05
8.865e-07,-0.0104,-0.010917488977535167,-6.550493386521099e-05
8.860000000000001e-07,-0.0126,-0.010649087221095335,-6.389452332657201e-05
8.855e-07,0.02,0.022948938611589212,0.00013769363166953527
8.850000000000001e-07,-0.0086,-0.008054697012269364,-4.832818207361618e-05
8.845000000000001e-07,0.0025,0.0025722810988784857,1.5433686593270915e-05
8.84e-07,0.0189,0.017333088774761553,0.00010399853264856932
8.835000000000001e-07,-0.0109,-0.010241473268815183,-6.144883961289109e-05
8.830000000000001e-07,0.0008,0.0006954707467617143,4.172824480570286e-06
8.825e-07,0.0143,0.0163596842466537,9.81581054799222e-05
8.820000000000001e-07,0.0089,0.008580794446586966,5.148476667952179e-05
8.815e-07,-0.011,-0.011671087533156498,-7.002652519893898e-05
8.81e-07,0.0061,0.00698659947314168,4.191959683885008e-05
8.805000000000001e-07,-0.0057,-0.005661501787842671,-3.396901072705602e-05
8.8e-07,-0.0089,-0.00982773851590106,-5.896643109540636e-05
8.795e-07,-0.0081,-0.010018552875695733,-6.01113172541744e-05
8.790000000000001e-07,0.0121,0.012444718708217627,7.466831224930575e-05
8.785e-07,-0.0043,-0.004185322172474207,-2.511193303484524e-05
8.780000000000001e-07,-0.0002,-0.0002183406113537118,-1.3100436681222706e-06
8.775000000000001e-07,0.0041,0.004191800429403947,2.5150802576423683e-05
8.77e-07,-0.0047,-0.0046073914322125285,-2.764434859327517e-05
8.765000000000001e-07,0.0033,0.0032101167315175096,1.9260700389105056e-05
8.760000000000001e-07,-0.002,-0.0020300446609825416,-1.2180267965895248e-05
8.755e-07,-0.0021,-0.0022617124394184165,-1.35702746365105e-05
8.750000000000001e-07,-0.0005,-0.0005354465624330692,-3.212679374598415e-06
8.745000000000001e-07,0.0068,0.007433318758198513,4.4599912549191076e-05
8.74e-07,-0.0031,-0.003557085484796328,-2.1342512908777963e-05
8.735000000000001e-07,0.0045,0.004380414679256302,2.6282488075537814e-05
8.73e-07,0.0119,0.01289693291427333,7.738159748563998e-05
8.725e-07,0.0031,0.0037259615384615387,2.235576923076923e-05
8.720000000000001e-07,-0.001,-0.0010489877268435959,-6.293926361061575e-06
8.715e-07,0.0061,0.006757505261991803,4.0545031571950816e-05
8.71e-07,0.0077,0.008703515315926303,5.2221091895557814e-05
8.705000000000001e-07,0.0008,0.000827985924239288,4.967915545435728e-06
8.7e-07,-0.0059,-0.006446678321678321,-3.868006993006992e-05
8.695000000000001e-07,0.0106,0.010149368058215244,6.089620834929146e-05
8.690000000000001e-07,0.0052,0.005347043701799486,3.2082262210796914e-05
8.685e-07,0.0061,0.006671041119860018,4.00262467191601e-05
8.680000000000001e-07,0.0079,0.008343014045833775,5.005808427500265e-05
8.675000000000001e-07,0.0089,0.009498399146211312,5.699039487726786e-05
8.67e-07,0.0032,0.0032860957075374823,1.971657424522489e-05
8.665000000000001e-07,0.0101,0.010961580204037334,6.5769481224224e-05
8.66e-07,0.0013,0.0013626834381551363,8.176100628930818e-06
8.655e-07,0.0033,0.0034821145932257044,2.0892687559354224e-05
8.650000000000001e-07,0.001,0.0010804970286331713,6.482982171799027e-06
8.645e-07,0.0021,0.0022128556375131717,1.3277133825079031e-05
8.64e-07,0.0001,0.00010446046171524079,6.267627702914447e-07
8.635000000000001e-07,0.0067,0.007036336904011762,4.221802142407057e-05
8.63e-07,-0.0006,-0.0006492101276779917,-3.89526076606795e-06
8.625000000000001e-07,0.0025,0.0025949761262196386,1.556985675731783e-05
8.620000000000001e-07,0.0062,0.006488749345892202,3.893249607535321e-05
8.615e-07,0.0028,0.0029968960719255057,1.7981376431553032e-05
8.610000000000001e-07,0.0036,0.003865149237706678,2.319089542624007e-05
8.605000000000001e-07,0.0043,0.004483837330552659,2.6903023983315953e-05
8.6e-07,0.0041,0.004208581400123179,2.525148840073907e-05
8.595000000000001e-07,0.0038,0.0039451827242524915,2.3671096345514948e-05
8.590000000000001e-07,0.0037,0.003890641430073607,2.334384858044164e-05
8.585e-07,0.0042,0.004377279833246482,2.6263678999478888e-05
8.580000000000001e-07,0.0033,0.0034360683048729693,2.0616409829237814e-05
8.575e-07,0.0021,0.002164725286052984,1.2988351716317903e-05
8.57e-07,0.0039,0.0040752351097178684,2.4451410658307212e-05
8.565000000000001e-07,0.0039,0.004111755403268318,2.4670532419609905e-05
8.56e-07,0.0022,0.0023005333054480813,1.3803199832688488e-05
8.555e-07,0.004,0.004126263668248401,2.4757582009490407e-05
8.550000000000001e-07,0.0039,0.004077365394668061,2.4464192368008365e-05
8.545e-07,0.0041,0.004273504273504274,2.564102564102564e-05
8.540000000000001e-07,0.0025,0.0025863852679495138,1.551831160769708e-05
8.535000000000001e-07,0.0022,0.002271084959223702,1.362650975534221e-05
8.53e-07,0.0026,0.002718812088256823,1.6312872529540937e-05
8.525000000000001e-07,0.0023,0.0023718675879137877,1.4231205527482726e-05
8.520000000000001e-07,0.0037,0.0038238941711451016,2.2943365026870608e-05
8.515e-07,0.0034,0.003501905448552889,2.1011432691317332e-05
8.510000000000001e-07,0.0029,0.0029961772910424627,1.7977063746254776e-05
8.505e-07,0.0025,0.002598212429848264,1.5589274579089584e-05
8.5e-07,0.0022,0.002286189338044269,1.3717136028265613e-05
8.495000000000001e-07,0.0035,0.0036450739429285564,2.187044365757134e-05
8.49e-07,0.0034,0.003518576011590603,2.1111456069543616e-05
8.485e-07,0.0036,0.0037209302325581393,2.2325581395348837e-05
8.480000000000001e-07,0.0039,0.004018547140649149,2.4111282843894895e-05
8.475e-07,0.0034,0.003472576856296599,2.0835461137779593e-05
8.47e-07,0.003,0.0031068765534382767,1.864125932062966e-05
8.465000000000001e-07,0.0035,0.0036231884057971015,2.173913043478261e-05
8.46e-07,0.0034,0.003497222793663855,2.098333676198313e-05
8.455000000000001e-07,0.0033,0.003399258343634116,2.0395550061804696e-05
8.450000000000001e-07,0.0029,0.00299061565432608,1.794369392595648e-05
8.445e-07,0.003,0.0030854674483184203,1.851280468991052e-05
8.440000000000001e-07,0.003,0.0030962947672618433,1.857776860357106e-05
8.435000000000001e-07,0.0037,0.0038144329896907217,2.2886597938144328e-05
8.43e-07,0.0034,0.00350479332027626,2.102875992165756e-05
8.425000000000001e-07,0.0026,0.0026771004942339376,1.6062602965403626e-05
8.42e-07,0.0028,0.002900051786639047,1.740031071983428e-05
8.415e-07,0.0031,0.003189628562609322,1.913777137565593e-05
8.410000000000001e-07,0.003,0.0030731407498463433,1.843884449907806e-05
8.405e-07,0.0029,0.0029847673939892958,1.7908604363935774e-05
8.4e-07,0.0031,0.003217102532171025,1.930261519302615e-05
8.395000000000001e-07,0.0029,0.0029878425716051925,1.7927055429631154e-05
8.39e-07,0.003,0.0030895983522142125,1.8537590113285276e-05
8.385000000000001e-07,0.0031,0.003187332922064569,1.9123997532387414e-05
8.380000000000001e-07,0.0028,0.0029003521856225396,1.7402113113735237e-05
8.375e-07,0.0028,0.002896451846488052,1.7378711078928312e-05
8.370000000000001e-07,0.0031,0.003197524497163486,1.9185146982980915e-05
8.365000000000001e-07,0.0028,0.002895253851721642,1.7371523110329854e-05
8.36e-07,0.003,0.0031001343391546966,1.860080603492818e-05
8.355000000000001e-07,0.0033,0.003414735099337748,2.048841059602649e-05
8.35e-07,0.0029,0.003005181347150259,1.8031088082901555e-05
