lambda,transmittance,polished
9.000000000000001e-07,0.0264,0.02397384671267708
8.995e-07,0.0438,0.024425607851884898
8.990000000000001e-07,0.044,0.03287016285671597
8.985000000000001e-07,0.0652,0.048515514547213326
8.98e-07,0.0057,0.007550668962776527
8.975000000000001e-07,0.0514,0.05021983390327308
8.97e-07,0.0245,0.019286782649767773
8.965e-07,-0.0036,-0.0031179629308851547
8.960000000000001e-07,0.0389,0.05629522431259045
8.955e-07,0.0006,0.0023856858846918487
8.95e-07,0.0324,0.03842960502905942
8.945000000000001e-07,-0.0113,-0.010021284143313231
8.94e-07,0.0008,0.0008362952122099102
8.935000000000001e-07,0.0242,0.018340280409245926
8.930000000000001e-07,0.0355,0.034529715008267674
8.925e-07,0.033,0.03656509695290859
8.920000000000001e-07,0.0162,0.01738757110657937
8.915000000000001e-07,0.0208,0.022036232651763958
8.91e-07,0.0248,0.0256198347107438
8.905000000000001e-07,0.0505,0.08724948168624742
8.900000000000001e-07,0.0475,0.05231277533039647
8.895e-07,0.0287,0.02696101456082668
8.890000000000001e-07,0.0327,0.033167664063292426
8.885e-07,0.0344,0.029675638371290544
8.88e-07,0.0304,0.039806206625638337
8.875000000000001e-07,0.0238,0.019924654667224782
8.87e-07,0.017,0.016319477776711146
8.865e-07,0.0037,0.0038841066554692423
8.860000000000001e-07,0.0186,0.015720081135902637
8.855e-07,0.014,0.01606425702811245
8.850000000000001e-07,0.0245,0.022946520558209234
8.845000000000001e-07,0.0094,0.009671776931783106
8.84e-07,0.0252,0.023110785033015408
8.835000000000001e-07,0.0207,0.019449403363713237
8.830000000000001e-07,0.0284,0.02468921151004086
8.825e-07,0.0299,0.03420661251573046
8.820000000000001e-07,0.0219,0.021114539143848827
8.815e-07,0.0337,0.035755968169761274
8.81e-07,0.0347,0.039743442904592835
8.805000000000001e-07,0.0306,0.030393325387365912
8.8e-07,0.0264,0.02915194346289753
8.795e-07,0.0386,0.047742733457019175
8.790000000000001e-07,0.0267,0.02746066029003394
8.785e-07,0.0155,0.015086626435662836
8.780000000000001e-07,0.0255,0.02783842794759825
8.775000000000001e-07,0.0311,0.03179633984255189
8.77e-07,0.0231,0.022644838741299873
8.765000000000001e-07,0.027,0.026264591439688716
8.760000000000001e-07,0.0236,0.02395452699959399
8.755e-07,0.0245,0.026386645126548196
8.750000000000001e-07,0.0274,0.029342471621332192
8.745000000000001e-07,0.0276,0.030170529077393968
8.74e-07,0.027,0.030981067125645436
8.735000000000001e-07,0.0344,0.03348583665920373
8.73e-07,0.0263,0.028503305516419206
8.725e-07,0.0247,0.029687500000000002
8.720000000000001e-07,0.0244,0.025595300534983743
8.715e-07,0.0232,0.0257006757505262
8.71e-07,0.0314,0.035492257262348816
8.705000000000001e-07,0.0254,0.02628855309459739
8.7e-07,0.0244,0.026660839160839164
8.695000000000001e-07,0.0248,0.02374569130601302
8.690000000000001e-07,0.0286,0.02940874035989717
8.685e-07,0.0281,0.03073053368328959
8.680000000000001e-07,0.025,0.02640194318301827
8.675000000000001e-07,0.0267,0.028495197438633938
8.67e-07,0.0275,0.028239884986650237
8.665000000000001e-07,0.0277,0.030062947688300413
8.66e-07,0.0267,0.027987421383647803
8.655e-07,0.0289,0.030494882346734198
8.650000000000001e-07,0.0279,0.030145867098865478
8.645e-07,0.0249,0.02623814541622761
8.64e-07,0.0297,0.03102475712942651
8.635000000000001e-07,0.0272,0.028565427431211928
8.63e-07,0.0281,0.03040467431291928
8.625000000000001e-07,0.028,0.029063732613659955
8.620000000000001e-07,0.0286,0.029931972789115645
8.615e-07,0.0272,0.02911270469870491
8.610000000000001e-07,0.0267,0.028666523512991197
8.605000000000001e-07,0.0265,0.027632950990615225
8.6e-07,0.0276,0.028330938205707246
8.595000000000001e-07,0.0273,0.028343023255813955
8.590000000000001e-07,0.0274,0.028811777076761306
8.585e-07,0.0287,0.029911412193850965
8.580000000000001e-07,0.0275,0.02863390254060808
8.575e-07,0.0277,0.02855375734460365
8.57e-07,0.0266,0.027795193312434692
8.565000000000001e-07,0.0279,0.029414865577227202
8.56e-07,0.0273,0.028547526926696643
8.555e-07,0.0275,0.028368062719207755
8.550000000000001e-07,0.0286,0.02990067956089911
8.545e-07,0.0283,0.02949760266833437
8.540000000000001e-07,0.0275,0.02845023794744465
8.535000000000001e-07,0.028,0.028904717662847114
8.53e-07,0.028,0.029279514796611943
8.525000000000001e-07,0.0281,0.028978034443642362
8.520000000000001e-07,0.028,0.028937577511368336
8.515e-07,0.0283,0.029148212998249046
8.510000000000001e-07,0.0279,0.028825291868994733
8.505e-07,0.0279,0.02899605071710663
8.5e-07,0.0279,0.028993037514288684
8.495000000000001e-07,0.028,0.02916059154342845
8.49e-07,0.0284,0.029390458449756806
8.485e-07,0.0274,0.028320413436692508
8.480000000000001e-07,0.0283,0.0291602266872746
