lambda,transmittance,polished
9.000000000000001e-07,1.1012,1.0
8.995e-07,1.7932,1.0
8.990000000000001e-07,1.3386,1.0
8.985000000000001e-07,1.3439,1.0
8.98e-07,0.7549,1.0
8.975000000000001e-07,1.0235,1.0
8.97e-07,1.2703,1.0
8.965e-07,1.1546,1.0
8.960000000000001e-07,0.691,1.0
8.955e-07,0.2515,1.0
8.95e-07,0.8431,1.0
8.945000000000001e-07,1.1276,1.0
8.94e-07,0.9566,1.0
8.935000000000001e-07,1.3195,1.0
8.930000000000001e-07,1.0281,1.0
8.925e-07,0.9025,1.0
8.920000000000001e-07,0.9317,1.0
8.915000000000001e-07,0.9439,1.0
8.91e-07,0.968,1.0
8.905000000000001e-07,0.5788,1.0
8.900000000000001e-07,0.908,1.0
8.895e-07,1.0645,1.0
8.890000000000001e-07,0.9859,1.0
8.885e-07,1.1592,1.0
8.88e-07,0.7637,1.0
8.875000000000001e-07,1.1945,1.0
8.87e-07,1.0417,1.0
8.865e-07,0.9526,1.0
8.860000000000001e-07,1.1832,1.0
8.855e-07,0.8715,1.0
8.850000000000001e-07,1.0677,1.0
8.845000000000001e-07,0.9719,1.0
8.84e-07,1.0904,1.0
8.835000000000001e-07,1.0643,1.0
8.830000000000001e-07,1.1503,1.0
8.825e-07,0.8741,1.0
8.820000000000001e-07,1.0372,1.0
8.815e-07,0.9425,1.0
8.81e-07,0.8731,1.0
8.805000000000001e-07,1.0068,1.0
8.8e-07,0.9056,1.0
8.795e-07,0.8085,1.0
8.790000000000001e-07,0.9723,1.0
8.785e-07,1.0274,1.0
8.780000000000001e-07,0.916,1.0
8.775000000000001e-07,0.9781,1.0
8.77e-07,1.0201,1.0
8.765000000000001e-07,1.028,1.0
8.760000000000001e-07,0.9852,1.0
8.755e-07,0.9285,1.0
8.750000000000001e-07,0.9338,1.0
8.745000000000001e-07,0.9148,1.0
8.74e-07,0.8715,1.0
8.735000000000001e-07,1.0273,1.0
8.73e-07,0.9227,1.0
8.725e-07,0.832,1.0
8.720000000000001e-07,0.9533,1.0
8.715e-07,0.9027,1.0
8.71e-07,0.8847,1.0
8.705000000000001e-07,0.9662,1.0
8.7e-07,0.9152,1.0
8.695000000000001e-07,1.0444,1.0
8.690000000000001e-07,0.9725,1.0
8.685e-07,0.9144,1.0
8.680000000000001e-07,0.9469,1.0
8.675000000000001e-07,0.937,1.0
8.67e-07,0.9738,1.0
8.665000000000001e-07,0.9214,1.0
8.66e-07,0.954,1.0
8.655e-07,0.9477,1.0
8.650000000000001e-07,0.9255,1.0
8.645e-07,0.949,1.0
8.64e-07,0.9573,1.0
8.635000000000001e-07,0.9522,1.0
8.63e-07,0.9242,1.0
8.625000000000001e-07,0.9634,1.0
8.620000000000001e-07,0.9555,1.0
8.615e-07,0.9343,1.0
8.610000000000001e-07,0.9314,1.0
8.605000000000001e-07,0.959,1.0
8.6e-07,0.9742,1.0
8.595000000000001e-07,0.9632,1.0
8.590000000000001e-07,0.951,1.0
8.585e-07,0.9595,1.0
8.580000000000001e-07,0.9604,1.0
8.575e-07,0.9701,1.0
8.57e-07,0.957,1.0
8.565000000000001e-07,0.9485,1.0
8.56e-07,0.9563,1.0
8.555e-07,0.9694,1.0
8.550000000000001e-07,0.9565,1.0
8.545e-07,0.9594,1.0
8.540000000000001e-07,0.9666,1.0
8.535000000000001e-07,0.9687,1.0
8.53e-07,0.9563,1.0
8.525000000000001e-07,0.9697,1.0
8.520000000000001e-07,0.9676,1.0
8.515e-07,0.9709,1.0
8.510000000000001e-07,0.9679,1.0
8.505e-07,0.9622,1.0
8.5e-07,0.9623,1.0
8.495000000000001e-07,0.9602,1.0
8.49e-07,0.9663,1.0
8.485e-07,0.9675,1.0
8.480000000000001e-07,0.9705,1.0
8.475e-07,0.9791,1.0
8.47e-07,0.9656,1.0
8.465000000000001e-07,0.966,1.0
8.46e-07,0.9722,1.0
8.455000000000001e-07,0.9708,1.0
8.450000000000001e-07,0.9697,1.0
8.445e-07,0.9723,1.0
8.440000000000001e-07,0.9689,1.0
8.435000000000001e-07,0.97,1.0
8.43e-07,0.9701,1.0
8.425000000000001e-07,0.9712,1.0
8.42e-07,0.9655,1.0
8.415e-07,0.9719,1.0
8.410000000000001e-07,0.9762,1.0
8.405e-07,0.9716,1.0
8.4e-07,0.9636,1.0
8.395000000000001e-07,0.9706,1.0
8.39e-07,0.971,1.0
8.385000000000001e-07,0.9726,1.0
8.380000000000001e-07,0.9654,1.0
8.375e-07,0.9667,1.0
8.370000000000001e-07,0.9695,1.0
8.365000000000001e-07,0.9671,1.0
8.36e-07,0.9677,1.0
8.355000000000001e-07,0.9664,1.0
8.35e-07,0.965,1.0
8.345e-07,0.9685,1.0
8.340000000000001e-07,0.9646,1.0
8.335e-07,0.962,1.0
8.33e-07,0.963,1.0
8.325000000000001e-07,0.9636,1.0
8.32e-07,0.9664,1.0
8.315e-07,0.9607,1.0
8.310000000000001e-07,0.9646,1.0
8.305e-07,0.9628,1.0
8.300000000000001e-07,0.9621,1.0
8.295000000000001e-07,0.9617,1.0
8.29e-07,0.9622,1.0
8.285000000000001e-07,0.9635,1.0
8.280000000000001e-07,0.9582,1.0
8.275e-07,0.9577,1.0
8.270000000000001e-07,0.9575,1.0
8.265e-07,0.9562,1.0
8.26e-07,0.9576,1.0
8.255000000000001e-07,0.9584,1.0
8.25e-07,0.9558,1.0
8.245e-07,0.9569,1.0
8.240000000000001e-07,0.9557,1.0
8.235e-07,0.9577,1.0
8.230000000000001e-07,0.9539,1.0
8.225000000000001e-07,0.9556,1.0
8.22e-07,0.9557,1.0
8.215000000000001e-07,0.9552,1.0
8.210000000000001e-07,0.9527,1.0
8.205e-07,0.9534,1.0
8.200000000000001e-07,0.9559,1.0
8.195e-07,0.9537,1.0
8.19e-07,0.9543,1.0
8.185000000000001e-07,0.9556,1.0
8.18e-07,0.9551,1.0
8.175e-07,0.9512,1.0
8.170000000000001e-07,0.9565,1.0
8.165e-07,0.9524,1.0
8.16e-07,0.9524,1.0
8.155000000000001e-07,0.9537,1.0
8.15e-07,0.9518,1.0
8.145000000000001e-07,0.9513,1.0
8.140000000000001e-07,0.9531,1.0
8.135e-07,0.9531,1.0
8.130000000000001e-07,0.9518,1.0
8.125000000000001e-07,0.9529,1.0
8.12e-07,0.9498,1.0
8.115000000000001e-07,0.9531,1.0
8.11e-07,0.951,1.0
8.105e-07,0.9525,1.0
8.100000000000001e-07,0.9501,1.0
8.095e-07,0.9513,1.0
8.09e-07,0.9503,1.0
8.085000000000001e-07,0.9511,1.0
8.08e-07,0.9487,1.0
8.075e-07,0.9523,1.0
8.070000000000001e-07,0.9501,1.0
8.065e-07,0.9513,1.0
8.060000000000001e-07,0.9486,1.0
8.055000000000001e-07,0.9517,1.0
8.05e-07,0.948,1.0
8.045000000000001e-07,0.9469,1.0
8.04e-07,0.9494,1.0
8.035e-07,0.9508,1.0
8.030000000000001e-07,0.9497,1.0
8.025e-07,0.9509,1.0
8.02e-07,0.9523,1.0
8.015000000000001e-07,0.9503,1.0
8.01e-07,0.9514,1.0
8.005e-07,0.9519,1.0
8.000000000000001e-07,0.9515,1.0
7.995e-07,0.9506,1.0
7.990000000000001e-07,0.951,1.0
7.985000000000001e-07,0.9506,1.0
7.98e-07,0.9501,1.0
7.975000000000001e-07,0.9513,1.0
7.970000000000001e-07,0.9502,1.0
7.965e-07,0.9516,1.0
7.960000000000001e-07,0.9492,1.0
7.955e-07,0.9483,1.0
7.95e-07,0.9488,1.0
7.945000000000001e-07,0.9488,1.0
7.94e-07,0.948,1.0
7.935e-07,0.9514,1.0
7.930000000000001e-07,0.9456,1.0
7.925e-07,0.951,1.0
7.92e-07,0.9506,1.0
7.915000000000001e-07,0.9497,1.0
7.91e-07,0.9489,1.0
7.905000000000001e-07,0.9474,1.0
7.900000000000001e-07,0.9479,1.0
7.895e-07,0.9477,1.0
7.890000000000001e-07,0.9496,1.0
7.885e-07,0.9491,1.0
7.88e-07,0.9485,1.0
7.875000000000001e-07,0.9497,1.0
7.87e-07,0.9487,1.0
7.865e-07,0.9497,1.0
7.860000000000001e-07,0.9508,1.0
7.855e-07,0.9506,1.0
7.85e-07,0.9496,1.0
7.845000000000001e-07,0.9485,1.0
7.84e-07,0.9487,1.0
7.835000000000001e-07,0.95,1.0
7.830000000000001e-07,0.9489,1.0
7.825e-07,0.95,1.0
7.820000000000001e-07,0.949,1.0
7.815000000000001e-07,0.9475,1.0
7.81e-07,0.9486,1.0
7.805000000000001e-07,0.9519,1.0
7.8e-07,0.948,1.0
7.795e-07,0.9495,1.0
7.790000000000001e-07,0.9508,1.0
7.785e-07,0.9492,1.0
7.78e-07,0.9486,1.0
7.775000000000001e-07,0.9467,1.0
7.77e-07,0.9502,1.0
7.765e-07,0.9473,1.0
7.760000000000001e-07,0.9487,1.0
7.755e-07,0.9497,1.0
7.750000000000001e-07,0.9487,1.0
7.745000000000001e-07,0.949,1.0
7.74e-07,0.9517,1.0
7.735000000000001e-07,0.949,1.0
7.73e-07,0.949,1.0
7.725e-07,0.9511,1.0
7.720000000000001e-07,0.9501,1.0
7.715e-07,0.9467,1.0
7.71e-07,0.9499,1.0
7.705000000000001e-07,0.9497,1.0
7.7e-07,0.9468,1.0
7.695e-07,0.9501,1.0
7.690000000000001e-07,0.9484,1.0
7.685e-07,0.9512,1.0
7.680000000000001e-07,0.9497,1.0
7.675000000000001e-07,0.9517,1.0
7.67e-07,0.95,1.0
7.665000000000001e-07,0.9478,1.0
7.660000000000001e-07,0.9482,1.0
7.655e-07,0.9509,1.0
7.650000000000001e-07,0.9498,1.0
7.645e-07,0.9512,1.0
7.64e-07,0.9498,1.0
7.635000000000001e-07,0.9499,1.0
7.63e-07,0.9464,1.0
7.625e-07,0.9485,1.0
7.620000000000001e-07,0.9508,1.0
7.615e-07,0.9491,1.0
7.61e-07,0.95,1.0
7.605000000000001e-07,0.9497,1.0
7.6e-07,0.951,1.0
