lambda,transmittance,polished,trasm_error
9.000000000000001e-07,0.652,1.0,0.003
8.995e-07,0.8033,1.0,0.003
8.990000000000001e-07,0.597,1.0,0.003
8.985000000000001e-07,0.8664,1.0,0.003
8.98e-07,0.8466,1.0,0.003
8.975000000000001e-07,0.6653,1.0,0.003
8.97e-07,0.5763,1.0,0.003
8.965e-07,0.7487,1.0,0.003
8.960000000000001e-07,0.959,1.0,0.003
8.955e-07,0.8639,1.0,0.003
8.95e-07,1.0106,1.0,0.003
8.945000000000001e-07,0.6998,1.0,0.003
8.94e-07,1.0173,1.0,0.003
8.935000000000001e-07,0.7166,1.0,0.003
8.930000000000001e-07,0.6904,1.0,0.003
8.925e-07,0.6407,1.0,0.003
8.920000000000001e-07,0.8175,1.0,0.003
8.915000000000001e-07,0.7567,1.0,0.003
8.91e-07,0.8944,1.0,0.003
8.905000000000001e-07,0.8812,1.0,0.003
8.900000000000001e-07,0.8623,1.0,0.003
8.895e-07,0.8584,1.0,0.003
8.890000000000001e-07,0.9434,1.0,0.003
8.885e-07,0.8051,1.0,0.003
8.88e-07,0.7791,1.0,0.003
8.875000000000001e-07,0.849,1.0,0.003
8.87e-07,1.0118,1.0,0.003
8.865e-07,0.5995,1.0,0.003
8.860000000000001e-07,0.8194,1.0,0.003
8.855e-07,0.8702,1.0,0.003
8.850000000000001e-07,0.8732,1.0,0.003
8.845000000000001e-07,0.7635,1.0,0.003
8.84e-07,0.7432,1.0,0.003
8.835000000000001e-07,0.845,1.0,0.003
8.830000000000001e-07,0.8812,1.0,0.003
8.825e-07,0.8285,1.0,0.003
8.820000000000001e-07,0.7398,1.0,0.003
8.815e-07,0.7512,1.0,0.003
8.81e-07,0.8362,1.0,0.003
8.805000000000001e-07,0.8821,1.0,0.003
8.8e-07,0.8371,1.0,0.003
8.795e-07,0.789,1.0,0.003
8.790000000000001e-07,0.7937,1.0,0.003
8.785e-07,0.8764,1.0,0.003
8.780000000000001e-07,0.7934,1.0,0.003
8.775000000000001e-07,0.9239,1.0,0.003
8.77e-07,0.8012,1.0,0.003
8.765000000000001e-07,0.8435,1.0,0.003
8.760000000000001e-07,0.7816,1.0,0.003
8.755e-07,0.7737,1.0,0.003
8.750000000000001e-07,0.796,1.0,0.003
8.745000000000001e-07,0.8143,1.0,0.003
8.74e-07,0.7854,1.0,0.003
8.735000000000001e-07,0.7903,1.0,0.003
8.73e-07,0.8006,1.0,0.003
8.725e-07,0.8407,1.0,0.003
8.720000000000001e-07,0.7814,1.0,0.003
8.715e-07,0.8284,1.0,0.003
8.71e-07,0.8417,1.0,0.003
8.705000000000001e-07,0.8253,1.0,0.003
8.7e-07,0.8091,1.0,0.003
8.695000000000001e-07,0.8249,1.0,0.003
8.690000000000001e-07,0.8052,1.0,0.003
8.685e-07,0.7868,1.0,0.003
8.680000000000001e-07,0.8294,1.0,0.003
8.675000000000001e-07,0.8314,1.0,0.003
8.67e-07,0.8267,1.0,0.003
8.665000000000001e-07,0.8203,1.0,0.003
8.66e-07,0.8162,1.0,0.003
8.655e-07,0.831,1.0,0.003
