lambda,transmittance,polished
9.000000000000001e-07,0.3159,0.4845092024539877
8.995e-07,-0.8822,-1.0982198431470185
8.990000000000001e-07,-0.2626,-0.43986599664991627
8.985000000000001e-07,0.0673,0.07767774699907665
8.98e-07,0.2075,0.24509803921568626
8.975000000000001e-07,-0.4502,-0.6766872087779948
8.97e-07,0.1988,0.34495922262710393
8.965e-07,0.0799,0.10671831174034993
8.960000000000001e-07,-0.0456,-0.047549530761209595
8.955e-07,-0.0795,-0.09202453987730061
8.95e-07,-0.074,-0.07322382742924995
8.945000000000001e-07,-0.1114,-0.15918833952557873
8.94e-07,0.0703,0.06910449228349552
8.935000000000001e-07,0.0971,0.13550097683505444
8.930000000000001e-07,0.0166,0.024044032444959444
8.925e-07,-0.0525,-0.08194162634618385
8.920000000000001e-07,-0.0494,-0.06042813455657492
8.915000000000001e-07,0.1802,0.2381392890181049
8.91e-07,0.0285,0.0318649373881932
8.905000000000001e-07,-0.1875,-0.21277802995914663
8.900000000000001e-07,-0.1965,-0.22787892844717617
8.895e-07,0.0023,0.002679403541472507
8.890000000000001e-07,0.1618,0.17150731397074412
8.885e-07,-0.0895,-0.11116631474351012
8.88e-07,-0.0605,-0.07765370299063021
8.875000000000001e-07,-0.1399,-0.16478209658421672
8.87e-07,0.0475,0.04694603676615932
8.865e-07,0.0236,0.039366138448707254
8.860000000000001e-07,0.1788,0.21820844520380764
8.855e-07,-0.0238,-0.027350034474833373
8.850000000000001e-07,0.0569,0.06516262024736601
8.845000000000001e-07,0.0201,0.026326129666011788
8.84e-07,0.0075,0.010091496232508074
8.835000000000001e-07,0.0737,0.08721893491124261
8.830000000000001e-07,0.0228,0.02587380844303223
8.825e-07,0.0318,0.0383826191913096
8.820000000000001e-07,0.0216,0.029197080291970805
8.815e-07,-0.0214,-0.028487752928647497
8.81e-07,0.0219,0.02618990672088017
8.805000000000001e-07,-0.0026,-0.0029475116199977327
8.8e-07,0.0138,0.016485485605065107
8.795e-07,0.1368,0.17338403041825096
8.790000000000001e-07,-0.0219,-0.02759228927806476
8.785e-07,0.019,0.021679598356914652
8.780000000000001e-07,0.0172,0.0216788505167633
8.775000000000001e-07,-0.0471,-0.05097954324061046
8.77e-07,-0.025,-0.031203195207189217
8.765000000000001e-07,-0.0023,-0.002726733847065797
8.760000000000001e-07,-0.0137,-0.017528147389969294
8.755e-07,0.0417,0.05389685924777045
8.750000000000001e-07,0.0472,0.0592964824120603
8.745000000000001e-07,0.0265,0.03254328871423308
8.74e-07,-0.0126,-0.016042780748663103
8.735000000000001e-07,-0.0006,-0.0007592053650512463
8.73e-07,-0.0015,-0.0018735948038970773
8.725e-07,0.0406,0.048293089092422976
8.720000000000001e-07,0.0126,0.016124904018428463
8.715e-07,-0.0012,-0.0014485755673587636
8.71e-07,0.0261,0.031008672923844603
8.705000000000001e-07,-0.0127,-0.01538834363261844
8.7e-07,-0.0315,-0.0389321468298109
8.695000000000001e-07,0.0354,0.04291429264153231
8.690000000000001e-07,0.0166,0.02061599602583209
8.685e-07,0.0062,0.007880020335536348
8.680000000000001e-07,-0.0193,-0.0232698336146612
8.675000000000001e-07,0.0078,0.009381765696415684
8.67e-07,0.011,0.01330591508406919
8.665000000000001e-07,0.0105,0.012800195050591247
8.66e-07,-0.0142,-0.017397696642979663
8.655e-07,0.0134,0.016125150421179305
8.650000000000001e-07,-0.0004,-0.0004898958971218617
8.645e-07,-0.013,-0.016035524855063526
8.64e-07,0.0105,0.01295976302147618
8.635000000000001e-07,-0.009,-0.011142751021418843
8.63e-07,-0.0055,-0.006779243189942068
8.625000000000001e-07,0.0037,0.0045304273294967555
8.620000000000001e-07,-0.0052,-0.006350757205666829
8.615e-07,0.0021,0.002567237163814181
8.610000000000001e-07,-0.0028,-0.003484320557491289
8.605000000000001e-07,0.0097,0.011756150769603686
8.6e-07,0.0046,0.00549057054189544
8.595000000000001e-07,0.0043,0.00523305342582451
8.590000000000001e-07,0.0166,0.020536929357911664
8.585e-07,0.0049,0.006007846983815596
8.580000000000001e-07,0.0028,0.0033898305084745766
8.575e-07,0.0045,0.005507955936352509
8.57e-07,-0.0012,-0.0014834961058227223
8.565000000000001e-07,-0.008,-0.009689922480620155
8.56e-07,-0.0029,-0.0035478345975042814
8.555e-07,0.0035,0.004257907542579075
8.550000000000001e-07,0.0032,0.0039177277179236044
8.545e-07,0.0045,0.005429536679536679
8.540000000000001e-07,-0.0034,-0.004144825064000975
8.535000000000001e-07,0.0025,0.0030380362133916637
8.53e-07,-0.0019,-0.002298572465521413
8.525000000000001e-07,-0.0009,-0.0010873504893077202
8.520000000000001e-07,0.0008,0.000969227041434456
8.515e-07,0.0044,0.005372405372405373
8.510000000000001e-07,0.0063,0.00769418661455789
8.505e-07,0.0046,0.005555555555555556
8.5e-07,0.0004,0.00048315013890566497
8.495000000000001e-07,0.0037,0.0044941090732418315
8.49e-07,0.0032,0.0038792580918899262
8.485e-07,0.0022,0.002680965147453083
8.480000000000001e-07,0.001,0.0012051096649795133
8.475e-07,0.0036,0.004364694471387003
8.47e-07,0.002,0.0024242424242424242
8.465000000000001e-07,0.0022,0.002651880424300868
8.46e-07,0.0015,0.0018155410312273056
8.455000000000001e-07,0.0014,0.0016930705042931431
8.450000000000001e-07,0.0041,0.0049684924866698985
8.445e-07,0.0027,0.003261657405170331
8.440000000000001e-07,0.0036,0.004351504895443007
8.435000000000001e-07,0.0013,0.0015655105973025048
