lambda,transmittance,polished
900.0,0.1993,0.3056748466257669
899.5,0.2586,0.3219220714552471
899.0,0.356,0.5963149078726968
898.5,0.1468,0.16943674976915976
898.0,-0.0443,-0.05232695487833688
897.5,0.1373,0.20637306478280476
897.0,-0.0251,-0.04355370466770779
896.5,0.2602,0.34753572859623344
896.0,-0.0762,-0.07945776850886341
895.5,-0.0677,-0.07836555156846857
895.0,0.2174,0.21511973085295866
894.5,-0.0351,-0.050157187767933695
894.0,0.1669,0.16406173203578098
893.5,0.1705,0.23792910968462183
893.0,-0.0217,-0.031431054461181926
892.5,0.0904,0.14109567660371466
892.0,0.0304,0.03718654434250764
891.5,-0.0499,-0.06594423153165059
891.0,0.0344,0.038461538461538464
890.5,0.1512,0.17158420335905583
890.0,-0.0555,-0.06436275078279022
889.5,0.0755,0.0879543336439888
889.0,0.0719,0.07621369514521942
888.5,0.1042,0.1294249161594833
888.0,0.065,0.0834295982543961
887.5,0.1446,0.17031802120141343
887.0,0.101,0.09982209922909666
886.5,0.1101,0.18365304420350292
886.0,0.1,0.122040517451794
885.5,0.1429,0.16421512296023902
885.0,0.1183,0.13547869903802107
884.5,0.0762,0.09980353634577604
884.0,0.0961,0.12930570505920347
883.5,0.0709,0.083905325443787
883.0,0.048,0.05447117566954154
882.5,0.0271,0.03270971635485818
882.0,0.1403,0.18964585022979186
881.5,0.1047,0.1393769968051118
881.0,0.0731,0.0874192776847644
880.5,0.1013,0.1148395873483732
880.0,0.1293,0.15446183251702306
879.5,0.1009,0.12788339670468948
879.0,0.0984,0.12397631346856496
878.5,0.0762,0.08694659972615246
878.0,0.1091,0.13750945298714395
877.5,0.1117,0.12090053036042861
877.0,0.1015,0.1266849725411882
876.5,0.1068,0.12661529342027267
876.0,0.0908,0.11617195496417607
875.5,0.1056,0.13648701046917408
875.0,0.0962,0.12085427135678391
874.5,0.1175,0.14429571411027875
874.0,0.0765,0.09740259740259741
873.5,0.0792,0.10021510818676453
873.0,0.0815,0.1017986510117412
872.5,0.0728,0.08659450457951708
872.0,0.1124,0.1438443818786793
871.5,0.1084,0.13085465958474166
871.0,0.1044,0.12403469169537841
870.5,0.0969,0.11741185023627772
870.0,0.0951,0.11753800519095291
869.5,0.0915,0.11092253606497758
869.0,0.0897,0.11140089418777943
868.5,0.0979,0.12442806304016267
868.0,0.0771,0.09295876537255847
867.5,0.088,0.1058455617031513
867.0,0.0975,0.11793879279061328
866.5,0.0941,0.11471412897720346
866.0,0.0864,0.1058564077432002
865.5,0.0856,0.10300842358604091
865.0,0.1001,0.12259644825474586
864.5,0.0898,0.11076847169113113
864.0,0.0895,0.11046655146877313
863.5,0.0922,0.11415129379720194
863.0,0.0923,0.11376802662393688
862.5,0.1027,0.12574996938900454
862.0,0.0964,0.11773326819736199
861.5,0.0889,0.108679706601467
861.0,0.0876,0.10900945744151319
860.5,0.0972,0.11780390255726579
860.0,0.0867,0.10348531869181189
859.5,0.0878,0.10685164902032372
859.0,0.0863,0.10676728937275765
858.5,0.0822,0.10078469838155958
858.0,0.0839,0.10157384987893463
857.5,0.0903,0.1105263157894737
857.0,0.0888,0.10977871183088146
856.5,0.0936,0.11337209302325582
856.0,0.0886,0.1083924639099584
855.5,0.0926,0.11265206812652069
855.0,0.0868,0.10626836434867777
854.5,0.0906,0.10931467181467182
854.0,0.0884,0.10776545166402536
853.5,0.0846,0.1028071454611739
853.0,0.0897,0.10851681587224776
852.5,0.0878,0.10607708106801982
852.0,0.0826,0.10007269202810759
851.5,0.0864,0.10549450549450551
851.0,0.0866,0.10576453346360527
850.5,0.0861,0.10398550724637681
850.0,0.0837,0.10109916656601038
849.5,0.0874,0.10615814405441516
849.0,0.0876,0.10619469026548672
848.5,0.0879,0.10711674384596638
848.0,0.0881,0.1061701614846951
847.5,0.0856,0.1037827352085354
847.0,0.0842,0.10206060606060606
846.5,0.0819,0.09872227579556413
846.0,0.0851,0.10300169450496247
845.5,0.084,0.1015842302575886
845.0,0.0842,0.10203587009209887
844.5,0.0827,0.09990335829910606
844.0,0.0836,0.10105161368306538
843.5,0.0825,0.09934971098265896
843.0,0.0842,0.10211011399466408
842.5,0.084,0.10142477662400387
842.0,0.0845,0.10197924209510018
841.5,0.0835,0.1005902903264667
841.0,0.0839,0.10158614844412157
840.5,0.0834,0.10061527325370974
840.0,0.0849,0.10261058738216099
839.5,0.083,0.10004821600771456
839.0,0.0837,0.10092849391052694
838.5,0.0831,0.10019291053773811
838.0,0.0837,0.10124591750332648
837.5,0.0853,0.10299444578604201
837.0,0.0842,0.10198643410852713
836.5,0.0832,0.10041033067825247
836.0,0.0848,0.10205800938741125
835.5,0.0854,0.102990834539315
835.0,0.0834,0.10073680396183114
834.5,0.0833,0.10047038957906164
834.0,0.0841,0.10163141993957703
833.5,0.086,0.10395261694669405
833.0,0.0849,0.1027596223674655
832.5,0.083,0.10058167716917112
832.0,0.084,0.10157194679564693
831.5,0.0852,0.10301051867972434
831.0,0.0864,0.10454985479186835
830.5,0.0844,0.10204328376254383
830.0,0.085,0.10266940451745381
829.5,0.0855,0.10329829648423343
829.0,0.0842,0.10185073182532962
828.5,0.0835,0.10106511740498669
828.0,0.0844,0.10225345287133511
827.5,0.0854,0.10321489001692047
827.0,0.0851,0.1031265147842947
826.5,0.0856,0.1036068748487049
826.0,0.0851,0.10320155226776619
825.5,0.0853,0.10325626437477303
825.0,0.0858,0.10391183238464334
824.5,0.0855,0.10359869138495092
824.0,0.0841,0.10182830851192638
823.5,0.0851,0.10292694726656991
823.0,0.0851,0.10320155226776619
822.5,0.0853,0.1037712895377129
822.0,0.0853,0.10324376664245945
821.5,0.0865,0.10473422932558421
821.0,0.0861,0.10442692540933898
820.5,0.0848,0.10312538003161863
820.0,0.0848,0.10302514882760296
819.5,0.0874,0.10599078341013826
819.0,0.0871,0.10563978168587022
818.5,0.0862,0.10453553237933544
818.0,0.0856,0.10374500060598715
817.5,0.0867,0.10512913786831575
817.0,0.0864,0.10473996848102801
816.5,0.0861,0.1045156591405681
816.0,0.086,0.10430563978168586
815.5,0.0865,0.10488662543955377
815.0,0.0861,0.10450297366185217
814.5,0.0856,0.10400972053462941
814.0,0.0865,0.1050394656952034
813.5,0.086,0.10410361941653552
813.0,0.086,0.10448305187705016
812.5,0.0854,0.10380454600704997
812.0,0.0862,0.10452285679641081
811.5,0.0855,0.10353596512472754
811.0,0.0858,0.10418943533697632
810.5,0.0861,0.10449029126213592
810.0,0.0865,0.10493752274657284
809.5,0.0861,0.10438894277400582
809.0,0.0866,0.10514813016027197
808.5,0.0864,0.1047653692251728
808.0,0.0856,0.10383309073265404
807.5,0.0855,0.1036238031753727
807.0,0.0861,0.10433834222006785
806.5,0.0865,0.10487390882638215
806.0,0.0863,0.10469489263617615
805.5,0.0853,0.10314389359129383
805.0,0.0864,0.10477807421780258
804.5,0.0861,0.1044395924308588
804.0,0.0854,0.10354025218234725
803.5,0.0851,0.10318903843821996
803.0,0.0873,0.10579253514299564
802.5,0.0855,0.10358614005330749
802.0,0.0854,0.10327730076188174
801.5,0.0855,0.1036238031753727
801.0,0.0867,0.10502725620835857
800.5,0.0862,0.10453553237933544
800.0,0.0857,0.10369026013309135
799.5,0.0852,0.10314769975786925
