lambda,transmittance,polished
900.0,-0.1203,-0.18450920245398772
899.5,0.0501,0.06236773310095854
899.0,0.0475,0.07956448911222781
898.5,0.2201,0.25403970452446906
898.0,0.4889,0.5774864162532483
897.5,0.133,0.19990981512099806
897.0,0.2251,0.3905951761235467
896.5,-0.1135,-0.1515960999065046
896.0,0.0954,0.09947862356621481
895.5,0.1206,0.13959949068179187
895.0,-0.0877,-0.08678013061547596
894.5,0.072,0.10288653901114604
894.0,0.096,0.09436744323208493
893.5,0.3003,0.4190622383477533
893.0,0.0727,0.10530127462340672
892.5,0.0647,0.10098329951615419
892.0,-0.0785,-0.09602446483180428
891.5,-0.1501,-0.19836130566935378
891.0,-0.1014,-0.11337209302325582
890.5,-0.1791,-0.20324557421697687
890.0,-0.0696,-0.08071436854922881
889.5,0.079,0.09203168685927306
889.0,-0.026,-0.027559889760440957
888.5,0.0899,0.11166314743510122
888.0,0.2142,0.2749326145552561
887.5,0.0137,0.016136631330977622
887.0,0.0022,0.002174342755485274
886.5,-0.0193,-0.03219349457881568
886.0,0.1018,0.12423724676592629
885.5,0.0585,0.06722592507469548
885.0,0.1136,0.13009619789280807
884.5,-0.0111,-0.014538310412573675
884.0,-0.0155,-0.020855758880516686
883.5,0.1009,0.11940828402366865
883.0,0.0407,0.04618701770313209
882.5,-0.0123,-0.01484610742305371
882.0,-0.0111,-0.015004055150040552
881.5,0.1059,0.14097444089456868
881.0,0.0045,0.0053814876823726375
880.5,0.0853,0.0967010543022333
880.0,0.0591,0.07060088400430056
879.5,0.0466,0.059062103929024085
879.0,0.0025,0.0031498047121078497
878.5,0.0134,0.015289821999087176
878.0,0.0389,0.04902949331988908
877.5,-0.0298,-0.03225457300573655
877.0,-0.0198,-0.02471293060409386
876.5,-0.0049,-0.0058091286307053935
876.0,0.019,0.02430910951893552
875.5,-0.0189,-0.0244280728964715
875.0,0.0115,0.014447236180904521
874.5,0.0193,0.02370133857300749
874.0,0.0087,0.011077158135981665
873.5,0.0188,0.02378843477160572
873.0,-0.0331,-0.0413439920059955
872.5,0.0175,0.020815986677768527
872.0,-0.0021,-0.0026874840030714103
871.5,0.0255,0.03078223080637373
871.0,0.0072,0.008554116668646786
870.5,0.0178,0.021567914697685688
870.0,0.0327,0.040415276232851315
869.5,0.0082,0.009940598860467937
869.0,0.0135,0.01676602086438152
868.5,0.018,0.022877478393492624
868.0,0.0133,0.016035688449481552
867.5,0.0289,0.03476064469569401
867.0,0.0133,0.016088060965283656
866.5,0.0066,0.008045836888943069
866.0,0.0217,0.026586620926243566
865.5,0.0247,0.029723225030084236
865.0,-0.0031,-0.003796693202694427
864.5,0.0093,0.01147156778093006
864.0,0.0111,0.013700320908417675
863.5,0.0055,0.006809458957533737
863.0,0.0179,0.022063355109084186
862.5,0.0058,0.0071017509489408595
862.0,0.016,0.019540791402051783
861.5,0.0103,0.012591687041564792
861.0,-0.0042,-0.005226480836236933
860.5,0.0125,0.015149678826808873
860.0,0.0094,0.011219861542134162
859.5,0.0067,0.008153827430935866
859.0,0.0125,0.015464555239391315
858.5,0.0087,0.01066699362432565
858.0,0.0198,0.023970944309927363
857.5,0.0156,0.01909424724602203
857.0,0.0166,0.02052169613054766
856.5,0.0138,0.016715116279069766
856.0,0.0153,0.018717885979936382
855.5,0.0094,0.011435523114355231
855.0,0.0098,0.011998041136141039
854.5,0.0205,0.024734555984555987
854.0,0.0113,0.01377544800682677
853.5,0.0187,0.022724510876169647
853.0,0.021,0.025405274618920882
852.5,0.0166,0.02005557569167573
852.0,0.0162,0.019626847589047734
851.5,0.0175,0.02136752136752137
851.0,0.0074,0.009037616023448951
850.5,0.0155,0.018719806763285024
850.0,0.02,0.02415750694528325
849.5,0.0156,0.01894813555204664
849.0,0.0152,0.01842647593647715
848.5,0.0195,0.023763100170606875
848.0,0.0135,0.016268980477223426
847.5,0.0173,0.02097478176527643
847.0,0.0165,0.02
846.5,0.0167,0.020130183220829316
846.0,0.0144,0.017429193899782133
845.5,0.0156,0.018865642762123595
845.0,0.0182,0.022055259331071254
844.5,0.0175,0.021140372070548443
844.0,0.014,0.016922519037833917
843.5,0.0172,0.02071290944123314
