lambda,transmittance,polished
900.0,0.0406,0.06226993865030674
899.5,-0.0101,-0.012573135814764097
899.0,0.0131,0.021943048576214406
898.5,0.0742,0.08564173591874423
898.0,-0.1289,-0.15225608315615402
897.5,-0.0304,-0.045693672027656694
897.0,-0.006,-0.010411244143675169
896.5,-0.0198,-0.02644583945505543
896.0,-0.081,-0.08446298227320126
895.5,0.0129,0.014932283829146893
895.0,-0.0949,-0.09390461112210569
894.5,0.0494,0.07059159759931409
894.0,0.007,0.006880959402339526
893.5,0.0445,0.06209879988836171
893.0,-0.0165,-0.023899188876013906
892.5,-0.0282,-0.04401435929452161
892.0,0.018,0.02201834862385321
891.5,-0.0111,-0.014668957314655742
891.0,0.0019,0.00212432915921288
890.5,-0.0197,-0.02235587834770767
890.0,0.0373,0.0432564072828482
889.5,-0.0277,-0.03226933830382106
889.0,0.011,0.011659953360186558
888.5,-0.0104,-0.012917649981368773
888.0,-0.0114,-0.014632268001540239
887.5,0.0386,0.04546525323910483
887.0,-0.0037,-0.0036568491796797786
886.5,0.029,0.04837364470391993
886.0,0.0051,0.006224066390041494
885.5,-0.0199,-0.02286830613652034
885.0,0.0051,0.005840586349060926
884.5,-0.0011,-0.001440733464309103
884.0,-0.0013,-0.0017491926803013993
883.5,-0.0214,-0.025325443786982246
883.0,-0.0322,-0.036541080344984114
882.5,-0.0129,-0.015570307785153892
882.0,-0.0014,-0.001892403352257367
881.5,0.0131,0.017438764643237487
881.0,-0.0069,-0.008251614446304711
880.5,0.0069,0.007822242376147828
880.0,0.0294,0.03512125194122566
879.5,0.0117,0.014828897338403042
879.0,0.0018,0.0022678593927176515
878.5,-0.0077,-0.008785942492012781
878.0,-0.0012,-0.0015124779430299973
877.5,0.03,0.03247104665007035
877.0,0.0045,0.0056165751372940585
876.5,-0.0078,-0.00924718435091879
876.0,-0.0088,-0.011258955987717504
875.5,-0.0005,-0.0006462453147214682
875.0,0.0062,0.00778894472361809
874.5,-0.0108,-0.013262925211838389
874.0,0.0085,0.010822510822510824
873.5,0.0018,0.002277616095153739
873.0,-0.0025,-0.0031226580064951286
872.5,-0.0122,-0.014511716426787202
872.0,0.0023,0.0029434348605067826
871.5,-0.0024,-0.0028971511347175272
871.0,0.0011,0.0013068789354877036
870.5,-0.0063,-0.007633587786259542
870.0,0.0052,0.006426894079841799
869.5,0.0041,0.004970299430233968
869.0,-0.0037,-0.004595131644311972
868.5,-0.0029,-0.0036858159633960342
868.0,-0.0048,-0.005787316132143718
867.5,0.0052,0.006254510464277122
867.0,-0.0032,-0.0038708116608201283
866.5,0.0018,0.002194319151529928
866.0,-0.0008,-0.00098015192354815
865.5,0.0026,0.003128760529482551
865.0,-0.0024,-0.0029393753827311694
864.5,0.0011,0.00135685210312076
864.0,0.0015,0.0018513947173537397
863.5,-0.0003,-0.00037142503404729476
863.0,-0.0027,-0.0033279921114261063
862.5,-0.001,-0.0012244398187829068
862.0,0.0011,0.0013434294088910603
861.5,0.0021,0.002567237163814181
861.0,0.0015,0.001866600298656048
860.5,0.0022,0.002666343473518362
860.0,0.0012,0.00143232275005968
859.5,-0.0022,-0.0026773761713520753
859.0,0.0008,0.0009897315353210442
858.5,0.0011,0.001348700343305542
858.0,0.002,0.002421307506053269
857.5,0.0018,0.002203182374541004
857.0,0.0013,0.0016071207813079492
856.5,0.0013,0.0015746124031007752
856.0,-0.0002,-0.00024467824810374357
855.5,0.0017,0.002068126520681265
855.0,0.0003,0.0003672869735553379
854.5,0.0013,0.0015685328185328184
854.0,0.0008,0.0009752529562355236
853.5,0.002,0.002430428970713331
853.0,0.0013,0.0015727074764093879
852.5,0.0007,0.0008457170472393379
852.0,0.0006,0.0007269202810758419
851.5,0.0007,0.0008547008547008547
851.0,0.0015,0.0018319491939423548
850.5,0.001,0.001207729468599034
850.0,0.0014,0.0016910254861698273
849.5,0.0004,0.0004858496295396575
849.0,0.0008,0.0009698145229724816
848.5,0.0012,0.0014623446258834997
848.0,0.0019,0.002289708363461075
847.5,0.0013,0.0015761396702230843
847.0,0.001,0.0012121212121212121
846.5,0.0011,0.001325940212150434
846.0,0.0009,0.0010893246187363833
845.5,0.0015,0.0018140041117426535
845.0,0.0013,0.0015753756665050896
844.5,0.0012,0.001449625513409036
844.0,0.0017,0.0020548773117369753
843.5,0.0012,0.001445086705202312
843.0,0.0007,0.0008488964346349745
842.5,0.0011,0.0013281815986476697
842.0,0.0009,0.0010861694424330196
841.5,0.0013,0.0015660763763402
841.0,0.0013,0.0015740404407313235
840.5,0.001,0.0012064181445288937
840.0,0.0011,0.0013294657964708727
839.5,0.0007,0.0008437801350048216
839.0,-0.0003,-0.00036175087423127937
838.5,0.0007,0.0008439836026042922
838.0,0.0006,0.000725777186403774
837.5,0.0012,0.0014489253803429121
837.0,0.0012,0.0014534883720930232
836.5,0.0012,0.001448225923244026
836.0,0.0013,0.0015645685401372007
835.5,0.003,0.00361794500723589
835.0,0.001,0.0012078753472641625
834.5,0.0012,0.001447352550958871
834.0,0.0012,0.0014501510574018125
833.5,0.001,0.0012087513598452798
833.0,0.0013,0.0015734688937303315
832.5,0.0009,0.0010906446921958312
832.0,0.001,0.0012091898428053206
831.5,0.0012,0.0014508523757707653
831.0,0.0011,0.0013310745401742497
830.5,0.0012,0.0014508523757707653
830.0,0.0011,0.0013286628819905786
829.5,0.0011,0.0013289839313761025
829.0,0.001,0.00120962864400629
828.5,0.001,0.0012103606874848704
828.0,0.0011,0.001332687181972377
827.5,0.0008,0.0009668842156151801
827.0,0.001,0.0012118274357731458
826.5,0.0011,0.0013313967562333575
826.0,0.001,0.001212709192335678
825.5,0.0011,0.0013315579227696406
825.0,0.0012,0.0014533123410439626
824.5,0.0012,0.0014540167211922934
824.0,0.0008,0.000968640271219276
823.5,0.0012,0.001451378809869376
823.0,0.001,0.001212709192335678
822.5,0.0011,0.0013381995133819953
822.0,0.0009,0.0010893246187363833
821.5,0.001,0.001210800339024095
821.0,0.0009,0.001091570648878108
820.5,0.0012,0.0014593214155417728
820.0,0.0009,0.0010934272870854087
819.5,0.001,0.001212709192335678
819.0,0.0011,0.0013341419041843542
