lambda,transmittance,polished,trasm_error
<<<<<<< HEAD
9.000000000000001e-07,0.4534,0.5097245643620012,0.0030583473861720075
8.995e-07,0.4549,0.6284017129437768,0.0037704102776626607
8.990000000000001e-07,0.5104,0.6121372031662269,0.0036728232189973615
8.985000000000001e-07,0.5103,0.5354669464847849,0.0032128016789087096
8.98e-07,0.4748,0.4528805799313239,0.0027172834795879436
8.975000000000001e-07,0.4692,0.48737924587098785,0.002924275475225927
8.97e-07,0.4213,0.47577639751552797,0.002854658385093168
8.965e-07,0.448,0.44652646267317847,0.0026791587760390707
8.960000000000001e-07,0.4525,0.4868732515601463,0.0029212395093608776
8.955e-07,0.523,0.5739054098540547,0.003443432459124328
8.95e-07,0.4866,0.5476029709655638,0.0032856178257933827
8.945000000000001e-07,0.4878,0.5267818574514038,0.003160691144708423
8.94e-07,0.4502,0.5139269406392694,0.003083561643835616
8.935000000000001e-07,0.4544,0.5045525205418611,0.0030273151232511663
8.930000000000001e-07,0.5481,0.636881245642575,0.0038212874738554497
8.925e-07,0.4228,0.48980537534754404,0.002938832252085264
8.920000000000001e-07,0.4343,0.4912340233005316,0.0029474041398031897
8.915000000000001e-07,0.4498,0.4992784992784992,0.0029956709956709955
8.91e-07,0.4714,0.5523140011716461,0.0033138840070298763
8.905000000000001e-07,0.4793,0.5310214934633282,0.0031861289607799685
8.900000000000001e-07,0.4614,0.48102585487906585,0.0028861551292743946
8.895e-07,0.4836,0.5341285619615639,0.003204771371769383
8.890000000000001e-07,0.4181,0.453126693399805,0.00271876016039883
8.885e-07,0.4287,0.494178674351585,0.00296507204610951
8.88e-07,0.4242,0.47636159460976985,0.0028581695676586187
8.875000000000001e-07,0.4384,0.4537362864831298,0.0027224177188987786
8.87e-07,0.4566,0.4997263872168108,0.002998358323300865
8.865e-07,0.4294,0.4866273798730735,0.002919764279238441
8.860000000000001e-07,0.4783,0.5262984154929577,0.0031577904929577464
8.855e-07,0.4366,0.45636040556078183,0.002738162433364691
8.850000000000001e-07,0.4436,0.5020371208691715,0.0030122227252150293
8.845000000000001e-07,0.4401,0.46175637393767704,0.0027705382436260624
8.84e-07,0.4473,0.4780889268918341,0.0028685335613510042
8.835000000000001e-07,0.454,0.48421501706484643,0.0029052901023890786
8.830000000000001e-07,0.4287,0.4788339104210879,0.0028730034625265273
8.825e-07,0.4319,0.45496681765511426,0.0027298009059306856
8.820000000000001e-07,0.4413,0.49011550422034655,0.0029406930253220794
8.815e-07,0.4609,0.5047087166009636,0.0030282522996057815
8.81e-07,0.4539,0.5112637981527371,0.0030675827889164228
8.805000000000001e-07,0.453,0.485322476965931,0.002911934861795586
8.8e-07,0.455,0.5021520803443329,0.0030129124820659973
8.795e-07,0.4488,0.5213754646840149,0.0031282527881040887
8.790000000000001e-07,0.4403,0.47010463378176387,0.002820627802690583
8.785e-07,0.4375,0.48465713969203505,0.0029079428381522106
8.780000000000001e-07,0.4457,0.49379570130733436,0.002962774207844006
8.775000000000001e-07,0.4368,0.4998283556470992,0.0029989701338825952
8.77e-07,0.4455,0.4884332858239228,0.002930599714943537
8.765000000000001e-07,0.4634,0.5030395136778115,0.003018237082066869
8.760000000000001e-07,0.4567,0.5034171075837742,0.0030205026455026453
8.755e-07,0.438,0.477332170880558,0.002863993025283348
8.750000000000001e-07,0.4464,0.4898496653132887,0.0029390979918797323
8.745000000000001e-07,0.4442,0.5026592735091094,0.0030159556410546567
8.74e-07,0.4388,0.479458041958042,0.0028767482517482517
8.735000000000001e-07,0.4526,0.4919565217391304,0.0029517391304347824
8.73e-07,0.445,0.4965963620131682,0.002979578172079009
8.725e-07,0.444,0.4830287206266318,0.0028981723237597908
8.720000000000001e-07,0.4462,0.4953924725213723,0.0029723548351282335
8.715e-07,0.4537,0.49352768410747305,0.0029611661046448383
8.71e-07,0.4548,0.508099653669981,0.003048597922019886
8.705000000000001e-07,0.4434,0.4982582312619395,0.0029895493875716373
8.7e-07,0.4445,0.48552703440742767,0.0029131622064445663
8.695000000000001e-07,0.4486,0.4907022533362503,0.002944213520017502
