lambda,transmittance,polished
900.0,0.2048,0.23024170882518272
899.5,0.1409,0.19464014366625224
899.0,0.192,0.23027104821300073
898.5,0.1736,0.1821615949632739
898.0,0.1172,0.11178939336131248
897.5,0.1282,0.13316713410200479
897.0,0.2148,0.24257481648785997
896.5,0.146,0.14551978471045549
896.0,0.144,0.1549386701097482
895.5,0.1256,0.13782508504334465
895.0,0.1288,0.14494710781003828
894.5,0.1692,0.18272138228941684
894.0,0.1795,0.20490867579908675
893.5,0.1562,0.17343992893626473
893.0,0.1635,0.18998373227980478
892.5,0.1433,0.16601019462465247
892.0,0.1471,0.16638389322474834
891.5,0.1659,0.18414918414918413
891.0,0.1928,0.22589338019917984
890.5,0.1922,0.2129403944161312
890.0,0.1795,0.18713511259382817
889.5,0.1698,0.18754141815772035
889.0,0.164,0.17773924352443915
888.5,0.1757,0.20253602305475502
888.0,0.1646,0.18483997754070747
887.5,0.1708,0.176774994825088
887.0,0.1746,0.19109116777935867
886.5,0.1589,0.18007706255666367
886.0,0.1801,0.19817341549295775
885.5,0.1779,0.18595170899968644
885.0,0.1664,0.18832050701674963
884.5,0.1545,0.1621026125275417
884.0,0.1612,0.17229585292860197
883.5,0.1529,0.16307593856655292
883.0,0.1701,0.18999218139171228
882.5,0.1802,0.18982408090171704
882.0,0.1758,0.19524655708573968
881.5,0.1625,0.17794568550153309
881.0,0.178,0.20049560711872041
880.5,0.1742,0.18662952646239553
880.0,0.1669,0.18419600485597615
879.5,0.154,0.17890334572490707
879.0,0.1627,0.17371343156096522
878.5,0.1791,0.19840478564307082
878.0,0.1798,0.19920230445380013
877.5,0.1687,0.193042682229088
877.0,0.1646,0.18046266856704307
876.5,0.1677,0.18204515848892747
876.0,0.1746,0.19246031746031747
875.5,0.1757,0.19147776809067132
875.0,0.1721,0.18885109184681226
874.5,0.1781,0.2015389838180378
874.0,0.1671,0.18258304195804195
873.5,0.1724,0.18739130434782608
873.0,0.1707,0.19049213257448944
872.5,0.1722,0.18733681462140991
872.0,0.1754,0.19473742644609748
871.5,0.1701,0.18503208963341672
871.0,0.174,0.19439168807954418
870.5,0.1735,0.194965726486122
870.0,0.178,0.19442927362097215
869.5,0.175,0.1914241960183767
869.0,0.1738,0.192512184315463
868.5,0.1786,0.1958548086412984
868.0,0.1787,0.19877641824249165
867.5,0.1767,0.19486104984561092
867.0,0.171,0.18928492362187294
866.5,0.1776,0.19746497665110074
866.0,0.1722,0.19387525332132402
865.5,0.1739,0.19223966393986294
865.0,0.1783,0.19701657458563535
864.5,0.1759,0.19217742816562874
864.0,0.1755,0.19565217391304346
863.5,0.1798,0.19966685174902832
863.0,0.1788,0.19890977861831124
862.5,0.1761,0.1937506876444053
862.0,0.1781,0.19937311093697527
861.5,0.1784,0.19576429276857238
861.0,0.1753,0.19021267361111113
860.5,0.181,0.20057624113475178
860.0,0.1781,0.1971659470829182
859.5,0.1796,0.19819024497903334
859.0,0.1806,0.19863616366036077
858.5,0.1788,0.19689461513049222
858.0,0.1808,0.19852860437026462
857.5,0.18,0.1986535702461097
857.0,0.1814,0.1998677831643896
856.5,0.1806,0.19820017559262512
856.0,0.1819,0.19962686567164178
855.5,0.1816,0.2007295235989831
855.0,0.1829,0.20010940919037198
854.5,0.1834,0.2007443082311734
854.0,0.1835,0.19997820401046207
853.5,0.1822,0.19993415999122133
853.0,0.1836,0.20151465261771487
852.5,0.1842,0.20270716408055464
852.0,0.1827,0.19997810858143608
851.5,0.1848,0.2019230769230769
851.0,0.186,0.2019105514546244
850.5,0.1857,0.20208945478289259
850.0,0.1869,0.20502413339183853
849.5,0.1854,0.20215897939156036
849.0,0.1871,0.20392370572207083
848.5,0.1878,0.20479825517993455
848.0,0.1886,0.20618782114354434
847.5,0.1869,0.20310801999565312
847.0,0.1885,0.20583096746014415
846.5,0.1894,0.2058695652173913
846.0,0.1882,0.20536883457005675
845.5,0.1904,0.20799650426043262
845.0,0.1905,0.20753894759777752
844.5,0.1896,0.2063561166739225
844.0,0.1906,0.20690403821102907
843.5,0.1908,0.20694143167028198
843.0,0.1904,0.20673181324647122
842.5,0.1901,0.20654063450673618
842.0,0.1937,0.21031487513572206
841.5,0.1916,0.2079895788102475
841.0,0.1914,0.2080208672970329
840.5,0.1925,0.20878524945770063
840.0,0.1927,0.20866269626421224
839.5,0.1925,0.20887586805555555
839.0,0.194,0.21061773965910324
838.5,0.1938,0.21067507337754102
838.0,0.1954,0.2118616502222704
837.5,0.1941,0.21058912878376912
837.0,0.1951,0.21146759158898765
836.5,0.1953,0.2121903520208605
836.0,0.1955,0.2122462273368798
835.5,0.1961,0.21303639326453014
835.0,0.1968,0.21335646140503037
834.5,0.1965,0.21342456826327796
834.0,0.1969,0.21314137259147
833.5,0.1974,0.2137983320697498
833.0,0.1978,0.21462673611111113
832.5,0.1975,0.21439426834563613
832.0,0.198,0.21430890789046433
831.5,0.1985,0.21536291635022242
831.0,0.1985,0.21550320269243298
830.5,0.199,0.21606948968512488
830.0,0.1998,0.21700879765395895
829.5,0.1998,0.21689101172383848
829.0,0.1999,0.21676425937974408
828.5,0.2006,0.21764131496148423
828.0,0.2006,0.21792504073872895
827.5,0.201,0.21843077591827864
827.0,0.2016,0.21898761677167067
826.5,0.2018,0.21934782608695652
826.0,0.2021,0.21984118350919177
825.5,0.2023,0.22027439024390244
825.0,0.2025,0.21998913633894623
824.5,0.2032,0.22130254846438682
824.0,0.2032,0.22096563723357981
823.5,0.2041,0.2218960643618178
823.0,0.2039,0.22201655052264807
822.5,0.2036,0.22171403680714363
822.0,0.2048,0.22297223734349483
821.5,0.2041,0.22172732210755025
821.0,0.2053,0.2233220928967693
820.5,0.2061,0.22436316133246245
820.0,0.2058,0.22435408263381665
819.5,0.206,0.22384005215690533
819.0,0.2068,0.22495376917219626
818.5,0.2069,0.22518502394427514
818.0,0.2069,0.2254058176271925
817.5,0.2081,0.22683671244822326
817.0,0.2079,0.22600282639417327
816.5,0.2081,0.2268614411860896
816.0,0.2093,0.22735172713447754
815.5,0.2084,0.2269410867908091
815.0,0.2094,0.2281542819786446
814.5,0.2095,0.2279403764552279
814.0,0.2091,0.227703364913427
813.5,0.2098,0.2282916213275299
813.0,0.2105,0.22960296684118675
812.5,0.2111,0.2293568013906997
812.0,0.2109,0.2295635136606074
811.5,0.2122,0.23097855665614456
811.0,0.2125,0.23153192416648508
810.5,0.2131,0.23178159669349577
810.0,0.2129,0.2315388798259924
809.5,0.2127,0.23149760557248586
809.0,0.2132,0.23194081810269798
808.5,0.2154,0.23448726322664926
808.0,0.2137,0.23281403202963286
807.5,0.215,0.23400087070091424
807.0,0.2157,0.23445652173913042
806.5,0.2157,0.23435462842242505
806.0,0.2169,0.2356840160817125
805.5,0.2162,0.2353581537121707
805.0,0.2161,0.23514689880304676
804.5,0.2168,0.23514099783080258
804.0,0.2184,0.23728813559322035
803.5,0.2171,0.23636363636363636
803.0,0.2191,0.23835944299390774
802.5,0.2186,0.23753123981310442
802.0,0.2185,0.23757747091442863
801.5,0.2205,0.2395697522816167
801.0,0.2198,0.2384982638888889
800.5,0.2196,0.238384715588363
800.0,0.2217,0.240612112003473
799.5,0.2211,0.23972677003144313
799.0,0.222,0.24130434782608695
798.5,0.2226,0.24127465857359637
798.0,0.2221,0.24112474215611768
797.5,0.223,0.24191798654805816
797.0,0.2244,0.24401913875598086
796.5,0.2229,0.24209840338872596
796.0,0.2245,0.24325495720013002
795.5,0.2252,0.24422513827133716
795.0,0.2243,0.24324910530311245
794.5,0.2266,0.24566348655680834
794.0,0.2261,0.24512142237640935
793.5,0.2261,0.2455206862851558
793.0,0.2278,0.24683064253982012
792.5,0.2269,0.24612213906063563
792.0,0.2271,0.24666014988595633
791.5,0.2294,0.24848353552859617
791.0,0.2282,0.24747858149875282
790.5,0.2286,0.24767063921993498
790.0,0.231,0.25035222715942346
789.5,0.2283,0.24737241304583377
789.0,0.2308,0.25010836584308627
788.5,0.2313,0.25073170731707317
788.0,0.2298,0.24918672739102146
787.5,0.2319,0.2514911614792322
787.0,0.2323,0.2515158077089649
786.5,0.2313,0.25073170731707317
786.0,0.2335,0.2525689561925365
785.5,0.234,0.252972972972973
785.0,0.2326,0.2518133593157952
784.5,0.2356,0.25495076290444757
784.0,0.2347,0.25372972972972974
783.5,0.2336,0.2526224721531308
783.0,0.2366,0.25594980527909994
782.5,0.2356,0.2550335570469799
782.0,0.2362,0.25535135135135134
781.5,0.2381,0.2572663425175581
781.0,0.2363,0.25540423692174663
780.5,0.2379,0.2576348278102664
780.0,0.2401,0.25931526082730316
779.5,0.2378,0.2577498374159983
779.0,0.2393,0.2582281212906011
778.5,0.24,0.25926326023549745
778.0,0.2391,0.2589343729694607
777.5,0.242,0.2615367988760402
777.0,0.2406,0.2601081081081081
776.5,0.2403,0.2598399653979239
776.0,0.2432,0.26294734565899014
775.5,0.2416,0.2612174289112336
775.0,0.2431,0.2629529475392104
774.5,0.2443,0.26390839364805013
774.0,0.2426,0.26201533642942004
773.5,0.2448,0.2644485254402074
773.0,0.2451,0.2644012944983819
772.5,0.2437,0.26311811703735694
772.0,0.2471,0.2665875498975078
771.5,0.2456,0.26491209146801853
771.0,0.2457,0.265220207253886
770.5,0.249,0.26785714285714285
770.0,0.2463,0.2660401814646792
769.5,0.2484,0.2673555053277365
769.0,0.2491,0.2690645927846187
768.5,0.2472,0.2669258179462261
768.0,0.2506,0.270392749244713
767.5,0.2493,0.269077172153265
767.0,0.2506,0.270743301642178
766.5,0.2522,0.27179652979846963
766.0,0.2502,0.26981559365901
765.5,0.2528,0.2723550958845077
765.0,0.2522,0.27220723151645976
764.5,0.2524,0.27236430344232226
764.0,0.2557,0.2755981892649278
763.5,0.2531,0.2728840970350404
763.0,0.2554,0.2756015970648538
762.5,0.2562,0.2754542522309429
762.0,0.2544,0.2741083934920806
761.5,0.2576,0.27707862751425194
761.0,0.2562,0.2763157894736842
760.5,0.2562,0.2757507265095253
760.0,0.259,0.2788244159758855
759.5,0.2565,0.27690812911583723
759.0,0.2603,0.2795017717169548
758.5,0.2588,0.2789394266005604
758.0,0.2588,0.27815993121238175
757.5,0.2624,0.28227194492254737
757.0,0.2599,0.2802760703116575
756.5,0.2619,0.28167347816734783
756.0,0.2627,0.2826554766516032
755.5,0.261,0.2807659208261618
755.0,0.2653,0.28502363558229477
754.5,0.2627,0.28271631510977185
754.0,0.2638,0.2837169283716928
753.5,0.2654,0.2848250697574587
753.0,0.2633,0.28382020049584994
752.5,0.2676,0.28727858293075687
752.0,0.2656,0.28546861564918313
751.5,0.2671,0.28735879505110273
751.0,0.2689,0.2883027768843143
750.5,0.2666,0.28642028362698757
750.0,0.2702,0.2901009233412068
749.5,0.2688,0.2887528198517564
749.0,0.2692,0.2891514500537057
748.5,0.2724,0.29218062855304083
748.0,0.269,0.2891851214792518
747.5,0.2727,0.29247104247104244
747.0,0.2717,0.2914923291492329
746.5,0.2711,0.2907550407550408
746.0,0.2755,0.2953473413379074
745.5,0.2724,0.29240017174753113
745.0,0.2746,0.2945403839965676
744.5,0.2754,0.29555698647778494
744.0,0.2735,0.29329758713136733
743.5,0.2778,0.2978130360205832
743.0,0.2753,0.2955130957492486
742.5,0.2779,0.29760119940029983
742.0,0.2785,0.29792468977321357
741.5,0.2763,0.2963002680965147
741.0,0.2807,0.30043883121053194
740.5,0.2785,0.29814794989829785
740.0,0.2791,0.298790279413339
739.5,0.2819,0.3014650839482408
739.0,0.2795,0.29918646970670093
738.5,0.2831,0.30245726495726494
738.0,0.2815,0.3010051325919589
737.5,0.2827,0.3019331410872584
737.0,0.2852,0.30483112441214194
736.5,0.2829,0.30279353526704483
736.0,0.2869,0.3057657465629329
735.5,0.2842,0.303340804781727
735.0,0.2862,0.3046625505641899
734.5,0.2881,0.3071101161923036
734.0,0.2859,0.3051552993916106
733.5,0.2915,0.3100404169325675
733.0,0.2875,0.3060789949962738
732.5,0.2909,0.3095668830477812
732.0,0.2918,0.31045855942121503
731.5,0.2905,0.3086157441835759
731.0,0.2944,0.31265930331350894
730.5,0.2912,0.30870348775575107
730.0,0.2954,0.31302320652749815
729.5,0.294,0.31173788569610855
729.0,0.2952,0.3124801524293427
728.5,0.2968,0.3138084161556355
728.0,0.2951,0.31161562829989436
727.5,0.3,0.316055625790139
727.0,0.2977,0.31416209371042636
726.5,0.3009,0.31633725820016817
726.0,0.3001,0.3155625657202944
725.5,0.3012,0.3158225857187795
725.0,0.3045,0.31901519119958094
724.5,0.3021,0.3159380882660531
724.0,0.3071,0.32039645279081896
723.5,0.3043,0.3168471470220741
723.0,0.3089,0.32093506493506496
722.5,0.3083,0.31978010579815375
722.0,0.3099,0.3197152584339214
721.5,0.3126,0.3220688234082011
721.0,0.3106,0.3192845394736842
720.5,0.3158,0.32349928293382507
720.0,0.3132,0.32057318321392014
719.5,0.3189,0.32431607851113603
719.0,0.3168,0.32260692464358454
718.5,0.3198,0.3246700507614213
718.0,0.321,0.3259545085296507
717.5,0.3207,0.32456229126606617
717.0,0.3242,0.32793849888731536
716.5,0.3209,0.3255554428325048
716.0,0.3247,0.32977859029047324
715.5,0.3219,0.3282349342306516
715.0,0.3233,0.3295616717635066
714.5,0.322,0.32954661754170506
714.0,0.3223,0.33103944124897283
713.5,0.3221,0.33233594717292614
713.0,0.3205,0.33157459135112766
712.5,0.3234,0.33593019632284205
712.0,0.3194,0.33184415584415583
711.5,0.3229,0.33719715956558066
711.0,0.3205,0.33591866680641447
710.5,0.3223,0.338124213176668
710.0,0.3224,0.3398334563086329
709.5,0.3207,0.3381841189496994
709.0,0.3229,0.3411155715191211
708.5,0.3203,0.33973271107339836
708.0,0.3236,0.3432329232074671
707.5,0.3221,0.342113648433351
707.0,0.3244,0.34503297170814723
706.5,0.3232,0.34375664752180385
706.0,0.3245,0.34517604510158495
705.5,0.3261,0.3464357803038351
705.0,0.3242,0.34452709883103083
704.5,0.328,0.3491590376836279
704.0,0.3256,0.3464935617750346
703.5,0.3297,0.35000000000000003
703.0,0.3275,0.34821903242955876
702.5,0.3302,0.35049357817641436
702.0,0.33,0.35065349059611095
701.5,0.3298,0.35044097332908297
701.0,0.3326,0.3536792854104636
700.5,0.3308,0.3513169073916737
700.0,0.3346,0.3554280858296155
699.5,0.3319,0.35316024686103425
699.0,0.3355,0.3559681697612732
698.5,0.3339,0.35525055857006066
698.0,0.3356,0.3567556075263102
697.5,0.3367,0.35800106326422115
697.0,0.3363,0.3576137813696299
696.5,0.3393,0.3607271954071869
696.0,0.3372,0.3583802742055479
695.5,0.34,0.3613177470775771
695.0,0.3383,0.35997020642689936
694.5,0.3417,0.3633560187154402
694.0,0.3407,0.3623697085726441
693.5,0.3427,0.3640322923305715
693.0,0.3421,0.36424616695059625
692.5,0.3434,0.36531914893617023
692.0,0.3444,0.36614926642568574
691.5,0.3449,0.3668368432248457
691.0,0.3455,0.367045575268246
690.5,0.3454,0.36775979557069843
690.0,0.3482,0.3697568227673357
689.5,0.3474,0.3694565564181644
689.0,0.3499,0.3723132581400298
688.5,0.3481,0.370240374388428
688.0,0.3511,0.3737492016180541
687.5,0.3512,0.3731803209010732
687.0,0.3529,0.37554538682558264
686.5,0.3518,0.3740563530037214
686.0,0.3539,0.3763692438583431
685.5,0.3528,0.37527922561429633
685.0,0.3558,0.3777872159694203
684.5,0.3554,0.3785280647566301
684.0,0.3567,0.37890376035691525
683.5,0.3564,0.37971446835712763
683.0,0.3585,0.3808562626155317
682.5,0.3584,0.38143891017454234
682.0,0.3599,0.38242482201678885
681.5,0.3604,0.38389433319130806
681.0,0.3612,0.3842144452717796
680.5,0.3618,0.38477081782409867
680.0,0.3624,0.38540891204934596
679.5,0.3635,0.3867844222174931
679.0,0.3646,0.3882027257240204
678.5,0.365,0.3885872458213563
678.0,0.3663,0.3897637795275591
677.5,0.3665,0.3906000213151444
677.0,0.3671,0.3904488406721974
676.5,0.3685,0.39227166276346603
676.0,0.3685,0.39197957664078287
675.5,0.3695,0.393252447850149
675.0,0.371,0.39497498136910464
674.5,0.3712,0.3950617283950617
674.0,0.3717,0.395930975713677
673.5,0.3726,0.3965939329430548
673.0,0.3738,0.39761727475800446
672.5,0.3749,0.39925452609158685
672.0,0.3753,0.3991279378921621
671.5,0.3763,0.40070280055372165
671.0,0.377,0.4013199914839259
670.5,0.3778,0.40242863229654885
670.0,0.3787,0.40282948622486964
669.5,0.3795,0.4041533546325879
669.0,0.3801,0.404706132879046
668.5,0.3815,0.40624001703758916
668.0,0.3819,0.40644955300127716
667.5,0.3831,0.4076833031818666
667.0,0.3829,0.4081219356214027
666.5,0.3843,0.40909090909090906
666.0,0.3852,0.4104859335038363
665.5,0.3854,0.4103055466837006
665.0,0.3868,0.4109210666100074
664.5,0.3874,0.41278636121470436
664.0,0.3884,0.41380779884935015
663.5,0.3887,0.414039198977418
663.0,0.3905,0.41546973082242794
662.5,0.3903,0.41534532297541765
662.0,0.3914,0.41713737610572316
661.5,0.3924,0.41798040051129104
661.0,0.3929,0.418023193956804
660.5,0.3944,0.41975308641975306
660.0,0.3946,0.4198765694828687
659.5,0.3947,0.4206992112555958
659.0,0.3971,0.4228966986155485
658.5,0.3973,0.4233802216538789
658.0,0.398,0.42362959020755725
657.5,0.3987,0.42469109501491265
657.0,0.3995,0.4257246376811594
656.5,0.4001,0.4263185935002664
656.0,0.4014,0.4279317697228145
655.5,0.4013,0.4268694819700032
655.0,0.4026,0.4296233059438694
654.5,0.4032,0.4298049248480972
654.0,0.4047,0.43103631909681545
653.5,0.4044,0.43131399317406144
653.0,0.4054,0.43196590303676075
652.5,0.4058,0.43340809569582395
652.0,0.4088,0.43600682593856654
651.5,0.408,0.4354322305229455
651.0,0.4094,0.43701964133219473
650.5,0.4096,0.43662722524251146
650.0,0.4112,0.4393631798269046
649.5,0.4111,0.4386470337174563
649.0,0.4126,0.4408119658119658
648.5,0.4129,0.44056764831412715
648.0,0.4138,0.44228302693458743
647.5,0.415,0.44342344267549955
647.0,0.4154,0.44328246718599934
646.5,0.4165,0.444788551900897
646.0,0.4172,0.445440956651719
645.5,0.4181,0.4474050294275014
645.0,0.4181,0.44745291095890416
644.5,0.4196,0.44891409008237937
644.0,0.4202,0.44979661742667526
643.5,0.4213,0.45082932049224184
643.0,0.4213,0.45145735105015
642.5,0.4227,0.4530546623794212
642.0,0.4237,0.45432125241260995
641.5,0.4242,0.45466237942122184
641.0,0.4252,0.45578304212670173
640.5,0.4252,0.45666416067017507
640.0,0.4266,0.45757803282205295
639.5,0.4272,0.45871362611403416
639.0,0.4281,0.45992694456381605
638.5,0.4283,0.4597466723915844
638.0,0.4295,0.46202667814113596
637.5,0.4306,0.463010752688172
637.0,0.4309,0.46378215477343665
636.5,0.432,0.4652164548783114
636.0,0.4316,0.4652366066616363
635.5,0.4335,0.46763754045307443
635.0,0.4338,0.4677088948787062
634.5,0.4349,0.46950232106229084
634.0,0.4358,0.4703723691311387
633.5,0.4368,0.4722672721375284
633.0,0.4376,0.47297881539126674
632.5,0.4382,0.47342264477095936
632.0,0.4394,0.47548966562060385
631.5,0.44,0.4753673292999136
631.0,0.4418,0.4781902803333694
630.5,0.4426,0.4781763180639585
630.0,0.4441,0.47984873041599135
629.5,0.445,0.48056155507559395
629.0,0.4464,0.4806201550387597
628.5,0.448,0.48244669394787854
628.0,0.4493,0.4830144055041926
627.5,0.4501,0.4827327327327327
627.0,0.4518,0.48388133233372604
626.5,0.4534,0.4837814767392232
626.0,0.4551,0.4852847088931542
625.5,0.4573,0.48623072833599146
625.0,0.4578,0.486142083466072
624.5,0.4597,0.4867640830156713
