lambda,transmittance,polished
900.0,0.0631,0.07093872962338393
899.5,0.313,0.43238016300594007
899.0,0.0511,0.061285680019189256
898.5,-0.1589,-0.16673662119622248
898.0,0.0347,0.03309805417779474
897.5,-0.1197,-0.12433779993767528
897.0,0.1573,0.17763975155279504
896.5,0.0726,0.07236120801355526
896.0,0.0078,0.008392511297611361
895.5,0.0288,0.03160320421376056
895.0,-0.0043,-0.0048390726986270545
894.5,-0.086,-0.09287257019438444
894.0,0.0445,0.050799086757990865
893.5,0.0584,0.06484565844992228
893.0,0.1698,0.19730420636765048
892.5,-0.1894,-0.21941612604263208
892.0,-0.0777,-0.08788598574821853
891.5,0.0202,0.02242202242202242
891.0,-0.0293,-0.034329232571763325
890.5,-0.0402,-0.04453800132949258
890.0,0.0565,0.05890325271059216
889.5,0.0325,0.035895736690965324
889.0,-0.1662,-0.18012355044976697
888.5,0.1061,0.12230547550432276
888.0,-0.0296,-0.03323975294778215
887.5,0.0119,0.01231629062305941
887.0,0.0923,0.10101783955346394
886.5,0.0979,0.110947416137806
886.0,-0.093,-0.10233274647887323
885.5,-0.0057,-0.005957980558168706
885.0,-0.0093,-0.010525124490719781
884.5,0.0429,0.045011016682404786
884.0,0.0133,0.014215476699444207
883.5,-0.1116,-0.11902730375426622
883.0,-0.0009,-0.0010052496369931867
882.5,-0.0318,-0.03349836721795007
882.0,0.0168,0.018658374055975122
881.5,0.0027,0.002956636005256242
881.0,-0.056,-0.06307726965532777
880.5,-0.0223,-0.023891150632097707
880.0,-0.0393,-0.04337269617040062
879.5,-0.0094,-0.01092007434944238
879.0,0.0291,0.031069827033952595
878.5,-0.0276,-0.03057494184114324
878.0,-0.0178,-0.01972080655883005
877.5,-0.0409,-0.046801693557615286
877.0,-0.0088,-0.009648064905163907
876.5,0.003,0.003256621797655232
876.0,0.0101,0.0111331569664903
875.5,0.0268,0.02920662598081953
875.0,0.0314,0.03445627126083616
874.5,0.0419,0.04741428086454679
874.0,-0.0013,-0.0014204545454545453
873.5,-0.0226,-0.024565217391304347
873.0,-0.0293,-0.03269724361120411
872.5,-0.0242,-0.0263272410791993
872.0,0.0017,0.0018874208948595538
871.5,-0.0037,-0.00402480147938649
871.0,-0.0202,-0.022567310914981566
870.5,0.0177,0.01988987526688392
870.0,0.0141,0.015401419989077007
869.5,0.0205,0.02242397724786699
869.0,0.0051,0.005649091714665485
868.5,0.0021,0.002302884088167562
868.0,-0.0094,-0.010456062291434929
867.5,-0.0098,-0.010807234230260254
867.0,-0.0107,-0.011844144343590879
866.5,0.0064,0.007115855014454081
866.0,-0.0019,-0.0021391578473316823
865.5,-0.0022,-0.002432014149900509
865.0,0.003,0.0033149171270718232
864.5,-0.0171,-0.018682399213372666
864.0,-0.0025,-0.002787068004459309
863.5,0.0016,0.001776790671848973
863.0,-0.009,-0.010012237178774057
862.5,-0.0091,-0.010012102541533723
862.0,-0.0071,-0.00794805776334938
861.5,-0.0022,-0.0024141336552178207
861.0,0.0001,0.00010850694444444445
860.5,-0.0069,-0.007646276595744681
860.0,-0.0027,-0.002989040185984723
859.5,0.0019,0.0020966674023394395
859.0,-0.003,-0.0032996040475142983
858.5,-0.002,-0.0022024006166721727
858.0,-0.0014,-0.0015372790161414297
857.5,-0.006,-0.0066217856748703235
857.0,-0.0005,-0.0005509034817100044
856.5,-0.0031,-0.003402107111501317
856.0,-0.0037,-0.004060579455662862
855.5,0.0043,0.004752956781253454
855.0,0.0018,0.001969365426695842
854.5,-0.001,-0.0010945709281961471
854.0,0.0006,0.0006538796861377506
853.5,-0.0012,-0.0013168001755733565
853.0,0.001,0.0010975743606629349
852.5,-0.0003,-0.0003301419610432486
852.0,-0.0023,-0.0025175131348511384
851.5,0.0006,0.0006555944055944055
851.0,-0.0021,-0.0022796352583586625
850.5,0.0012,0.0013059092393078679
850.0,0.0011,0.0012066695919262837
849.5,0.0019,0.0020717479009922583
849.0,-0.0012,-0.0013079019073569482
848.5,0.0013,0.0014176663031624862
848.0,0.0008,0.0008746036952006123
847.5,0.0009,0.0009780482503803521
847.0,0.0,0.0
846.5,0.0006,0.0006521739130434782
846.0,0.0006,0.0006547359231776517
845.5,-0.0006,-0.0006554511688879178
845.0,0.0,0.0
844.5,0.0002,0.00021767522855899
844.0,-0.0002,-0.00021710811984368216
843.5,-0.0005,-0.0005422993492407809
843.0,0.0006,0.0006514657980456025
842.5,-0.0009,-0.0009778357235984355
842.0,0.0011,0.0011943539630836048
841.5,0.0,0.0
841.0,0.0011,0.0011955222258450168
840.5,0.0019,0.0020607375271149675
840.0,0.0013,0.0014076881429344883
839.5,0.0001,0.00010850694444444445
839.0,0.0013,0.0014113559874063617
838.5,0.0015,0.0016306120230459831
838.0,0.0004,0.0004336983627886805
837.5,0.0011,0.0011934468916133232
837.0,0.0012,0.0013006720138738347
836.5,0.001,0.001086484137331595
836.0,0.0004,0.00043426338074041906
835.5,0.0006,0.0006518196632265073
835.0,0.0012,0.001300954032957502
834.5,0.0002,0.0002172260236776366
834.0,0.0007,0.0007577397705130981
833.5,-0.0003,-0.0003249214773096501
833.0,0.0006,0.0006510416666666666
832.5,0.0005,0.0005427702996092054
832.0,0.001,0.0010823682216690117
