lambda,transmittance,polished,trasm_error
9.000000000000001e-07,0.8895,1.0,0.006
8.995e-07,0.7239,1.0,0.006
8.990000000000001e-07,0.8338,1.0,0.006
8.985000000000001e-07,0.953,1.0,0.006
8.98e-07,1.0484,1.0,0.006
8.975000000000001e-07,0.9627,1.0,0.006
8.97e-07,0.8855,1.0,0.006
8.965e-07,1.0033,1.0,0.006
8.960000000000001e-07,0.9294,1.0,0.006
8.955e-07,0.9113,1.0,0.006
8.95e-07,0.8886,1.0,0.006
8.945000000000001e-07,0.926,1.0,0.006
8.94e-07,0.876,1.0,0.006
8.935000000000001e-07,0.9006,1.0,0.006
8.930000000000001e-07,0.8606,1.0,0.006
8.925e-07,0.8632,1.0,0.006
8.920000000000001e-07,0.8841,1.0,0.006
8.915000000000001e-07,0.9009,1.0,0.006
8.91e-07,0.8535,1.0,0.006
8.905000000000001e-07,0.9026,1.0,0.006
8.900000000000001e-07,0.9592,1.0,0.006
8.895e-07,0.9054,1.0,0.006
8.890000000000001e-07,0.9227,1.0,0.006
8.885e-07,0.8675,1.0,0.006
8.88e-07,0.8905,1.0,0.006
8.875000000000001e-07,0.9662,1.0,0.006
8.87e-07,0.9137,1.0,0.006
8.865e-07,0.8824,1.0,0.006
8.860000000000001e-07,0.9088,1.0,0.006
8.855e-07,0.9567,1.0,0.006
8.850000000000001e-07,0.8836,1.0,0.006
8.845000000000001e-07,0.9531,1.0,0.006
8.84e-07,0.9356,1.0,0.006
8.835000000000001e-07,0.9376,1.0,0.006
8.830000000000001e-07,0.8953,1.0,0.006
8.825e-07,0.9493,1.0,0.006
8.820000000000001e-07,0.9004,1.0,0.006
8.815e-07,0.9132,1.0,0.006
8.81e-07,0.8878,1.0,0.006
8.805000000000001e-07,0.9334,1.0,0.006
8.8e-07,0.9061,1.0,0.006
8.795e-07,0.8608,1.0,0.006
8.790000000000001e-07,0.9366,1.0,0.006
8.785e-07,0.9027,1.0,0.006
8.780000000000001e-07,0.9026,1.0,0.006
8.775000000000001e-07,0.8739,1.0,0.006
8.77e-07,0.9121,1.0,0.006
8.765000000000001e-07,0.9212,1.0,0.006
8.760000000000001e-07,0.9072,1.0,0.006
8.755e-07,0.9176,1.0,0.006
8.750000000000001e-07,0.9113,1.0,0.006
8.745000000000001e-07,0.8837,1.0,0.006
8.74e-07,0.9152,1.0,0.006
8.735000000000001e-07,0.92,1.0,0.006
8.73e-07,0.8961,1.0,0.006
8.725e-07,0.9192,1.0,0.006
8.720000000000001e-07,0.9007,1.0,0.006
8.715e-07,0.9193,1.0,0.006
8.71e-07,0.8951,1.0,0.006
8.705000000000001e-07,0.8899,1.0,0.006
8.7e-07,0.9155,1.0,0.006
8.695000000000001e-07,0.9142,1.0,0.006
8.690000000000001e-07,0.9028,1.0,0.006
8.685e-07,0.9119,1.0,0.006
8.680000000000001e-07,0.899,1.0,0.006
8.675000000000001e-07,0.9068,1.0,0.006
8.67e-07,0.9034,1.0,0.006
8.665000000000001e-07,0.8994,1.0,0.006
8.66e-07,0.8882,1.0,0.006
8.655e-07,0.9046,1.0,0.006
8.650000000000001e-07,0.905,1.0,0.006
8.645e-07,0.9153,1.0,0.006
8.64e-07,0.897,1.0,0.006
8.635000000000001e-07,0.9005,1.0,0.006
8.63e-07,0.8989,1.0,0.006
8.625000000000001e-07,0.9089,1.0,0.006
8.620000000000001e-07,0.8933,1.0,0.006
8.615e-07,0.9113,1.0,0.006
8.610000000000001e-07,0.9216,1.0,0.006
8.605000000000001e-07,0.9024,1.0,0.006
8.6e-07,0.9033,1.0,0.006
8.595000000000001e-07,0.9062,1.0,0.006
8.590000000000001e-07,0.9092,1.0,0.006
8.585e-07,0.9081,1.0,0.006
8.580000000000001e-07,0.9107,1.0,0.006
8.575e-07,0.9061,1.0,0.006
8.57e-07,0.9076,1.0,0.006
8.565000000000001e-07,0.9112,1.0,0.006
8.56e-07,0.9112,1.0,0.006
8.555e-07,0.9047,1.0,0.006
8.550000000000001e-07,0.914,1.0,0.006
8.545e-07,0.9136,1.0,0.006
8.540000000000001e-07,0.9176,1.0,0.006
8.535000000000001e-07,0.9113,1.0,0.006
8.53e-07,0.9111,1.0,0.006
8.525000000000001e-07,0.9087,1.0,0.006
8.520000000000001e-07,0.9136,1.0,0.006
8.515e-07,0.9152,1.0,0.006
8.510000000000001e-07,0.9212,1.0,0.006
8.505e-07,0.9189,1.0,0.006
8.5e-07,0.9116,1.0,0.006
8.495000000000001e-07,0.9171,1.0,0.006
8.49e-07,0.9175,1.0,0.006
8.485e-07,0.917,1.0,0.006
8.480000000000001e-07,0.9147,1.0,0.006
8.475e-07,0.9202,1.0,0.006
8.47e-07,0.9158,1.0,0.006
8.465000000000001e-07,0.92,1.0,0.006
8.46e-07,0.9164,1.0,0.006
8.455000000000001e-07,0.9154,1.0,0.006
8.450000000000001e-07,0.9179,1.0,0.006
8.445e-07,0.9188,1.0,0.006
8.440000000000001e-07,0.9212,1.0,0.006
8.435000000000001e-07,0.922,1.0,0.006
8.43e-07,0.921,1.0,0.006
8.425000000000001e-07,0.9204,1.0,0.006
8.42e-07,0.921,1.0,0.006
8.415e-07,0.9212,1.0,0.006
8.410000000000001e-07,0.9201,1.0,0.006
8.405e-07,0.922,1.0,0.006
8.4e-07,0.9235,1.0,0.006
8.395000000000001e-07,0.9216,1.0,0.006
8.39e-07,0.9211,1.0,0.006
8.385000000000001e-07,0.9199,1.0,0.006
