lambda,transmittance,polished,trasm_error
9.000000000000001e-07,0.2048,0.23024170882518272,0.0013814502529510963
8.995e-07,0.1409,0.19464014366625224,0.0011678408619975134
8.990000000000001e-07,0.192,0.23027104821300073,0.0013816262892780043
8.985000000000001e-07,0.1736,0.1821615949632739,0.0010929695697796434
8.98e-07,0.1172,0.11178939336131248,0.0006707363601678748
8.975000000000001e-07,0.1282,0.13316713410200479,0.0007990028046120287
8.97e-07,0.2148,0.24257481648785997,0.0014554488989271597
8.965e-07,0.146,0.14551978471045549,0.0008731187082627328
8.960000000000001e-07,0.144,0.1549386701097482,0.0009296320206584891
8.955e-07,0.1256,0.13782508504334465,0.0008269505102600678
8.95e-07,0.1288,0.14494710781003828,0.0008696826468602296
8.945000000000001e-07,0.1692,0.18272138228941684,0.001096328293736501
8.94e-07,0.1795,0.20490867579908675,0.0012294520547945205
8.935000000000001e-07,0.1562,0.17343992893626473,0.0010406395736175882
8.930000000000001e-07,0.1635,0.18998373227980478,0.0011399023936788286
8.925e-07,0.1433,0.16601019462465247,0.0009960611677479149
8.920000000000001e-07,0.1471,0.16638389322474834,0.00099830335934849
8.915000000000001e-07,0.1659,0.18414918414918413,0.0011048951048951048
8.91e-07,0.1928,0.22589338019917984,0.001355360281195079
8.905000000000001e-07,0.1922,0.2129403944161312,0.001277642366496787
8.900000000000001e-07,0.1795,0.18713511259382817,0.001122810675562969
8.895e-07,0.1698,0.18754141815772035,0.001125248508946322
8.890000000000001e-07,0.164,0.17773924352443915,0.001066435461146635
8.885e-07,0.1757,0.20253602305475502,0.0012152161383285301
8.88e-07,0.1646,0.18483997754070747,0.0011090398652442448
8.875000000000001e-07,0.1708,0.176774994825088,0.001060649968950528
8.87e-07,0.1746,0.19109116777935867,0.001146547006676152
8.865e-07,0.1589,0.18007706255666367,0.0010804623753399819
8.860000000000001e-07,0.1801,0.19817341549295775,0.0011890404929577464
8.855e-07,0.1779,0.18595170899968644,0.0011157102539981186
8.850000000000001e-07,0.1664,0.18832050701674963,0.0011299230421004977
8.845000000000001e-07,0.1545,0.1621026125275417,0.0009726156751652502
8.84e-07,0.1612,0.17229585292860197,0.001033775117571612
8.835000000000001e-07,0.1529,0.16307593856655292,0.0009784556313993174
8.830000000000001e-07,0.1701,0.18999218139171228,0.0011399530883502737
8.825e-07,0.1802,0.18982408090171704,0.0011389444854103023
8.820000000000001e-07,0.1758,0.19524655708573968,0.001171479342514438
8.815e-07,0.1625,0.17794568550153309,0.0010676741130091986
8.81e-07,0.178,0.20049560711872041,0.0012029736427123226
8.805000000000001e-07,0.1742,0.18662952646239553,0.0011197771587743732
8.8e-07,0.1669,0.18419600485597615,0.001105176029135857
8.795e-07,0.154,0.17890334572490707,0.0010734200743494425
8.790000000000001e-07,0.1627,0.17371343156096522,0.0010422805893657912
8.785e-07,0.1791,0.19840478564307082,0.001190428713858425
8.780000000000001e-07,0.1798,0.19920230445380013,0.0011952138267228008
8.775000000000001e-07,0.1687,0.193042682229088,0.0011582560933745278
8.77e-07,0.1646,0.18046266856704307,0.0010827760114022584
8.765000000000001e-07,0.1677,0.18204515848892747,0.0010922709509335648
8.760000000000001e-07,0.1746,0.19246031746031747,0.0011547619047619047
8.755e-07,0.1757,0.19147776809067132,0.0011488666085440278
8.750000000000001e-07,0.1721,0.18885109184681226,0.0011331065510808735
8.745000000000001e-07,0.1781,0.2015389838180378,0.0012092339029082268
8.74e-07,0.1671,0.18258304195804195,0.0010954982517482517
8.735000000000001e-07,0.1724,0.18739130434782608,0.0011243478260869564
8.73e-07,0.1707,0.19049213257448944,0.0011429527954469364
8.725e-07,0.1722,0.18733681462140991,0.0011240208877284594
8.720000000000001e-07,0.1754,0.19473742644609748,0.0011684245586765848
8.715e-07,0.1701,0.18503208963341672,0.0011101925378005002
8.71e-07,0.174,0.19439168807954418,0.001166350128477265
8.705000000000001e-07,0.1735,0.194965726486122,0.001169794358916732
8.7e-07,0.178,0.19442927362097215,0.0011665756417258328
8.695000000000001e-07,0.175,0.1914241960183767,0.0011485451761102602
8.690000000000001e-07,0.1738,0.192512184315463,0.001155073105892778
8.685e-07,0.1786,0.1958548086412984,0.0011751288518477903
8.680000000000001e-07,0.1787,0.19877641824249165,0.0011926585094549499
8.675000000000001e-07,0.1767,0.19486104984561092,0.0011691662990736655
8.67e-07,0.171,0.18928492362187294,0.0011357095417312375
8.665000000000001e-07,0.1776,0.19746497665110074,0.0011847898599066044
8.66e-07,0.1722,0.19387525332132402,0.0011632515199279441
8.655e-07,0.1739,0.19223966393986294,0.0011534379836391775
8.650000000000001e-07,0.1783,0.19701657458563535,0.001182099447513812
8.645e-07,0.1759,0.19217742816562874,0.0011530645689937723
8.64e-07,0.1755,0.19565217391304346,0.0011739130434782607
8.635000000000001e-07,0.1798,0.19966685174902832,0.0011980011104941698
8.63e-07,0.1788,0.19890977861831124,0.0011934586717098675
8.625000000000001e-07,0.1761,0.1937506876444053,0.0011625041258664318
8.620000000000001e-07,0.1781,0.19937311093697527,0.0011962386656218515
8.615e-07,0.1784,0.19576429276857238,0.0011745857566114342
8.610000000000001e-07,0.1753,0.19021267361111113,0.0011412760416666667
8.605000000000001e-07,0.181,0.20057624113475178,0.0012034574468085106
8.6e-07,0.1781,0.1971659470829182,0.0011829956824975093
8.595000000000001e-07,0.1796,0.19819024497903334,0.0011891414698742
8.590000000000001e-07,0.1806,0.19863616366036077,0.0011918169819621646
8.585e-07,0.1788,0.19689461513049222,0.0011813676907829534
8.580000000000001e-07,0.1808,0.19852860437026462,0.0011911716262215876
8.575e-07,0.18,0.1986535702461097,0.0011919214214766581
8.57e-07,0.1814,0.1998677831643896,0.0011992066989863375
8.565000000000001e-07,0.1806,0.19820017559262512,0.0011892010535557507
8.56e-07,0.1819,0.19962686567164178,0.0011977611940298507
8.555e-07,0.1816,0.2007295235989831,0.0012043771415938987
8.550000000000001e-07,0.1829,0.20010940919037198,0.0012006564551422319
8.545e-07,0.1834,0.2007443082311734,0.0012044658493870404
8.540000000000001e-07,0.1835,0.19997820401046207,0.0011998692240627724
8.535000000000001e-07,0.1822,0.19993415999122133,0.001199604959947328
8.53e-07,0.1836,0.20151465261771487,0.0012090879157062892
8.525000000000001e-07,0.1842,0.20270716408055464,0.0012162429844833277
8.520000000000001e-07,0.1827,0.19997810858143608,0.0011998686514886165
8.515e-07,0.1848,0.2019230769230769,0.0012115384615384614
8.510000000000001e-07,0.186,0.2019105514546244,0.0012114633087277464
8.505e-07,0.1857,0.20208945478289259,0.0012125367286973554
8.5e-07,0.1869,0.20502413339183853,0.0012301448003510312
8.495000000000001e-07,0.1854,0.20215897939156036,0.0012129538763493621
8.49e-07,0.1871,0.20392370572207083,0.001223542234332425
8.485e-07,0.1878,0.20479825517993455,0.0012287895310796073
8.480000000000001e-07,0.1886,0.20618782114354434,0.001237126926861266
8.475e-07,0.1869,0.20310801999565312,0.0012186481199739187
8.47e-07,0.1885,0.20583096746014415,0.0012349858047608648
8.465000000000001e-07,0.1894,0.2058695652173913,0.0012352173913043477
8.46e-07,0.1882,0.20536883457005675,0.0012322130074203406
8.455000000000001e-07,0.1904,0.20799650426043262,0.0012479790255625956
8.450000000000001e-07,0.1905,0.20753894759777752,0.001245233685586665
8.445e-07,0.1896,0.2063561166739225,0.001238136700043535
8.440000000000001e-07,0.1906,0.20690403821102907,0.0012414242292661743
8.435000000000001e-07,0.1908,0.20694143167028198,0.0012416485900216918
8.43e-07,0.1904,0.20673181324647122,0.0012403908794788273
8.425000000000001e-07,0.1901,0.20654063450673618,0.001239243807040417
8.42e-07,0.1937,0.21031487513572206,0.0012618892508143324
8.415e-07,0.1916,0.2079895788102475,0.001247937472861485
8.410000000000001e-07,0.1914,0.2080208672970329,0.0012481252037821974
8.405e-07,0.1925,0.20878524945770063,0.001252711496746204
8.4e-07,0.1927,0.20866269626421224,0.0012519761775852734
8.395000000000001e-07,0.1925,0.20887586805555555,0.0012532552083333332
8.39e-07,0.194,0.21061773965910324,0.0012637064379546195
8.385000000000001e-07,0.1938,0.21067507337754102,0.0012640504402652462
8.380000000000001e-07,0.1954,0.2118616502222704,0.0012711699013336225
8.375e-07,0.1941,0.21058912878376912,0.0012635347727026148
8.370000000000001e-07,0.1951,0.21146759158898765,0.001268805549533926
8.365000000000001e-07,0.1953,0.2121903520208605,0.001273142112125163
8.36e-07,0.1955,0.2122462273368798,0.0012734773640212787
8.355000000000001e-07,0.1961,0.21303639326453014,0.0012782183595871808
8.35e-07,0.1968,0.21335646140503037,0.001280138768430182
8.345e-07,0.1965,0.21342456826327796,0.0012805474095796676
8.340000000000001e-07,0.1969,0.21314137259147,0.00127884823554882
8.335e-07,0.1974,0.2137983320697498,0.0012827899924184988
8.33e-07,0.1978,0.21462673611111113,0.0012877604166666667
8.325000000000001e-07,0.1975,0.21439426834563613,0.0012863656100738166
8.32e-07,0.198,0.21430890789046433,0.001285853447342786
8.315e-07,0.1985,0.21536291635022242,0.0012921774981013345
8.310000000000001e-07,0.1985,0.21550320269243298,0.0012930192161545978
8.305e-07,0.199,0.21606948968512488,0.0012964169381107493
8.300000000000001e-07,0.1998,0.21700879765395895,0.0013020527859237535
8.295000000000001e-07,0.1998,0.21689101172383848,0.0013013460703430308
8.29e-07,0.1999,0.21676425937974408,0.0013005855562784644
8.285000000000001e-07,0.2006,0.21764131496148423,0.0013058478897689052
8.280000000000001e-07,0.2006,0.21792504073872895,0.0013075502444323736
8.275e-07,0.201,0.21843077591827864,0.0013105846555096718
8.270000000000001e-07,0.2016,0.21898761677167067,0.001313925700630024
8.265e-07,0.2018,0.21934782608695652,0.001316086956521739
8.26e-07,0.2021,0.21984118350919177,0.0013190471010551504
8.255000000000001e-07,0.2023,0.22027439024390244,0.0013216463414634147
8.25e-07,0.2025,0.21998913633894623,0.0013199348180336773
8.245e-07,0.2032,0.22130254846438682,0.0013278152907863208
8.240000000000001e-07,0.2032,0.22096563723357981,0.0013257938234014788
8.235e-07,0.2041,0.2218960643618178,0.0013313763861709069
8.230000000000001e-07,0.2039,0.22201655052264807,0.0013320993031358884
8.225000000000001e-07,0.2036,0.22171403680714363,0.0013302842208428617
8.22e-07,0.2048,0.22297223734349483,0.0013378334240609691
8.215000000000001e-07,0.2041,0.22172732210755025,0.0013303639326453015
8.210000000000001e-07,0.2053,0.2233220928967693,0.0013399325573806157
8.205e-07,0.2061,0.22436316133246245,0.0013461789679947748
8.200000000000001e-07,0.2058,0.22435408263381665,0.0013461244958028998
8.195e-07,0.206,0.22384005215690533,0.001343040312941432
8.19e-07,0.2068,0.22495376917219626,0.0013497226150331776
8.185000000000001e-07,0.2069,0.22518502394427514,0.0013511101436656508
8.18e-07,0.2069,0.2254058176271925,0.0013524349057631548
8.175e-07,0.2081,0.22683671244822326,0.0013610202746893395
8.170000000000001e-07,0.2079,0.22600282639417327,0.0013560169583650395
8.165e-07,0.2081,0.2268614411860896,0.0013611686471165377
8.16e-07,0.2093,0.22735172713447754,0.0013641103628068653
8.155000000000001e-07,0.2084,0.2269410867908091,0.0013616465207448543
8.15e-07,0.2094,0.2281542819786446,0.0013689256918718675
8.145000000000001e-07,0.2095,0.2279403764552279,0.0013676422587313676
8.140000000000001e-07,0.2091,0.227703364913427,0.001366220189480562
8.135e-07,0.2098,0.2282916213275299,0.0013697497279651794
8.130000000000001e-07,0.2105,0.22960296684118675,0.0013776178010471204
8.125000000000001e-07,0.2111,0.2293568013906997,0.001376140808344198
8.12e-07,0.2109,0.2295635136606074,0.0013773810819636442
8.115000000000001e-07,0.2122,0.23097855665614456,0.0013858713399368672
8.11e-07,0.2125,0.23153192416648508,0.0013891915449989103
8.105e-07,0.2131,0.23178159669349577,0.0013906895801609745
8.100000000000001e-07,0.2129,0.2315388798259924,0.0013892332789559542
8.095e-07,0.2127,0.23149760557248586,0.0013889856334349151
8.09e-07,0.2132,0.23194081810269798,0.0013916449086161878
8.085000000000001e-07,0.2154,0.23448726322664926,0.0014069235793598956
