lambda,transmittance,polished,trasm_error
9.000000000000001e-07,1.5368,1.0,0.004242640687119285
8.995e-07,1.6022,1.0,0.004242640687119285
8.990000000000001e-07,1.5925,1.0,0.004242640687119285
8.985000000000001e-07,1.5816,1.0,0.004242640687119285
8.98e-07,1.5129,1.0,0.004242640687119285
8.975000000000001e-07,1.5287,1.0,0.004242640687119285
8.97e-07,1.5111,1.0,0.004242640687119285
8.965e-07,1.5076,1.0,0.004242640687119285
8.960000000000001e-07,1.4842,1.0,0.004242640687119285
8.955e-07,1.5492,1.0,0.004242640687119285
8.95e-07,1.5216,1.0,0.004242640687119285
8.945000000000001e-07,1.5726,1.0,0.004242640687119285
8.94e-07,1.5078,1.0,0.004242640687119285
8.935000000000001e-07,1.5987,1.0,0.004242640687119285
8.930000000000001e-07,1.5386,1.0,0.004242640687119285
8.925e-07,1.489,1.0,0.004242640687119285
8.920000000000001e-07,1.555,1.0,0.004242640687119285
8.915000000000001e-07,1.5928,1.0,0.004242640687119285
8.91e-07,1.6014,1.0,0.004242640687119285
8.905000000000001e-07,1.5441,1.0,0.004242640687119285
8.900000000000001e-07,1.5321,1.0,0.004242640687119285
8.895e-07,1.5679,1.0,0.004242640687119285
8.890000000000001e-07,1.5227,1.0,0.004242640687119285
8.885e-07,1.551,1.0,0.004242640687119285
8.88e-07,1.5297,1.0,0.004242640687119285
8.875000000000001e-07,1.4987,1.0,0.004242640687119285
8.87e-07,1.525,1.0,0.004242640687119285
8.865e-07,1.5167,1.0,0.004242640687119285
8.860000000000001e-07,1.5168,1.0,0.004242640687119285
8.855e-07,1.5183,1.0,0.004242640687119285
8.850000000000001e-07,1.5313,1.0,0.004242640687119285
8.845000000000001e-07,1.5349,1.0,0.004242640687119285
8.84e-07,1.5435,1.0,0.004242640687119285
8.835000000000001e-07,1.5189,1.0,0.004242640687119285
8.830000000000001e-07,1.5418,1.0,0.004242640687119285
8.825e-07,1.5253,1.0,0.004242640687119285
8.820000000000001e-07,1.5451,1.0,0.004242640687119285
8.815e-07,1.5463,1.0,0.004242640687119285
8.81e-07,1.5265,1.0,0.004242640687119285
8.805000000000001e-07,1.5631,1.0,0.004242640687119285
8.8e-07,1.556,1.0,0.004242640687119285
8.795e-07,1.5214,1.0,0.004242640687119285
8.790000000000001e-07,1.5594,1.0,0.004242640687119285
8.785e-07,1.5332,1.0,0.004242640687119285
8.780000000000001e-07,1.5355,1.0,0.004242640687119285
8.775000000000001e-07,1.5067,1.0,0.004242640687119285
8.77e-07,1.5435,1.0,0.004242640687119285
8.765000000000001e-07,1.5285,1.0,0.004242640687119285
8.760000000000001e-07,1.5391,1.0,0.004242640687119285
8.755e-07,1.5456,1.0,0.004242640687119285
8.750000000000001e-07,1.533,1.0,0.004242640687119285
8.745000000000001e-07,1.5467,1.0,0.004242640687119285
8.74e-07,1.5308,1.0,0.004242640687119285
8.735000000000001e-07,1.5426,1.0,0.004242640687119285
8.73e-07,1.5398,1.0,0.004242640687119285
8.725e-07,1.5461,1.0,0.004242640687119285
8.720000000000001e-07,1.543,1.0,0.004242640687119285
8.715e-07,1.5239,1.0,0.004242640687119285
8.71e-07,1.547,1.0,0.004242640687119285
8.705000000000001e-07,1.549,1.0,0.004242640687119285
8.7e-07,1.5391,1.0,0.004242640687119285
8.695000000000001e-07,1.5381,1.0,0.004242640687119285
8.690000000000001e-07,1.545,1.0,0.004242640687119285
8.685e-07,1.5377,1.0,0.004242640687119285
8.680000000000001e-07,1.5223,1.0,0.004242640687119285
8.675000000000001e-07,1.5286,1.0,0.004242640687119285
8.67e-07,1.5318,1.0,0.004242640687119285
8.665000000000001e-07,1.5498,1.0,0.004242640687119285
8.66e-07,1.5333,1.0,0.004242640687119285
8.655e-07,1.5412,1.0,0.004242640687119285
8.650000000000001e-07,1.5452,1.0,0.004242640687119285
8.645e-07,1.546,1.0,0.004242640687119285
8.64e-07,1.5387,1.0,0.004242640687119285
8.635000000000001e-07,1.5393,1.0,0.004242640687119285
8.63e-07,1.5418,1.0,0.004242640687119285
8.625000000000001e-07,1.5365,1.0,0.004242640687119285
8.620000000000001e-07,1.5374,1.0,0.004242640687119285
8.615e-07,1.552,1.0,0.004242640687119285
8.610000000000001e-07,1.5466,1.0,0.004242640687119285
8.605000000000001e-07,1.5502,1.0,0.004242640687119285
8.6e-07,1.5511,1.0,0.004242640687119285
8.595000000000001e-07,1.5597,1.0,0.004242640687119285
8.590000000000001e-07,1.5504,1.0,0.004242640687119285
8.585e-07,1.5495,1.0,0.004242640687119285
8.580000000000001e-07,1.5493,1.0,0.004242640687119285
8.575e-07,1.5535,1.0,0.004242640687119285
8.57e-07,1.5463,1.0,0.004242640687119285
8.565000000000001e-07,1.5519,1.0,0.004242640687119285
8.56e-07,1.5497,1.0,0.004242640687119285
8.555e-07,1.5495,1.0,0.004242640687119285
8.550000000000001e-07,1.5512,1.0,0.004242640687119285
8.545e-07,1.5532,1.0,0.004242640687119285
8.540000000000001e-07,1.5574,1.0,0.004242640687119285
8.535000000000001e-07,1.5497,1.0,0.004242640687119285
8.53e-07,1.5536,1.0,0.004242640687119285
8.525000000000001e-07,1.5551,1.0,0.004242640687119285
8.520000000000001e-07,1.5582,1.0,0.004242640687119285
8.515e-07,1.5598,1.0,0.004242640687119285
8.510000000000001e-07,1.5581,1.0,0.004242640687119285
8.505e-07,1.5547,1.0,0.004242640687119285
8.5e-07,1.5574,1.0,0.004242640687119285
8.495000000000001e-07,1.553,1.0,0.004242640687119285
8.49e-07,1.5584,1.0,0.004242640687119285
8.485e-07,1.5611,1.0,0.004242640687119285
8.480000000000001e-07,1.5617,1.0,0.004242640687119285
8.475e-07,1.5567,1.0,0.004242640687119285
8.47e-07,1.5581,1.0,0.004242640687119285
8.465000000000001e-07,1.5643,1.0,0.004242640687119285
8.46e-07,1.5619,1.0,0.004242640687119285
8.455000000000001e-07,1.5669,1.0,0.004242640687119285
8.450000000000001e-07,1.5573,1.0,0.004242640687119285
8.445e-07,1.5616,1.0,0.004242640687119285
8.440000000000001e-07,1.5633,1.0,0.004242640687119285
8.435000000000001e-07,1.5648,1.0,0.004242640687119285
8.43e-07,1.5621,1.0,0.004242640687119285
8.425000000000001e-07,1.5628,1.0,0.004242640687119285
8.42e-07,1.5625,1.0,0.004242640687119285
8.415e-07,1.5616,1.0,0.004242640687119285
8.410000000000001e-07,1.5601,1.0,0.004242640687119285
8.405e-07,1.5655,1.0,0.004242640687119285
8.4e-07,1.5622,1.0,0.004242640687119285
8.395000000000001e-07,1.564,1.0,0.004242640687119285
8.39e-07,1.5662,1.0,0.004242640687119285
8.385000000000001e-07,1.5656,1.0,0.004242640687119285
8.380000000000001e-07,1.5647,1.0,0.004242640687119285
8.375e-07,1.5667,1.0,0.004242640687119285
8.370000000000001e-07,1.5666,1.0,0.004242640687119285
8.365000000000001e-07,1.5658,1.0,0.004242640687119285
8.36e-07,1.5634,1.0,0.004242640687119285
8.355000000000001e-07,1.564,1.0,0.004242640687119285
8.35e-07,1.5651,1.0,0.004242640687119285
8.345e-07,1.5645,1.0,0.004242640687119285
8.340000000000001e-07,1.5643,1.0,0.004242640687119285
8.335e-07,1.5637,1.0,0.004242640687119285
8.33e-07,1.5677,1.0,0.004242640687119285
8.325000000000001e-07,1.5667,1.0,0.004242640687119285
8.32e-07,1.5644,1.0,0.004242640687119285
8.315e-07,1.5665,1.0,0.004242640687119285
8.310000000000001e-07,1.5651,1.0,0.004242640687119285
8.305e-07,1.5674,1.0,0.004242640687119285
8.300000000000001e-07,1.5648,1.0,0.004242640687119285
8.295000000000001e-07,1.5667,1.0,0.004242640687119285
8.29e-07,1.5648,1.0,0.004242640687119285
8.285000000000001e-07,1.5682,1.0,0.004242640687119285
8.280000000000001e-07,1.5653,1.0,0.004242640687119285
8.275e-07,1.5673,1.0,0.004242640687119285
8.270000000000001e-07,1.5681,1.0,0.004242640687119285
8.265e-07,1.569,1.0,0.004242640687119285
8.26e-07,1.5611,1.0,0.004242640687119285
8.255000000000001e-07,1.5674,1.0,0.004242640687119285
8.25e-07,1.5646,1.0,0.004242640687119285
8.245e-07,1.5679,1.0,0.004242640687119285
8.240000000000001e-07,1.5651,1.0,0.004242640687119285
8.235e-07,1.5685,1.0,0.004242640687119285
8.230000000000001e-07,1.5674,1.0,0.004242640687119285
8.225000000000001e-07,1.5668,1.0,0.004242640687119285
8.22e-07,1.5691,1.0,0.004242640687119285
8.215000000000001e-07,1.5676,1.0,0.004242640687119285
8.210000000000001e-07,1.5668,1.0,0.004242640687119285
8.205e-07,1.5663,1.0,0.004242640687119285
8.200000000000001e-07,1.5678,1.0,0.004242640687119285
8.195e-07,1.566,1.0,0.004242640687119285
8.19e-07,1.5655,1.0,0.004242640687119285
8.185000000000001e-07,1.568,1.0,0.004242640687119285
8.18e-07,1.5676,1.0,0.004242640687119285
8.175e-07,1.5678,1.0,0.004242640687119285
8.170000000000001e-07,1.5698,1.0,0.004242640687119285
8.165e-07,1.5693,1.0,0.004242640687119285
8.16e-07,1.573,1.0,0.004242640687119285
8.155000000000001e-07,1.5683,1.0,0.004242640687119285
8.15e-07,1.5704,1.0,0.004242640687119285
8.145000000000001e-07,1.5712,1.0,0.004242640687119285
8.140000000000001e-07,1.573,1.0,0.004242640687119285
8.135e-07,1.5698,1.0,0.004242640687119285
8.130000000000001e-07,1.5719,1.0,0.004242640687119285
8.125000000000001e-07,1.5681,1.0,0.004242640687119285
8.12e-07,1.5703,1.0,0.004242640687119285
8.115000000000001e-07,1.5702,1.0,0.004242640687119285
8.11e-07,1.5705,1.0,0.004242640687119285
8.105e-07,1.5696,1.0,0.004242640687119285
8.100000000000001e-07,1.5696,1.0,0.004242640687119285
8.095e-07,1.5739,1.0,0.004242640687119285
8.09e-07,1.5713,1.0,0.004242640687119285
8.085000000000001e-07,1.5708,1.0,0.004242640687119285
8.08e-07,1.5744,1.0,0.004242640687119285
8.075e-07,1.5749,1.0,0.004242640687119285
8.070000000000001e-07,1.5726,1.0,0.004242640687119285
8.065e-07,1.5744,1.0,0.004242640687119285
8.060000000000001e-07,1.5756,1.0,0.004242640687119285
8.055000000000001e-07,1.5747,1.0,0.004242640687119285
8.05e-07,1.5726,1.0,0.004242640687119285
8.045000000000001e-07,1.5753,1.0,0.004242640687119285
8.04e-07,1.5743,1.0,0.004242640687119285
8.035e-07,1.5763,1.0,0.004242640687119285
8.030000000000001e-07,1.5745,1.0,0.004242640687119285
8.025e-07,1.5748,1.0,0.004242640687119285
8.02e-07,1.5744,1.0,0.004242640687119285
8.015000000000001e-07,1.5772,1.0,0.004242640687119285
8.01e-07,1.5795,1.0,0.004242640687119285
8.005e-07,1.5735,1.0,0.004242640687119285
8.000000000000001e-07,1.5764,1.0,0.004242640687119285
7.995e-07,1.5776,1.0,0.004242640687119285
7.990000000000001e-07,1.5805,1.0,0.004242640687119285
7.985000000000001e-07,1.5745,1.0,0.004242640687119285
7.98e-07,1.5783,1.0,0.004242640687119285
7.975000000000001e-07,1.5814,1.0,0.004242640687119285
7.970000000000001e-07,1.5778,1.0,0.004242640687119285
7.965e-07,1.5783,1.0,0.004242640687119285
7.960000000000001e-07,1.577,1.0,0.004242640687119285
7.955e-07,1.5788,1.0,0.004242640687119285
7.95e-07,1.5796,1.0,0.004242640687119285
7.945000000000001e-07,1.5812,1.0,0.004242640687119285
7.94e-07,1.5782,1.0,0.004242640687119285
7.935e-07,1.5792,1.0,0.004242640687119285
7.930000000000001e-07,1.5806,1.0,0.004242640687119285
7.925e-07,1.5798,1.0,0.004242640687119285
7.92e-07,1.5778,1.0,0.004242640687119285
7.915000000000001e-07,1.5823,1.0,0.004242640687119285
7.91e-07,1.5819,1.0,0.004242640687119285
7.905000000000001e-07,1.5836,1.0,0.004242640687119285
7.900000000000001e-07,1.5819,1.0,0.004242640687119285
7.895e-07,1.5834,1.0,0.004242640687119285
7.890000000000001e-07,1.5827,1.0,0.004242640687119285
7.885e-07,1.5835,1.0,0.004242640687119285
7.88e-07,1.5823,1.0,0.004242640687119285
7.875000000000001e-07,1.5853,1.0,0.004242640687119285
7.87e-07,1.5824,1.0,0.004242640687119285
7.865e-07,1.5842,1.0,0.004242640687119285
7.860000000000001e-07,1.5875,1.0,0.004242640687119285
7.855e-07,1.5811,1.0,0.004242640687119285
7.85e-07,1.5852,1.0,0.004242640687119285
7.845000000000001e-07,1.5866,1.0,0.004242640687119285
7.84e-07,1.5879,1.0,0.004242640687119285
7.835000000000001e-07,1.5841,1.0,0.004242640687119285
7.830000000000001e-07,1.5883,1.0,0.004242640687119285
7.825e-07,1.5876,1.0,0.004242640687119285
7.820000000000001e-07,1.5843,1.0,0.004242640687119285
7.815000000000001e-07,1.5852,1.0,0.004242640687119285
7.81e-07,1.5857,1.0,0.004242640687119285
7.805000000000001e-07,1.5871,1.0,0.004242640687119285
7.8e-07,1.5891,1.0,0.004242640687119285
7.795e-07,1.5895,1.0,0.004242640687119285
7.790000000000001e-07,1.5885,1.0,0.004242640687119285
7.785e-07,1.587,1.0,0.004242640687119285
7.78e-07,1.59,1.0,0.004242640687119285
7.775000000000001e-07,1.5878,1.0,0.004242640687119285
7.77e-07,1.5873,1.0,0.004242640687119285
7.765e-07,1.5876,1.0,0.004242640687119285
7.760000000000001e-07,1.5903,1.0,0.004242640687119285
7.755e-07,1.5895,1.0,0.004242640687119285
7.750000000000001e-07,1.5905,1.0,0.004242640687119285
7.745000000000001e-07,1.5886,1.0,0.004242640687119285
7.74e-07,1.5899,1.0,0.004242640687119285
7.735000000000001e-07,1.5886,1.0,0.004242640687119285
7.73e-07,1.5926,1.0,0.004242640687119285
7.725e-07,1.5912,1.0,0.004242640687119285
7.720000000000001e-07,1.5902,1.0,0.004242640687119285
7.715e-07,1.5911,1.0,0.004242640687119285
7.71e-07,1.5919,1.0,0.004242640687119285
7.705000000000001e-07,1.59,1.0,0.004242640687119285
7.7e-07,1.5932,1.0,0.004242640687119285
7.695e-07,1.5924,1.0,0.004242640687119285
7.690000000000001e-07,1.5944,1.0,0.004242640687119285
7.685e-07,1.5925,1.0,0.004242640687119285
7.680000000000001e-07,1.5922,1.0,0.004242640687119285
7.675000000000001e-07,1.5913,1.0,0.004242640687119285
7.67e-07,1.5936,1.0,0.004242640687119285
7.665000000000001e-07,1.5941,1.0,0.004242640687119285
7.660000000000001e-07,1.594,1.0,0.004242640687119285
7.655e-07,1.5919,1.0,0.004242640687119285
7.650000000000001e-07,1.5943,1.0,0.004242640687119285
7.645e-07,1.5949,1.0,0.004242640687119285
7.64e-07,1.596,1.0,0.004242640687119285
7.635000000000001e-07,1.595,1.0,0.004242640687119285
7.63e-07,1.593,1.0,0.004242640687119285
7.625e-07,1.599,1.0,0.004242640687119285
7.620000000000001e-07,1.5965,1.0,0.004242640687119285
7.615e-07,1.5975,1.0,0.004242640687119285
7.61e-07,1.5962,1.0,0.004242640687119285
7.605000000000001e-07,1.5962,1.0,0.004242640687119285
7.6e-07,1.5983,1.0,0.004242640687119285
7.595000000000001e-07,1.5957,1.0,0.004242640687119285
7.590000000000001e-07,1.5982,1.0,0.004242640687119285
7.585e-07,1.5964,1.0,0.004242640687119285
7.580000000000001e-07,1.6003,1.0,0.004242640687119285
7.575000000000001e-07,1.5967,1.0,0.004242640687119285
7.57e-07,1.5986,1.0,0.004242640687119285
7.565000000000001e-07,1.5984,1.0,0.004242640687119285
7.56e-07,1.5978,1.0,0.004242640687119285
7.555e-07,1.5995,1.0,0.004242640687119285
7.550000000000001e-07,1.5991,1.0,0.004242640687119285
7.545e-07,1.5987,1.0,0.004242640687119285
7.54e-07,1.5984,1.0,0.004242640687119285
7.535000000000001e-07,1.6013,1.0,0.004242640687119285
7.53e-07,1.5991,1.0,0.004242640687119285
7.525e-07,1.6015,1.0,0.004242640687119285
7.520000000000001e-07,1.6004,1.0,0.004242640687119285
7.515e-07,1.6011,1.0,0.004242640687119285
7.510000000000001e-07,1.5987,1.0,0.004242640687119285
7.505000000000001e-07,1.6009,1.0,0.004242640687119285
7.5e-07,1.6008,1.0,0.004242640687119285
7.495000000000001e-07,1.6015,1.0,0.004242640687119285
7.49e-07,1.603,1.0,0.004242640687119285
7.485e-07,1.6022,1.0,0.004242640687119285
7.480000000000001e-07,1.602,1.0,0.004242640687119285
7.475e-07,1.6018,1.0,0.004242640687119285
7.47e-07,1.6043,1.0,0.004242640687119285
7.465000000000001e-07,1.6023,1.0,0.004242640687119285
7.46e-07,1.6019,1.0,0.004242640687119285
7.455e-07,1.6024,1.0,0.004242640687119285
7.450000000000001e-07,1.6065,1.0,0.004242640687119285
7.445e-07,1.6046,1.0,0.004242640687119285
7.440000000000001e-07,1.6035,1.0,0.004242640687119285
7.435000000000001e-07,1.6029,1.0,0.004242640687119285
7.43e-07,1.6048,1.0,0.004242640687119285
7.425000000000001e-07,1.6038,1.0,0.004242640687119285
7.420000000000001e-07,1.6031,1.0,0.004242640687119285
7.415e-07,1.6059,1.0,0.004242640687119285
7.410000000000001e-07,1.6066,1.0,0.004242640687119285
7.405e-07,1.6071,1.0,0.004242640687119285
7.4e-07,1.6059,1.0,0.004242640687119285
7.395000000000001e-07,1.6082,1.0,0.004242640687119285
7.39e-07,1.6088,1.0,0.004242640687119285
7.385e-07,1.6097,1.0,0.004242640687119285
7.380000000000001e-07,1.6087,1.0,0.004242640687119285
7.375e-07,1.6104,1.0,0.004242640687119285
7.37e-07,1.6109,1.0,0.004242640687119285
7.365000000000001e-07,1.6103,1.0,0.004242640687119285
7.36e-07,1.6099,1.0,0.004242640687119285
7.355000000000001e-07,1.6107,1.0,0.004242640687119285
7.350000000000001e-07,1.6108,1.0,0.004242640687119285
7.345e-07,1.6124,1.0,0.004242640687119285
7.340000000000001e-07,1.615,1.0,0.004242640687119285
7.335e-07,1.6082,1.0,0.004242640687119285
7.33e-07,1.6149,1.0,0.004242640687119285
7.325000000000001e-07,1.6137,1.0,0.004242640687119285
7.32e-07,1.6158,1.0,0.004242640687119285
7.315e-07,1.6143,1.0,0.004242640687119285
7.310000000000001e-07,1.619,1.0,0.004242640687119285
7.305e-07,1.6153,1.0,0.004242640687119285
7.3e-07,1.6198,1.0,0.004242640687119285
7.295000000000001e-07,1.619,1.0,0.004242640687119285
7.29e-07,1.6183,1.0,0.004242640687119285
7.285000000000001e-07,1.6197,1.0,0.004242640687119285
7.280000000000001e-07,1.6238,1.0,0.004242640687119285
7.275e-07,1.6239,1.0,0.004242640687119285
