lambda,transmittance,polished,trasm_error
9.000000000000001e-07,1.3057,1.0,0.006
8.995e-07,1.4795,1.0,0.006
8.990000000000001e-07,1.2769,1.0,0.006
8.985000000000001e-07,1.44,1.0,0.006
8.98e-07,1.2531,1.0,0.006
8.975000000000001e-07,1.4185,1.0,0.006
8.97e-07,1.269,1.0,0.006
8.965e-07,1.388,1.0,0.006
8.960000000000001e-07,1.3526,1.0,0.006
8.955e-07,1.3326,1.0,0.006
8.95e-07,1.2954,1.0,0.006
8.945000000000001e-07,1.3275,1.0,0.006
8.94e-07,1.2758,1.0,0.006
8.935000000000001e-07,1.3433,1.0,0.006
8.930000000000001e-07,1.4183,1.0,0.006
8.925e-07,1.3117,1.0,0.006
8.920000000000001e-07,1.3401,1.0,0.006
8.915000000000001e-07,1.3588,1.0,0.006
8.91e-07,1.3528,1.0,0.006
8.905000000000001e-07,1.3332,1.0,0.006
8.900000000000001e-07,1.3805,1.0,0.006
8.895e-07,1.3311,1.0,0.006
8.890000000000001e-07,1.3512,1.0,0.006
8.885e-07,1.3355,1.0,0.006
8.88e-07,1.3416,1.0,0.006
8.875000000000001e-07,1.3491,1.0,0.006
8.87e-07,1.3152,1.0,0.006
8.865e-07,1.3371,1.0,0.006
8.860000000000001e-07,1.3522,1.0,0.006
8.855e-07,1.3295,1.0,0.006
8.850000000000001e-07,1.3448,1.0,0.006
8.845000000000001e-07,1.3357,1.0,0.006
8.84e-07,1.3446,1.0,0.006
8.835000000000001e-07,1.3111,1.0,0.006
8.830000000000001e-07,1.3297,1.0,0.006
8.825e-07,1.3441,1.0,0.006
8.820000000000001e-07,1.3395,1.0,0.006
8.815e-07,1.3499,1.0,0.006
8.81e-07,1.3266,1.0,0.006
8.805000000000001e-07,1.3645,1.0,0.006
8.8e-07,1.3307,1.0,0.006
8.795e-07,1.3224,1.0,0.006
8.790000000000001e-07,1.35,1.0,0.006
8.785e-07,1.354,1.0,0.006
8.780000000000001e-07,1.3482,1.0,0.006
8.775000000000001e-07,1.3445,1.0,0.006
8.77e-07,1.3416,1.0,0.006
8.765000000000001e-07,1.3452,1.0,0.006
8.760000000000001e-07,1.3242,1.0,0.006
8.755e-07,1.3425,1.0,0.006
8.750000000000001e-07,1.3392,1.0,0.006
8.745000000000001e-07,1.3614,1.0,0.006
8.74e-07,1.3191,1.0,0.006
8.735000000000001e-07,1.3612,1.0,0.006
8.73e-07,1.3371,1.0,0.006
8.725e-07,1.3311,1.0,0.006
8.720000000000001e-07,1.3546,1.0,0.006
8.715e-07,1.3573,1.0,0.006
8.71e-07,1.3342,1.0,0.006
8.705000000000001e-07,1.352,1.0,0.006
8.7e-07,1.3476,1.0,0.006
8.695000000000001e-07,1.3352,1.0,0.006
8.690000000000001e-07,1.3469,1.0,0.006
8.685e-07,1.3502,1.0,0.006
8.680000000000001e-07,1.3492,1.0,0.006
8.675000000000001e-07,1.3418,1.0,0.006
8.67e-07,1.3476,1.0,0.006
8.665000000000001e-07,1.3447,1.0,0.006
8.66e-07,1.3433,1.0,0.006
8.655e-07,1.3408,1.0,0.006
8.650000000000001e-07,1.347,1.0,0.006
8.645e-07,1.353,1.0,0.006
8.64e-07,1.36,1.0,0.006
8.635000000000001e-07,1.3508,1.0,0.006
8.63e-07,1.3462,1.0,0.006
8.625000000000001e-07,1.3507,1.0,0.006
8.620000000000001e-07,1.3531,1.0,0.006
8.615e-07,1.355,1.0,0.006
8.610000000000001e-07,1.3593,1.0,0.006
8.605000000000001e-07,1.3569,1.0,0.006
8.6e-07,1.3581,1.0,0.006
8.595000000000001e-07,1.3554,1.0,0.006
8.590000000000001e-07,1.3469,1.0,0.006
8.585e-07,1.3567,1.0,0.006
8.580000000000001e-07,1.3565,1.0,0.006
8.575e-07,1.357,1.0,0.006
8.57e-07,1.3645,1.0,0.006
8.565000000000001e-07,1.3656,1.0,0.006
8.56e-07,1.3573,1.0,0.006
8.555e-07,1.3657,1.0,0.006
8.550000000000001e-07,1.3654,1.0,0.006
8.545e-07,1.3653,1.0,0.006
8.540000000000001e-07,1.3653,1.0,0.006
8.535000000000001e-07,1.3658,1.0,0.006
8.53e-07,1.3616,1.0,0.006
8.525000000000001e-07,1.3645,1.0,0.006
8.520000000000001e-07,1.3617,1.0,0.006
8.515e-07,1.3654,1.0,0.006
8.510000000000001e-07,1.3711,1.0,0.006
8.505e-07,1.3659,1.0,0.006
8.5e-07,1.3686,1.0,0.006
8.495000000000001e-07,1.3654,1.0,0.006
8.49e-07,1.373,1.0,0.006
8.485e-07,1.3688,1.0,0.006
8.480000000000001e-07,1.3738,1.0,0.006
8.475e-07,1.3674,1.0,0.006
8.47e-07,1.3644,1.0,0.006
8.465000000000001e-07,1.3662,1.0,0.006
8.46e-07,1.3717,1.0,0.006
8.455000000000001e-07,1.3711,1.0,0.006
8.450000000000001e-07,1.3662,1.0,0.006
8.445e-07,1.3692,1.0,0.006
8.440000000000001e-07,1.3716,1.0,0.006
8.435000000000001e-07,1.3701,1.0,0.006
8.43e-07,1.3684,1.0,0.006
8.425000000000001e-07,1.373,1.0,0.006
8.42e-07,1.3683,1.0,0.006
8.415e-07,1.3679,1.0,0.006
8.410000000000001e-07,1.3695,1.0,0.006
8.405e-07,1.3685,1.0,0.006
8.4e-07,1.3667,1.0,0.006
8.395000000000001e-07,1.3681,1.0,0.006
8.39e-07,1.3691,1.0,0.006
8.385000000000001e-07,1.3692,1.0,0.006
8.380000000000001e-07,1.3684,1.0,0.006
8.375e-07,1.3713,1.0,0.006
8.370000000000001e-07,1.3657,1.0,0.006
8.365000000000001e-07,1.369,1.0,0.006
8.36e-07,1.3703,1.0,0.006
8.355000000000001e-07,1.3697,1.0,0.006
8.35e-07,1.3676,1.0,0.006
8.345e-07,1.3694,1.0,0.006
8.340000000000001e-07,1.3678,1.0,0.006
8.335e-07,1.3688,1.0,0.006
8.33e-07,1.3694,1.0,0.006
8.325000000000001e-07,1.3641,1.0,0.006
8.32e-07,1.3677,1.0,0.006
8.315e-07,1.3676,1.0,0.006
8.310000000000001e-07,1.3676,1.0,0.006
8.305e-07,1.366,1.0,0.006
8.300000000000001e-07,1.3656,1.0,0.006
8.295000000000001e-07,1.3669,1.0,0.006
8.29e-07,1.3649,1.0,0.006
8.285000000000001e-07,1.3639,1.0,0.006
8.280000000000001e-07,1.3658,1.0,0.006
8.275e-07,1.3639,1.0,0.006
8.270000000000001e-07,1.3629,1.0,0.006
8.265e-07,1.3664,1.0,0.006
8.26e-07,1.3643,1.0,0.006
8.255000000000001e-07,1.3665,1.0,0.006
8.25e-07,1.3615,1.0,0.006
8.245e-07,1.3648,1.0,0.006
8.240000000000001e-07,1.3624,1.0,0.006
8.235e-07,1.3626,1.0,0.006
8.230000000000001e-07,1.3598,1.0,0.006
8.225000000000001e-07,1.3644,1.0,0.006
8.22e-07,1.3641,1.0,0.006
8.215000000000001e-07,1.3637,1.0,0.006
8.210000000000001e-07,1.3609,1.0,0.006
8.205e-07,1.3618,1.0,0.006
8.200000000000001e-07,1.3635,1.0,0.006
8.195e-07,1.3628,1.0,0.006
8.19e-07,1.3636,1.0,0.006
8.185000000000001e-07,1.3611,1.0,0.006
8.18e-07,1.3644,1.0,0.006
8.175e-07,1.3645,1.0,0.006
8.170000000000001e-07,1.364,1.0,0.006
8.165e-07,1.3612,1.0,0.006
8.16e-07,1.3622,1.0,0.006
8.155000000000001e-07,1.3635,1.0,0.006
8.15e-07,1.3641,1.0,0.006
8.145000000000001e-07,1.3635,1.0,0.006
8.140000000000001e-07,1.3614,1.0,0.006
8.135e-07,1.363,1.0,0.006
8.130000000000001e-07,1.3652,1.0,0.006
8.125000000000001e-07,1.363,1.0,0.006
8.12e-07,1.3631,1.0,0.006
8.115000000000001e-07,1.3642,1.0,0.006
8.11e-07,1.3621,1.0,0.006
8.105e-07,1.3648,1.0,0.006
8.100000000000001e-07,1.3613,1.0,0.006
8.095e-07,1.3614,1.0,0.006
8.09e-07,1.3655,1.0,0.006
8.085000000000001e-07,1.3637,1.0,0.006
8.08e-07,1.3618,1.0,0.006
8.075e-07,1.3645,1.0,0.006
8.070000000000001e-07,1.367,1.0,0.006
8.065e-07,1.3618,1.0,0.006
8.060000000000001e-07,1.3646,1.0,0.006
8.055000000000001e-07,1.3629,1.0,0.006
8.05e-07,1.3633,1.0,0.006
8.045000000000001e-07,1.3632,1.0,0.006
8.04e-07,1.3647,1.0,0.006
8.035e-07,1.3614,1.0,0.006
8.030000000000001e-07,1.3642,1.0,0.006
8.025e-07,1.3645,1.0,0.006
8.02e-07,1.3661,1.0,0.006
8.015000000000001e-07,1.3645,1.0,0.006
8.01e-07,1.3655,1.0,0.006
8.005e-07,1.3645,1.0,0.006
8.000000000000001e-07,1.3637,1.0,0.006
7.995e-07,1.3681,1.0,0.006
7.990000000000001e-07,1.3665,1.0,0.006
7.985000000000001e-07,1.3655,1.0,0.006
7.98e-07,1.3645,1.0,0.006
7.975000000000001e-07,1.3675,1.0,0.006
7.970000000000001e-07,1.3635,1.0,0.006
7.965e-07,1.3673,1.0,0.006
7.960000000000001e-07,1.3678,1.0,0.006
7.955e-07,1.3694,1.0,0.006
7.95e-07,1.3663,1.0,0.006
7.945000000000001e-07,1.3666,1.0,0.006
7.94e-07,1.3675,1.0,0.006
7.935e-07,1.3689,1.0,0.006
7.930000000000001e-07,1.3689,1.0,0.006
7.925e-07,1.3651,1.0,0.006
7.92e-07,1.3672,1.0,0.006
7.915000000000001e-07,1.3684,1.0,0.006
7.91e-07,1.3667,1.0,0.006
7.905000000000001e-07,1.3666,1.0,0.006
7.900000000000001e-07,1.3686,1.0,0.006
7.895e-07,1.3681,1.0,0.006
7.890000000000001e-07,1.3701,1.0,0.006
7.885e-07,1.3673,1.0,0.006
7.88e-07,1.3678,1.0,0.006
7.875000000000001e-07,1.3688,1.0,0.006
7.87e-07,1.371,1.0,0.006
7.865e-07,1.3714,1.0,0.006
7.860000000000001e-07,1.3677,1.0,0.006
7.855e-07,1.3682,1.0,0.006
7.85e-07,1.3681,1.0,0.006
7.845000000000001e-07,1.3695,1.0,0.006
7.84e-07,1.3692,1.0,0.006
7.835000000000001e-07,1.3709,1.0,0.006
7.830000000000001e-07,1.3698,1.0,0.006
7.825e-07,1.3685,1.0,0.006
7.820000000000001e-07,1.3722,1.0,0.006
7.815000000000001e-07,1.3721,1.0,0.006
7.81e-07,1.373,1.0,0.006
7.805000000000001e-07,1.3708,1.0,0.006
7.8e-07,1.3746,1.0,0.006
7.795e-07,1.3694,1.0,0.006
7.790000000000001e-07,1.3706,1.0,0.006
7.785e-07,1.3701,1.0,0.006
7.78e-07,1.3703,1.0,0.006
7.775000000000001e-07,1.3713,1.0,0.006
7.77e-07,1.3738,1.0,0.006
7.765e-07,1.3722,1.0,0.006
7.760000000000001e-07,1.3725,1.0,0.006
7.755e-07,1.3727,1.0,0.006
7.750000000000001e-07,1.374,1.0,0.006
7.745000000000001e-07,1.3741,1.0,0.006
7.74e-07,1.3725,1.0,0.006
7.735000000000001e-07,1.3748,1.0,0.006
7.73e-07,1.3707,1.0,0.006
7.725e-07,1.3733,1.0,0.006
7.720000000000001e-07,1.3753,1.0,0.006
7.715e-07,1.373,1.0,0.006
7.71e-07,1.3729,1.0,0.006
7.705000000000001e-07,1.3735,1.0,0.006
7.7e-07,1.3736,1.0,0.006
7.695e-07,1.3731,1.0,0.006
7.690000000000001e-07,1.3744,1.0,0.006
7.685e-07,1.3748,1.0,0.006
7.680000000000001e-07,1.3741,1.0,0.006
7.675000000000001e-07,1.3739,1.0,0.006
7.67e-07,1.376,1.0,0.006
7.665000000000001e-07,1.3733,1.0,0.006
7.660000000000001e-07,1.3742,1.0,0.006
7.655e-07,1.3763,1.0,0.006
7.650000000000001e-07,1.3738,1.0,0.006
