lambda,transmittance,polished,trasm_error
9.000000000000001e-07,0.8995,0.5853071317022385,0.003511842790213431
8.995e-07,0.7995,0.499001373111971,0.002994008238671826
8.990000000000001e-07,0.8162,0.5125274725274725,0.0030751648351648353
8.985000000000001e-07,0.7065,0.4466995447647952,0.002680197268588771
8.98e-07,0.7635,0.504659924648027,0.003027959547888162
8.975000000000001e-07,0.7496,0.4903512788643946,0.0029421076731863676
8.97e-07,0.7019,0.4644960624710475,0.002786976374826285
8.965e-07,0.7334,0.48646855929954896,0.002918811355797294
8.960000000000001e-07,0.8507,0.5731707317073171,0.003439024390243903
8.955e-07,0.7355,0.4747611670539634,0.0028485670023237803
8.95e-07,0.7032,0.46214511041009465,0.0027728706624605675
8.945000000000001e-07,0.759,0.4826402136589088,0.002895841281953453
8.94e-07,0.7411,0.4915108104523146,0.0029490648627138877
8.935000000000001e-07,0.8125,0.5082254331644461,0.0030493525989866766
8.930000000000001e-07,0.7925,0.515078642922137,0.003090471857532822
8.925e-07,0.7595,0.5100738750839489,0.0030604432505036932
8.920000000000001e-07,0.7515,0.4832797427652733,0.0028996784565916396
8.915000000000001e-07,0.7025,0.4410472124560522,0.002646283274736313
8.91e-07,0.7635,0.4767703259647808,0.0028606219557886846
8.905000000000001e-07,0.7305,0.47309112104138334,0.0028385467262483
8.900000000000001e-07,0.7735,0.5048626068794465,0.003029175641276679
8.895e-07,0.7868,0.501817717966707,0.0030109063078002426
8.890000000000001e-07,0.7668,0.5035791685821239,0.0030214750114927434
8.885e-07,0.7964,0.5134751773049646,0.0030808510638297877
8.88e-07,0.7606,0.49722167745309537,0.0029833300647185723
8.875000000000001e-07,0.7246,0.4834856875959165,0.002900914125575499
8.87e-07,0.7235,0.4744262295081968,0.002846557377049181
8.865e-07,0.7287,0.48045097909936046,0.0028827058745961626
8.860000000000001e-07,0.7827,0.5160205696202531,0.0030961234177215185
8.855e-07,0.7744,0.5100441283013897,0.0030602647698083378
8.850000000000001e-07,0.766,0.5002285639652583,0.0030013713837915494
8.845000000000001e-07,0.7804,0.5084370317284513,0.003050622190370708
8.84e-07,0.7316,0.4739876903142209,0.002843926141885325
8.835000000000001e-07,0.7385,0.4862071235762724,0.002917242741457634
8.830000000000001e-07,0.743,0.48190426773900635,0.0028914256064340384
8.825e-07,0.7492,0.4911820625450731,0.002947092375270438
8.820000000000001e-07,0.7356,0.47608569024658604,0.0028565141414795157
8.815e-07,0.7409,0.4791437625299101,0.00287486257517946
8.81e-07,0.7372,0.4829348182115951,0.0028976089092695705
8.805000000000001e-07,0.7372,0.47162689527221546,0.0028297613716332924
8.8e-07,0.762,0.4897172236503856,0.0029383033419023135
8.795e-07,0.7536,0.49533324569475484,0.002971999474168529
8.790000000000001e-07,0.7329,0.4699884570988842,0.002819930742593305
8.785e-07,0.729,0.4754761283589878,0.0028528567701539263
8.780000000000001e-07,0.74,0.48192771084337344,0.00289156626506024
8.775000000000001e-07,0.7381,0.4898785425101215,0.0029392712550607284
8.77e-07,0.7278,0.47152575315840617,0.002829154518950437
8.765000000000001e-07,0.7523,0.49218187765783444,0.0029530912659470067
8.760000000000001e-07,0.7381,0.4795659801182509,0.002877395880709505
8.755e-07,0.7361,0.4762551759834368,0.0028575310559006205
8.750000000000001e-07,0.729,0.47553816046966735,0.002853228962818004
8.745000000000001e-07,0.747,0.4829637292299735,0.002897782375379841
8.74e-07,0.7364,0.4810556571727202,0.002886333943036321
8.735000000000001e-07,0.7428,0.48152469856087127,0.0028891481913652273
8.73e-07,0.7363,0.47817898428367317,0.0028690739057020387
8.725e-07,0.7345,0.47506629584114873,0.0028503977750468923
8.720000000000001e-07,0.7392,0.4790667530784187,0.002874400518470512
8.715e-07,0.7276,0.4774591508629175,0.002864754905177505
8.71e-07,0.7295,0.47155785391079513,0.0028293471234647704
8.705000000000001e-07,0.7393,0.4772756617172369,0.0028636539703034212
8.7e-07,0.7316,0.4753427327659022,0.002852056396595413
8.695000000000001e-07,0.7351,0.47792731291853585,0.002867563877511215
8.690000000000001e-07,0.7352,0.4758576051779935,0.0028551456310679612
8.685e-07,0.7362,0.4787669896598816,0.00287260193795929
8.680000000000001e-07,0.7286,0.4786178808382054,0.0028717072850292322
8.675000000000001e-07,0.7424,0.4856731649875703,0.0029140389899254215
8.67e-07,0.7377,0.48159028593811204,0.0028895417156286725
8.665000000000001e-07,0.7338,0.47348044909020515,0.002840882694541231
8.66e-07,0.7303,0.47629296289049755,0.0028577577773429854
8.655e-07,0.7371,0.4782636906306774,0.002869582143784065
8.650000000000001e-07,0.7394,0.47851410820605744,0.0028710846492363447
8.645e-07,0.7283,0.4710866752910737,0.0028265200517464417
8.64e-07,0.7371,0.47904074868395397,0.0028742444921037234
8.635000000000001e-07,0.7362,0.47826934320795167,0.00286961605924771
8.63e-07,0.729,0.4728239719808016,0.0028369438318848095
8.625000000000001e-07,0.7345,0.47803449397982434,0.0028682069638789457
8.620000000000001e-07,0.7316,0.475868349160921,0.0028552100949655263
8.615e-07,0.7376,0.4752577319587629,0.0028515463917525774
8.610000000000001e-07,0.7339,0.47452476399844823,0.002847148583990689
8.605000000000001e-07,0.7316,0.47193910463166044,0.0028316346277899624
8.6e-07,0.7331,0.47263232544645734,0.002835793952678744
8.595000000000001e-07,0.7242,0.4643200615502981,0.0027859203693017887
8.590000000000001e-07,0.7308,0.4713622291021672,0.0028281733746130027
8.585e-07,0.7341,0.47376573088092927,0.0028425943852855755
8.580000000000001e-07,0.7358,0.4749241592977474,0.0028495449557864845
8.575e-07,0.738,0.4750563244287093,0.0028503379465722556
8.57e-07,0.7314,0.4730000646705038,0.0028380003880230224
8.565000000000001e-07,0.7333,0.47251755912107735,0.0028351053547264636
8.56e-07,0.7315,0.472026843905272,0.002832161063431632
8.555e-07,0.7296,0.4708615682478219,0.002825169409486931
8.550000000000001e-07,0.733,0.47253739040742654,0.0028352243424445587
8.545e-07,0.7344,0.4728302858614474,0.0028369817151686844
8.540000000000001e-07,0.7348,0.471811994349557,0.002830871966097342
8.535000000000001e-07,0.7333,0.47318835903723294,0.0028391301542233975
8.53e-07,0.7369,0.4743177136972193,0.002845906282183316
8.525000000000001e-07,0.7331,0.47141662915568133,0.0028284997749340878
8.520000000000001e-07,0.7338,0.47092799383904504,0.00282556796303427
8.515e-07,0.7323,0.46948326708552374,0.002816899602513142
8.510000000000001e-07,0.7323,0.4699955073486939,0.0028199730440921634
8.505e-07,0.7313,0.4703801376471345,0.002822280825882807
8.5e-07,0.729,0.4680878387055349,0.002808527032233209
8.495000000000001e-07,0.7286,0.46915647134578237,0.002814938828074694
8.49e-07,0.7336,0.4707392197125257,0.002824435318275154
8.485e-07,0.7342,0.47030939721990905,0.0028218563833194545
8.480000000000001e-07,0.7288,0.4666709355189857,0.002800025613113914
8.475e-07,0.7286,0.4680413695638209,0.002808248217382925
8.47e-07,0.7313,0.4693537000192542,0.002816122200115525
8.465000000000001e-07,0.7328,0.4684523429009781,0.002810714057405869
8.46e-07,0.7266,0.46520263781292015,0.0027912158268775205
8.455000000000001e-07,0.7313,0.46671772289233515,0.002800306337354011
8.450000000000001e-07,0.7287,0.46792525524947026,0.0028075515314968215
8.445e-07,0.7281,0.4662525614754098,0.0027975153688524585
8.440000000000001e-07,0.7297,0.4667690142646965,0.002800614085588179
8.435000000000001e-07,0.7329,0.46836656441717794,0.0028101993865030676
8.43e-07,0.73,0.4673196338262595,0.0028039178029575567
8.425000000000001e-07,0.73,0.4671103148195546,0.002802661888917328
8.42e-07,0.7297,0.46700800000000003,0.002802048
8.415e-07,0.7282,0.4663165983606557,0.002797899590163934
8.410000000000001e-07,0.7278,0.4665085571437728,0.0027990513428626366
8.405e-07,0.7293,0.4658575534972852,0.002795145320983711
