lambda,transmittance,polished
900.0,-0.0245,-0.026729216670303296
899.5,-0.0683,-0.06922063443802574
899.0,0.2136,0.20739877658025052
898.5,0.2738,0.3714557047890381
898.0,-0.0339,-0.03430132550844885
897.5,-0.1457,-0.18809708236509168
897.0,0.0516,0.06349987693822298
896.5,0.1527,0.18000707296946833
896.0,-0.1104,-0.11389662643144537
895.5,-0.0828,-0.0803883495145631
895.0,-0.0133,-0.012598276025385997
894.5,0.124,0.11516671310485743
894.0,-0.1927,-0.21877838328792007
893.5,-0.003,-0.003302873499944952
893.0,-0.0026,-0.0028840820854132
892.5,-0.0739,-0.07311040759794223
892.0,-0.024,-0.027210884353741496
891.5,-0.1086,-0.11955085865257596
891.0,0.0576,0.06713286713286713
890.5,0.1285,0.15788180366138346
890.0,-0.0658,-0.07409075554554667
889.5,0.1619,0.2000741473059812
889.0,0.0729,0.07802632987263192
888.5,0.0016,0.0017204301075268817
888.0,0.1027,0.10971050101484883
887.5,0.0112,0.013220018885741265
887.0,-0.0257,-0.028347672622986986
886.5,0.0214,0.022075510625128945
886.0,0.1099,0.11701448040885859
885.5,-0.0574,-0.062195254090367316
885.0,0.0061,0.006820214669051879
884.5,0.015,0.01618646811265782
884.0,-0.0358,-0.04077448747152619
883.5,-0.0415,-0.0447198275862069
883.0,-0.0608,-0.06690877077143172
882.5,-0.0153,-0.01715631307468042
882.0,0.0549,0.06334371754932502
881.5,0.0097,0.010223440134907252
881.0,0.0094,0.010257529463116543
880.5,0.023,0.02575011195700851
880.0,0.0145,0.016222868650704856
879.5,0.0344,0.03762441211856065
879.0,-0.0076,-0.008008429926238146
878.5,-0.0163,-0.01830637915543576
878.0,-0.0032,-0.003526559400484902
877.5,-0.0109,-0.011815718157181573
877.0,0.0067,0.0073304157549234136
876.5,-0.0168,-0.018870043805458835
876.0,0.002,0.0021258503401360546
875.5,-0.0463,-0.04984390138873937
875.0,-0.0176,-0.01909100770148606
874.5,-0.0314,-0.035182072829131654
874.0,0.0103,0.01146610263831682
873.5,0.0234,0.02559335010390463
873.0,-0.0222,-0.02447629547960309
872.5,-0.0249,-0.027712854757929884
872.0,0.0144,0.01597692222345501
871.5,0.0062,0.007053469852104664
871.0,0.0083,0.009134932863746423
870.5,0.0233,0.02583434970617585
870.0,0.0148,0.016251235313495115
869.5,0.0073,0.008213321332133212
869.0,-0.001,-0.001103996467211305
868.5,0.0137,0.01508976759555017
868.0,-0.0076,-0.008336075463419985
867.5,-0.008,-0.008818342151675485
867.0,-0.0033,-0.0036351619299405153
866.5,0.0089,0.00994302312590772
866.0,0.0015,0.0016382699868938402
865.5,0.0065,0.007231060184670152
865.0,0.0065,0.007131102578167855
864.5,-0.0008,-0.0008703220191470844
864.0,-0.0019,-0.002105263157894737
863.5,-0.0101,-0.011227212094264118
863.0,-0.0016,-0.0017603696776323028
862.5,0.0035,0.003840667178755624
862.0,0.0029,0.003163866463015492
861.5,0.0021,0.0023092148669452387
861.0,0.0042,0.0046301400066144855
860.5,0.004,0.0043821209465381246
860.0,0.0009,0.0009903169014084507
859.5,0.0058,0.006406716005743952
859.0,0.0048,0.00529042213159925
858.5,-0.0015,-0.0016422158966498796
858.0,-0.0007,-0.000766199649737303
857.5,-0.0006,-0.0006574621959237343
857.0,-0.0023,-0.002525252525252525
856.5,-0.0011,-0.001200742277043991
856.0,0.002,0.002176989223903342
855.5,0.0001,0.00011010790574763268
855.0,0.0033,0.0036041939711664484
854.5,0.0015,0.0016429353778751369
854.0,0.0032,0.0035184167124793844
853.5,-0.0015,-0.0016366612111292963
853.0,0.002,0.0021920210434020165
852.5,-0.0022,-0.002410694718387026
852.0,0.0013,0.0014135044036098728
851.5,0.0032,0.0034934497816593887
851.0,-0.001,-0.0010912265386294195
850.5,0.0011,0.0011990407673860913
850.0,0.0014,0.001526051885764116
849.5,0.0033,0.003584618726917228
849.0,0.0029,0.0031628312793107204
848.5,0.0012,0.001303497718878992
848.0,0.0014,0.0015227322166630412
847.5,0.0033,0.003579952267303103
847.0,0.0023,0.0024986420423682783
846.5,0.0032,0.0034718455028751225
846.0,0.0034,0.0036980639547530996
845.5,0.0024,0.002614663906743654
845.0,0.0028,0.0030381944444444445
844.5,0.0007,0.0007599609162957334
844.0,0.0015,0.001625663812723529
843.5,0.0012,0.001302931596091205
843.0,0.0028,0.0030441400304414006
842.5,0.0042,0.004556797222523597
842.0,0.0017,0.0018414211438474869
841.5,0.0026,0.002824551873981532
841.0,0.0029,0.003141588126963492
840.5,0.0023,0.0024994566398608997
840.0,0.0033,0.0035869565217391303
839.5,0.002,0.0021699034392969516
839.0,0.002,0.0021673168617251846
838.5,0.0019,0.002056722234249838
838.0,0.0037,0.004018681438036277
837.5,0.0029,0.0031473844150206208
837.0,0.0021,0.002285589899869395
836.5,0.0032,0.003479017177647315
836.0,0.0035,0.0037965072133637054
835.5,0.0029,0.003143631436314363
835.0,0.0028,0.003048780487804878
834.5,0.0025,0.0027165054873410843
834.0,0.0036,0.003909219242045825
833.5,0.0018,0.001954185213331886
833.0,0.0023,0.0025016314988035677
832.5,0.0029,0.0031443131302179334
832.0,0.0024,0.002609546591279765
831.5,0.0031,0.003375803114450615
831.0,0.0023,0.00249728555917481
830.5,0.0026,0.002831010452961672
830.0,0.0022,0.002393385552654482
829.5,0.0025,0.0027194604590449257
829.0,0.0025,0.002717982170036965
828.5,0.0023,0.0025040827436037015
828.0,0.0023,0.002506265664160401
827.5,0.0027,0.0029402156158118264
827.0,0.0019,0.0020708446866485016
826.5,0.0028,0.0030517711171662125
826.0,0.0025,0.0027253897307314948
825.5,0.0024,0.0026160889470241986
825.0,0.0021,0.0022920759659462997
824.5,0.0023,0.0025068119891008176
824.0,0.003,0.003278688524590164
823.5,0.0026,0.002833478639930253
823.0,0.0027,0.0029418173894094576
822.5,0.0024,0.0026101141924959213
822.0,0.0029,0.003163521326497218
821.5,0.003,0.003277972027972028
821.0,0.0024,0.002615233736515201
820.5,0.0023,0.002511191178076209
820.0,0.0027,0.0029504972134192986
819.5,0.0031,0.0033772742128772193
819.0,0.0028,0.0030601092896174863
818.5,0.0025,0.002723014922121773
818.0,0.0025,0.0027236082361913063
817.5,0.0024,0.0026209457245822865
817.0,0.0026,0.002839667977282656
816.5,0.0026,0.002839357868297477
816.0,0.0024,0.0026138096275321277
815.5,0.0024,0.0026186579378068738
815.0,0.0025,0.0027334353815875794
814.5,0.0026,0.0028353326063249723
814.0,0.0023,0.0025122883670125615
813.5,0.0028,0.0030621172353455816
813.0,0.0026,0.002839667977282656
812.5,0.002,0.0021836445026749644
812.0,0.0027,0.002951142201333479
811.5,0.0019,0.0020697167755991284
811.0,0.0025,0.0027268760907504367
810.5,0.003,0.0032754667540124465
810.0,0.0025,0.0027271735573251884
809.5,0.0026,0.002831010452961672
809.0,0.0023,0.002510094947069737
808.5,0.0022,0.0024070021881838076
808.0,0.0027,0.0029421379535796016
807.5,0.0027,0.0029434209091900145
807.0,0.0025,0.002728066346573549
806.5,0.0024,0.002619229509985812
806.0,0.0026,0.002836569932358717
805.5,0.0022,0.002398604448320977
805.0,0.0024,0.0026129559063690798
804.5,0.0027,0.002946311654299433
804.0,0.0027,0.0029456687759109755
803.5,0.0027,0.0029427792915531336
803.0,0.0027,0.0029459901800327334
802.5,0.0027,0.0029418173894094576
802.0,0.0023,0.002510094947069737
801.5,0.0022,0.00239573124251334
801.0,0.0025,0.0027271735573251884
800.5,0.0025,0.0027259840802529712
800.0,0.0027,0.0029453474419112034
799.5,0.0027,0.0029411764705882353
799.0,0.0028,0.0030491124904715233
798.5,0.0021,0.0022870834240906117
798.0,0.0027,0.002943741822939381
797.5,0.0022,0.002398604448320977
797.0,0.0025,0.002725686873092019
796.5,0.0023,0.0025029927086734137
796.0,0.0018,0.0019582245430809398
795.5,0.0024,0.002615233736515201
795.0,0.0023,0.0025021758050478675
794.5,0.0022,0.002393906420021763
794.0,0.0025,0.0027250926531502072
793.5,0.003,0.003268685988232731
793.0,0.0025,0.0027194604590449257
792.5,0.0022,0.0023907846120408607
792.0,0.0022,0.002393645958002394
791.5,0.0024,0.002610966057441253
791.0,0.0023,0.002502448047002502
790.5,0.0026,0.0028294700185003806
790.0,0.0024,0.0026081286676809387
789.5,0.0023,0.0024991850483537977
789.0,0.0027,0.0029347826086956524
788.5,0.0025,0.0027156202476645666
788.0,0.0023,0.00249728555917481
787.5,0.0027,0.002935420743639922
787.0,0.0019,0.0020654418958582456
786.5,0.0025,0.0027156202476645666
786.0,0.0027,0.0029338259263283714
785.5,0.0023,0.0024989135158626683
785.0,0.0027,0.002935420743639922
784.5,0.0025,0.002714735584754045
784.0,0.0025,0.002716800695500978
783.5,0.0026,0.0028224055579678677
783.0,0.0023,0.0025070852408981903
782.5,0.0023,0.0024932249322493225
782.0,0.0028,0.0030424861458220147
781.5,0.0025,0.002710320901994796
781.0,0.0023,0.0024970144392574096
780.5,0.0028,0.003039183762075328
780.0,0.0022,0.002387411828540423
779.5,0.0025,0.0027156202476645666
779.0,0.0027,0.0029303234208812676
778.5,0.0025,0.0027129679869777536
778.0,0.0023,0.0024962014326025614
