lambda,transmittance,polished
900.0,0.9166,1.0
899.5,0.9867,1.0
899.0,1.0299,1.0
898.5,0.7371,1.0
898.0,0.9883,1.0
897.5,0.7746,1.0
897.0,0.8126,1.0
896.5,0.8483,1.0
896.0,0.9693,1.0
895.5,1.03,1.0
895.0,1.0557,1.0
894.5,1.0767,1.0
894.0,0.8808,1.0
893.5,0.9083,1.0
893.0,0.9015,1.0
892.5,1.0108,1.0
892.0,0.882,1.0
891.5,0.9084,1.0
891.0,0.858,1.0
890.5,0.8139,1.0
890.0,0.8881,1.0
889.5,0.8092,1.0
889.0,0.9343,1.0
888.5,0.93,1.0
888.0,0.9361,1.0
887.5,0.8472,1.0
887.0,0.9066,1.0
886.5,0.9694,1.0
886.0,0.9392,1.0
885.5,0.9229,1.0
885.0,0.8944,1.0
884.5,0.9267,1.0
884.0,0.878,1.0
883.5,0.928,1.0
883.0,0.9087,1.0
882.5,0.8918,1.0
882.0,0.8667,1.0
881.5,0.9488,1.0
881.0,0.9164,1.0
880.5,0.8932,1.0
880.0,0.8938,1.0
879.5,0.9143,1.0
879.0,0.949,1.0
878.5,0.8904,1.0
878.0,0.9074,1.0
877.5,0.9225,1.0
877.0,0.914,1.0
876.5,0.8903,1.0
876.0,0.9408,1.0
875.5,0.9289,1.0
875.0,0.9219,1.0
874.5,0.8925,1.0
874.0,0.8983,1.0
873.5,0.9143,1.0
873.0,0.907,1.0
872.5,0.8985,1.0
872.0,0.9013,1.0
871.5,0.879,1.0
871.0,0.9086,1.0
870.5,0.9019,1.0
870.0,0.9107,1.0
869.5,0.8888,1.0
869.0,0.9058,1.0
868.5,0.9079,1.0
868.0,0.9117,1.0
867.5,0.9072,1.0
867.0,0.9078,1.0
866.5,0.8951,1.0
866.0,0.9156,1.0
865.5,0.8989,1.0
865.0,0.9115,1.0
864.5,0.9192,1.0
864.0,0.9025,1.0
863.5,0.8996,1.0
863.0,0.9089,1.0
862.5,0.9113,1.0
862.0,0.9166,1.0
861.5,0.9094,1.0
861.0,0.9071,1.0
860.5,0.9128,1.0
860.0,0.9088,1.0
859.5,0.9053,1.0
859.0,0.9073,1.0
858.5,0.9134,1.0
858.0,0.9136,1.0
857.5,0.9126,1.0
857.0,0.9108,1.0
856.5,0.9161,1.0
856.0,0.9187,1.0
855.5,0.9082,1.0
855.0,0.9156,1.0
854.5,0.913,1.0
854.0,0.9095,1.0
853.5,0.9165,1.0
853.0,0.9124,1.0
852.5,0.9126,1.0
852.0,0.9197,1.0
851.5,0.916,1.0
851.0,0.9164,1.0
850.5,0.9174,1.0
850.0,0.9174,1.0
849.5,0.9206,1.0
849.0,0.9169,1.0
848.5,0.9206,1.0
848.0,0.9194,1.0
847.5,0.9218,1.0
847.0,0.9205,1.0
846.5,0.9217,1.0
846.0,0.9194,1.0
845.5,0.9179,1.0
845.0,0.9216,1.0
844.5,0.9211,1.0
844.0,0.9227,1.0
843.5,0.921,1.0
843.0,0.9198,1.0
842.5,0.9217,1.0
842.0,0.9232,1.0
841.5,0.9205,1.0
841.0,0.9231,1.0
840.5,0.9202,1.0
840.0,0.92,1.0
839.5,0.9217,1.0
839.0,0.9228,1.0
838.5,0.9238,1.0
838.0,0.9207,1.0
837.5,0.9214,1.0
837.0,0.9188,1.0
836.5,0.9198,1.0
836.0,0.9219,1.0
835.5,0.9225,1.0
835.0,0.9184,1.0
834.5,0.9203,1.0
834.0,0.9209,1.0
833.5,0.9211,1.0
833.0,0.9194,1.0
832.5,0.9223,1.0
832.0,0.9197,1.0
831.5,0.9183,1.0
831.0,0.921,1.0
830.5,0.9184,1.0
830.0,0.9192,1.0
829.5,0.9193,1.0
829.0,0.9198,1.0
828.5,0.9185,1.0
828.0,0.9177,1.0
827.5,0.9183,1.0
827.0,0.9175,1.0
826.5,0.9175,1.0
826.0,0.9173,1.0
825.5,0.9174,1.0
825.0,0.9162,1.0
824.5,0.9175,1.0
824.0,0.915,1.0
823.5,0.9176,1.0
823.0,0.9178,1.0
822.5,0.9195,1.0
822.0,0.9167,1.0
821.5,0.9152,1.0
821.0,0.9177,1.0
820.5,0.9159,1.0
820.0,0.9151,1.0
819.5,0.9179,1.0
819.0,0.915,1.0
818.5,0.9181,1.0
818.0,0.9179,1.0
817.5,0.9157,1.0
817.0,0.9156,1.0
816.5,0.9157,1.0
816.0,0.9182,1.0
815.5,0.9165,1.0
815.0,0.9146,1.0
814.5,0.917,1.0
814.0,0.9155,1.0
813.5,0.9144,1.0
813.0,0.9156,1.0
812.5,0.9159,1.0
812.0,0.9149,1.0
811.5,0.918,1.0
811.0,0.9168,1.0
810.5,0.9159,1.0
810.0,0.9167,1.0
809.5,0.9184,1.0
809.0,0.9163,1.0
808.5,0.914,1.0
808.0,0.9177,1.0
807.5,0.9173,1.0
807.0,0.9164,1.0
806.5,0.9163,1.0
806.0,0.9166,1.0
805.5,0.9172,1.0
805.0,0.9185,1.0
804.5,0.9164,1.0
804.0,0.9166,1.0
803.5,0.9175,1.0
803.0,0.9165,1.0
802.5,0.9178,1.0
802.0,0.9163,1.0
801.5,0.9183,1.0
801.0,0.9167,1.0
800.5,0.9171,1.0
800.0,0.9167,1.0
799.5,0.918,1.0
799.0,0.9183,1.0
798.5,0.9182,1.0
798.0,0.9172,1.0
797.5,0.9172,1.0
797.0,0.9172,1.0
796.5,0.9189,1.0
796.0,0.9192,1.0
795.5,0.9177,1.0
795.0,0.9192,1.0
794.5,0.919,1.0
794.0,0.9174,1.0
793.5,0.9178,1.0
793.0,0.9193,1.0
792.5,0.9202,1.0
792.0,0.9191,1.0
791.5,0.9192,1.0
791.0,0.9191,1.0
790.5,0.9189,1.0
790.0,0.9202,1.0
789.5,0.9203,1.0
789.0,0.92,1.0
788.5,0.9206,1.0
788.0,0.921,1.0
787.5,0.9198,1.0
787.0,0.9199,1.0
786.5,0.9206,1.0
786.0,0.9203,1.0
785.5,0.9204,1.0
785.0,0.9198,1.0
784.5,0.9209,1.0
784.0,0.9202,1.0
783.5,0.9212,1.0
783.0,0.9174,1.0
782.5,0.9225,1.0
782.0,0.9203,1.0
781.5,0.9224,1.0
781.0,0.9211,1.0
780.5,0.9213,1.0
780.0,0.9215,1.0
779.5,0.9206,1.0
779.0,0.9214,1.0
778.5,0.9215,1.0
778.0,0.9214,1.0
777.5,0.9242,1.0
777.0,0.9221,1.0
776.5,0.9222,1.0
776.0,0.9218,1.0
775.5,0.9218,1.0
775.0,0.9222,1.0
774.5,0.9212,1.0
774.0,0.9233,1.0
773.5,0.9234,1.0
773.0,0.9237,1.0
772.5,0.9231,1.0
772.0,0.9233,1.0
771.5,0.9236,1.0
771.0,0.9232,1.0
770.5,0.9231,1.0
770.0,0.9248,1.0
769.5,0.9225,1.0
769.0,0.9221,1.0
768.5,0.9244,1.0
768.0,0.9224,1.0
767.5,0.923,1.0
767.0,0.9242,1.0
766.5,0.9238,1.0
766.0,0.9239,1.0
765.5,0.9231,1.0
765.0,0.9239,1.0
764.5,0.9254,1.0
764.0,0.9249,1.0
763.5,0.926,1.0
763.0,0.927,1.0
762.5,0.9239,1.0
762.0,0.9241,1.0
761.5,0.9233,1.0
761.0,0.9248,1.0
760.5,0.9238,1.0
760.0,0.9247,1.0
759.5,0.925,1.0
759.0,0.9244,1.0
758.5,0.9255,1.0
758.0,0.9244,1.0
757.5,0.9251,1.0
757.0,0.9243,1.0
756.5,0.9259,1.0
756.0,0.9264,1.0
755.5,0.9254,1.0
755.0,0.9249,1.0
754.5,0.9259,1.0
754.0,0.9273,1.0
753.5,0.9266,1.0
753.0,0.9259,1.0
752.5,0.9254,1.0
752.0,0.9265,1.0
751.5,0.9286,1.0
751.0,0.9269,1.0
750.5,0.9268,1.0
750.0,0.9269,1.0
749.5,0.9273,1.0
749.0,0.9271,1.0
748.5,0.9275,1.0
748.0,0.9262,1.0
747.5,0.9279,1.0
747.0,0.9291,1.0
746.5,0.9265,1.0
746.0,0.9289,1.0
745.5,0.9288,1.0
745.0,0.9296,1.0
744.5,0.9277,1.0
744.0,0.9285,1.0
743.5,0.9296,1.0
743.0,0.929,1.0
742.5,0.928,1.0
742.0,0.929,1.0
741.5,0.9308,1.0
741.0,0.9296,1.0
740.5,0.9293,1.0
740.0,0.9291,1.0
739.5,0.9317,1.0
739.0,0.9313,1.0
738.5,0.9313,1.0
738.0,0.9317,1.0
737.5,0.9316,1.0
737.0,0.9327,1.0
736.5,0.9318,1.0
736.0,0.9323,1.0
735.5,0.9328,1.0
735.0,0.9341,1.0
734.5,0.9342,1.0
734.0,0.9351,1.0
733.5,0.9335,1.0
733.0,0.9351,1.0
732.5,0.9365,1.0
732.0,0.9365,1.0
731.5,0.9382,1.0
731.0,0.9375,1.0
730.5,0.9392,1.0
730.0,0.9404,1.0
729.5,0.9395,1.0
729.0,0.9401,1.0
728.5,0.9429,1.0
728.0,0.9442,1.0
727.5,0.9434,1.0
727.0,0.9463,1.0
726.5,0.9482,1.0
726.0,0.9488,1.0
725.5,0.9506,1.0
725.0,0.9514,1.0
724.5,0.9527,1.0
724.0,0.9554,1.0
723.5,0.9578,1.0
723.0,0.9592,1.0
722.5,0.9617,1.0
722.0,0.9652,1.0
721.5,0.9688,1.0
721.0,0.9712,1.0
720.5,0.9727,1.0
720.0,0.9758,1.0
719.5,0.9786,1.0
