lambda,transmittance,polished
900.0,1.0173,1.1098625354571243
899.5,-2.2075,-2.237255498125063
899.0,0.089,0.08641615690843771
898.5,6.7796,9.197666530999864
898.0,-12.8027,-12.954264899322068
897.5,1.201,1.5504776658920736
897.0,-3.055,-3.7595372877184348
896.5,-18.1003,-21.337144877991275
896.0,1.6862,1.7396059011657896
895.5,-2.613,-2.536893203883495
895.0,1.3171,1.2476082220327742
894.5,0.3746,0.34791492523451284
894.0,-10.7358,-12.188692098092641
893.5,1.206,1.3277551469778708
893.0,0.5451,0.6046589018302829
892.5,-0.3061,-0.30282944202611795
892.0,5.0045,5.674036281179139
891.5,0.6086,0.6699691765741964
891.0,-1.8396,-2.144055944055944
890.5,0.0971,0.11930212556825164
890.0,1.4508,1.6335998198401083
889.5,1.2361,1.527558082056352
889.0,-0.7459,-0.798351707160441
888.5,1.211,1.3021505376344087
888.0,-22.564,-24.10426236513193
887.5,-0.1643,-0.19393295561850804
887.0,2.5752,2.840502978160159
886.5,-1.4868,-1.5337322054879305
886.0,-2.1339,-2.2720400340715505
885.5,14.6629,15.887853505255174
885.0,0.0838,0.09369409660107335
884.5,-7.8583,-8.479874824646595
884.0,-1.1998,-1.366514806378132
883.5,0.0879,0.0947198275862069
883.0,-0.1074,-0.118190822053483
882.5,-0.6431,-0.7211258129625476
882.0,5.0864,5.868697357793931
881.5,-0.1761,-0.18560286677908938
881.0,-1.1998,-1.3092536010475775
880.5,0.5278,0.5909090909090909
880.0,0.2559,0.28630566122174983
879.5,-1.0437,-1.1415290386087718
879.0,0.0138,0.014541622760800843
878.5,-2.0104,-2.257861635220126
878.0,0.7174,0.790610535596209
877.5,-13.7347,-14.888563685636857
877.0,0.4879,0.5338074398249453
876.5,-1.5068,-1.6924632146467482
876.0,1.8903,2.009247448979592
875.5,-1.1039,-1.1883948756593823
875.0,-1.7661,-1.9157175398633257
874.5,-0.0872,-0.09770308123249301
874.0,-0.4068,-0.4528553935210954
873.5,1.9314,2.112435743191513
873.0,-0.4741,-0.5227122381477398
872.5,10.3468,11.515637173066223
872.0,0.7295,0.8093864418062798
871.5,-0.2055,-0.23378839590443684
871.0,3.4178,3.761611270085847
870.5,-94.9152,-105.23916176959752
870.0,4.292,4.712858240913583
869.5,1.9621,2.2075832583258324
869.0,-0.17,-0.18767939942592185
868.5,-1.818,-2.0024231743584093
