lambda,transmittance,polished,trasm_error
9.000000000000001e-07,0.9166,1.0,0.004242640687119285
8.995e-07,0.9867,1.0,0.004242640687119285
8.990000000000001e-07,1.0299,1.0,0.004242640687119285
8.985000000000001e-07,0.7371,1.0,0.004242640687119285
8.98e-07,0.9883,1.0,0.004242640687119285
8.975000000000001e-07,0.7746,1.0,0.004242640687119285
8.97e-07,0.8126,1.0,0.004242640687119285
8.965e-07,0.8483,1.0,0.004242640687119285
8.960000000000001e-07,0.9693,1.0,0.004242640687119285
8.955e-07,1.03,1.0,0.004242640687119285
8.95e-07,1.0557,1.0,0.004242640687119285
8.945000000000001e-07,1.0767,1.0,0.004242640687119285
8.94e-07,0.8808,1.0,0.004242640687119285
8.935000000000001e-07,0.9083,1.0,0.004242640687119285
8.930000000000001e-07,0.9015,1.0,0.004242640687119285
8.925e-07,1.0108,1.0,0.004242640687119285
8.920000000000001e-07,0.882,1.0,0.004242640687119285
8.915000000000001e-07,0.9084,1.0,0.004242640687119285
8.91e-07,0.858,1.0,0.004242640687119285
8.905000000000001e-07,0.8139,1.0,0.004242640687119285
8.900000000000001e-07,0.8881,1.0,0.004242640687119285
8.895e-07,0.8092,1.0,0.004242640687119285
8.890000000000001e-07,0.9343,1.0,0.004242640687119285
8.885e-07,0.93,1.0,0.004242640687119285
8.88e-07,0.9361,1.0,0.004242640687119285
8.875000000000001e-07,0.8472,1.0,0.004242640687119285
8.87e-07,0.9066,1.0,0.004242640687119285
8.865e-07,0.9694,1.0,0.004242640687119285
8.860000000000001e-07,0.9392,1.0,0.004242640687119285
8.855e-07,0.9229,1.0,0.004242640687119285
8.850000000000001e-07,0.8944,1.0,0.004242640687119285
8.845000000000001e-07,0.9267,1.0,0.004242640687119285
8.84e-07,0.878,1.0,0.004242640687119285
8.835000000000001e-07,0.928,1.0,0.004242640687119285
8.830000000000001e-07,0.9087,1.0,0.004242640687119285
8.825e-07,0.8918,1.0,0.004242640687119285
8.820000000000001e-07,0.8667,1.0,0.004242640687119285
8.815e-07,0.9488,1.0,0.004242640687119285
8.81e-07,0.9164,1.0,0.004242640687119285
8.805000000000001e-07,0.8932,1.0,0.004242640687119285
8.8e-07,0.8938,1.0,0.004242640687119285
8.795e-07,0.9143,1.0,0.004242640687119285
8.790000000000001e-07,0.949,1.0,0.004242640687119285
8.785e-07,0.8904,1.0,0.004242640687119285
8.780000000000001e-07,0.9074,1.0,0.004242640687119285
8.775000000000001e-07,0.9225,1.0,0.004242640687119285
8.77e-07,0.914,1.0,0.004242640687119285
8.765000000000001e-07,0.8903,1.0,0.004242640687119285
8.760000000000001e-07,0.9408,1.0,0.004242640687119285
8.755e-07,0.9289,1.0,0.004242640687119285
8.750000000000001e-07,0.9219,1.0,0.004242640687119285
8.745000000000001e-07,0.8925,1.0,0.004242640687119285
8.74e-07,0.8983,1.0,0.004242640687119285
8.735000000000001e-07,0.9143,1.0,0.004242640687119285
8.73e-07,0.907,1.0,0.004242640687119285
8.725e-07,0.8985,1.0,0.004242640687119285
8.720000000000001e-07,0.9013,1.0,0.004242640687119285
8.715e-07,0.879,1.0,0.004242640687119285
8.71e-07,0.9086,1.0,0.004242640687119285
8.705000000000001e-07,0.9019,1.0,0.004242640687119285
8.7e-07,0.9107,1.0,0.004242640687119285
8.695000000000001e-07,0.8888,1.0,0.004242640687119285
8.690000000000001e-07,0.9058,1.0,0.004242640687119285
8.685e-07,0.9079,1.0,0.004242640687119285
8.680000000000001e-07,0.9117,1.0,0.004242640687119285
8.675000000000001e-07,0.9072,1.0,0.004242640687119285
8.67e-07,0.9078,1.0,0.004242640687119285
8.665000000000001e-07,0.8951,1.0,0.004242640687119285
8.66e-07,0.9156,1.0,0.004242640687119285
8.655e-07,0.8989,1.0,0.004242640687119285
8.650000000000001e-07,0.9115,1.0,0.004242640687119285
8.645e-07,0.9192,1.0,0.004242640687119285
8.64e-07,0.9025,1.0,0.004242640687119285
8.635000000000001e-07,0.8996,1.0,0.004242640687119285
8.63e-07,0.9089,1.0,0.004242640687119285
8.625000000000001e-07,0.9113,1.0,0.004242640687119285
8.620000000000001e-07,0.9166,1.0,0.004242640687119285
8.615e-07,0.9094,1.0,0.004242640687119285
8.610000000000001e-07,0.9071,1.0,0.004242640687119285
8.605000000000001e-07,0.9128,1.0,0.004242640687119285
8.6e-07,0.9088,1.0,0.004242640687119285
8.595000000000001e-07,0.9053,1.0,0.004242640687119285
8.590000000000001e-07,0.9073,1.0,0.004242640687119285
8.585e-07,0.9134,1.0,0.004242640687119285
8.580000000000001e-07,0.9136,1.0,0.004242640687119285
8.575e-07,0.9126,1.0,0.004242640687119285
8.57e-07,0.9108,1.0,0.004242640687119285
8.565000000000001e-07,0.9161,1.0,0.004242640687119285
8.56e-07,0.9187,1.0,0.004242640687119285
8.555e-07,0.9082,1.0,0.004242640687119285
8.550000000000001e-07,0.9156,1.0,0.004242640687119285
8.545e-07,0.913,1.0,0.004242640687119285
8.540000000000001e-07,0.9095,1.0,0.004242640687119285
8.535000000000001e-07,0.9165,1.0,0.004242640687119285
8.53e-07,0.9124,1.0,0.004242640687119285
8.525000000000001e-07,0.9126,1.0,0.004242640687119285
8.520000000000001e-07,0.9197,1.0,0.004242640687119285
8.515e-07,0.916,1.0,0.004242640687119285
8.510000000000001e-07,0.9164,1.0,0.004242640687119285
8.505e-07,0.9174,1.0,0.004242640687119285
8.5e-07,0.9174,1.0,0.004242640687119285
8.495000000000001e-07,0.9206,1.0,0.004242640687119285
8.49e-07,0.9169,1.0,0.004242640687119285
8.485e-07,0.9206,1.0,0.004242640687119285
8.480000000000001e-07,0.9194,1.0,0.004242640687119285
8.475e-07,0.9218,1.0,0.004242640687119285
8.47e-07,0.9205,1.0,0.004242640687119285
8.465000000000001e-07,0.9217,1.0,0.004242640687119285
8.46e-07,0.9194,1.0,0.004242640687119285
8.455000000000001e-07,0.9179,1.0,0.004242640687119285
8.450000000000001e-07,0.9216,1.0,0.004242640687119285
8.445e-07,0.9211,1.0,0.004242640687119285
8.440000000000001e-07,0.9227,1.0,0.004242640687119285
