lambda,transmittance,polished
900.0,0.1074,0.11717215797512547
899.5,0.2228,0.22580318232492144
899.0,0.0986,0.09573745023788717
898.5,-0.0712,-0.09659476326142993
898.0,-0.0299,-0.030253971466154002
897.5,-0.096,-0.12393493415956623
897.0,-0.1153,-0.14189022889490524
896.5,0.0125,0.014735353059059295
896.0,-0.0399,-0.0411637264004952
895.5,0.1385,0.13446601941747574
895.0,-0.0206,-0.01951311925736478
894.5,0.024,0.022290331568682084
894.0,0.1188,0.13487738419618528
893.5,0.0204,0.022459539799625675
893.0,0.0342,0.03793677204658902
892.5,-0.1006,-0.09952512861100118
892.0,-0.1939,-0.21984126984126984
891.5,-0.034,-0.037428445618670196
891.0,0.0466,0.054312354312354316
890.5,-0.0383,-0.047057378056272275
890.0,0.0556,0.06260556243666253
889.5,0.0245,0.03027681660899654
889.0,-0.0182,-0.019479824467515786
888.5,-0.0025,-0.0026881720430107525
888.0,0.0002,0.00021365238756543105
887.5,-0.057,-0.06728045325779038
887.0,0.0142,0.015662916390911098
886.5,-0.1162,-0.11986795956261605
886.0,-0.0179,-0.019058773424190798
885.5,0.0553,0.05991981796510998
885.0,-0.0522,-0.05836314847942756
884.5,-0.0197,-0.0212582281212906
884.0,-0.0136,-0.015489749430523917
883.5,0.031,0.0334051724137931
883.0,0.028,0.03081324969736987
882.5,-0.0847,-0.09497645211930926
882.0,-0.0073,-0.008422752971039576
881.5,0.0243,0.02561129848229342
881.0,0.0216,0.023570493234395463
880.5,0.0109,0.012203313927451859
880.0,-0.0213,-0.023830834638621613
879.5,0.0462,0.050530460461555286
879.0,0.0165,0.017386722866174924
878.5,0.0561,0.06300539083557952
878.0,0.0029,0.0031959444566894424
877.5,0.0486,0.05268292682926829
877.0,-0.0042,-0.004595185995623632
876.5,0.0051,0.005728406155228575
876.0,0.0089,0.009460034013605442
875.5,0.0268,0.028851329529551085
875.0,0.01,0.010847163466753443
874.5,-0.012,-0.013445378151260505
874.0,0.0057,0.0063453189357675615
873.5,-0.005,-0.005468664552116373
873.0,0.0112,0.012348401323042999
872.5,-0.0027,-0.0030050083472454095
