lambda,transmittance,polished,trasm_error
9.000000000000001e-07,0.7276,1.0,0.004242640687119285
8.995e-07,0.7953,1.0,0.004242640687119285
8.990000000000001e-07,0.7115,1.0,0.004242640687119285
8.985000000000001e-07,0.7348,1.0,0.004242640687119285
8.98e-07,0.684,1.0,0.004242640687119285
8.975000000000001e-07,0.7606,1.0,0.004242640687119285
8.97e-07,0.7296,1.0,0.004242640687119285
8.965e-07,0.7267,1.0,0.004242640687119285
8.960000000000001e-07,0.6755,1.0,0.004242640687119285
8.955e-07,0.7705,1.0,0.004242640687119285
8.95e-07,0.7262,1.0,0.004242640687119285
8.945000000000001e-07,0.7098,1.0,0.004242640687119285
8.94e-07,0.7053,1.0,0.004242640687119285
8.935000000000001e-07,0.7035,1.0,0.004242640687119285
8.930000000000001e-07,0.7508,1.0,0.004242640687119285
8.925e-07,0.726,1.0,0.004242640687119285
8.920000000000001e-07,0.703,1.0,0.004242640687119285
8.915000000000001e-07,0.7178,1.0,0.004242640687119285
8.91e-07,0.7147,1.0,0.004242640687119285
8.905000000000001e-07,0.6993,1.0,0.004242640687119285
8.900000000000001e-07,0.7293,1.0,0.004242640687119285
8.895e-07,0.7225,1.0,0.004242640687119285
8.890000000000001e-07,0.7398,1.0,0.004242640687119285
8.885e-07,0.7342,1.0,0.004242640687119285
8.88e-07,0.7287,1.0,0.004242640687119285
8.875000000000001e-07,0.7238,1.0,0.004242640687119285
8.87e-07,0.7321,1.0,0.004242640687119285
8.865e-07,0.6966,1.0,0.004242640687119285
8.860000000000001e-07,0.7288,1.0,0.004242640687119285
8.855e-07,0.7143,1.0,0.004242640687119285
8.850000000000001e-07,0.7142,1.0,0.004242640687119285
8.845000000000001e-07,0.7063,1.0,0.004242640687119285
8.84e-07,0.723,1.0,0.004242640687119285
8.835000000000001e-07,0.7056,1.0,0.004242640687119285
8.830000000000001e-07,0.7418,1.0,0.004242640687119285
8.825e-07,0.7157,1.0,0.004242640687119285
8.820000000000001e-07,0.7291,1.0,0.004242640687119285
8.815e-07,0.7124,1.0,0.004242640687119285
8.81e-07,0.7057,1.0,0.004242640687119285
8.805000000000001e-07,0.7211,1.0,0.004242640687119285
8.8e-07,0.7149,1.0,0.004242640687119285
8.795e-07,0.7169,1.0,0.004242640687119285
8.790000000000001e-07,0.7177,1.0,0.004242640687119285
8.785e-07,0.7162,1.0,0.004242640687119285
8.780000000000001e-07,0.709,1.0,0.004242640687119285
8.775000000000001e-07,0.7203,1.0,0.004242640687119285
8.77e-07,0.725,1.0,0.004242640687119285
8.765000000000001e-07,0.7163,1.0,0.004242640687119285
8.760000000000001e-07,0.7285,1.0,0.004242640687119285
8.755e-07,0.728,1.0,0.004242640687119285
8.750000000000001e-07,0.7262,1.0,0.004242640687119285
8.745000000000001e-07,0.7205,1.0,0.004242640687119285
8.74e-07,0.7192,1.0,0.004242640687119285
8.735000000000001e-07,0.7208,1.0,0.004242640687119285
8.73e-07,0.7246,1.0,0.004242640687119285
8.725e-07,0.7187,1.0,0.004242640687119285
8.720000000000001e-07,0.7231,1.0,0.004242640687119285
8.715e-07,0.7254,1.0,0.004242640687119285
8.71e-07,0.7199,1.0,0.004242640687119285
8.705000000000001e-07,0.7226,1.0,0.004242640687119285
8.7e-07,0.7288,1.0,0.004242640687119285
8.695000000000001e-07,0.7224,1.0,0.004242640687119285
8.690000000000001e-07,0.7298,1.0,0.004242640687119285
