lambda,transmittance,polished
900.0,0.008,0.010995052226498075
899.5,-0.0043,-0.005406764742864328
899.0,0.0059,0.008292340126493323
898.5,0.0053,0.007212847033206315
898.0,0.002,0.0029239766081871343
897.5,-0.0043,-0.005653431501446226
897.0,0.0045,0.006167763157894736
896.5,0.001,0.001376083665886886
896.0,0.0124,0.01835677276091784
895.5,-0.0017,-0.0022063595068137574
895.0,0.0201,0.027678325530156984
894.5,0.0326,0.04592843054381516
894.0,-0.0057,-0.008081667375584857
893.5,0.0063,0.008955223880597015
893.0,0.0001,0.00013319126265316994
892.5,0.0375,0.05165289256198347
892.0,0.0181,0.02574679943100996
891.5,0.0057,0.007940930621342993
891.0,0.0155,0.021687421295648525
890.5,0.009,0.01287001287001287
890.0,0.0173,0.023721376662553133
889.5,0.008,0.011072664359861591
889.0,0.0092,0.012435793457691267
888.5,0.0107,0.014573685644238627
888.0,0.006,0.008233841086867023
887.5,0.0167,0.02307267200884222
887.0,0.0153,0.020898784319082094
886.5,0.0108,0.01550387596899225
886.0,0.0079,0.010839736553238201
885.5,0.0106,0.01483970320593588
885.0,0.0102,0.014281713805656682
884.5,0.0072,0.010193968568596912
884.0,0.0129,0.01784232365145228
883.5,0.0036,0.00510204081632653
883.0,0.009,0.012132650310056618
882.5,0.0042,0.005868380606399329
882.0,0.0118,0.016184336853655192
881.5,0.0077,0.010808534531162269
881.0,0.0062,0.008785602947428086
880.5,0.0102,0.014145056164193594
880.0,0.0087,0.012169534200587494
879.5,0.0099,0.013809457385967361
879.0,0.0088,0.012261390553155916
878.5,0.01,0.013962580284836639
878.0,0.0096,0.013540197461212976
877.5,0.0137,0.01901985283909482
877.0,0.008,0.01103448275862069
876.5,0.0081,0.011308111126622921
876.0,0.0102,0.014001372683596431
875.5,0.0128,0.017582417582417582
875.0,0.0111,0.015285045442026992
874.5,0.0097,0.013462873004857738
874.0,0.011,0.015294771968854282
873.5,0.0082,0.01137624861265261
873.0,0.0087,0.012006624344465911
872.5,0.0086,0.011966049812160847
872.0,0.0104,0.014382519706817868
871.5,0.0101,0.01392335263303005
871.0,0.0089,0.012362828170579248
870.5,0.0097,0.01342374757818987
870.0,0.0102,0.013995609220636664
869.5,0.0092,0.01273532668881506
869.0,0.0087,0.011921074266922444
868.5,0.0093,0.012896962973235334
868.0,0.0104,0.014271991217236173
867.5,0.0108,0.014943960149439602
867.0,0.0092,0.01265474552957359
866.5,0.0109,0.014968415270530075
866.0,0.0087,0.012024879060124394
865.5,0.0107,0.014705882352941175
865.0,0.0101,0.0139753701397537
864.5,0.0086,0.011891592920353983
864.0,0.01,0.0135666802333469
863.5,0.0095,0.013027975863960504
863.0,0.0095,0.01304407524371825
862.5,0.0094,0.012944092536491326
862.0,0.0099,0.013632608096942993
861.5,0.0097,0.013357201872762325
861.0,0.0098,0.013480055020632738
860.5,0.0099,0.01355978633063964
860.0,0.0106,0.014488791689447784
859.5,0.01,0.013723068478111706
859.0,0.01,0.013636983499249968
858.5,0.01,0.01365560562610952
858.0,0.0106,0.014508623049548317
857.5,0.0097,0.013233287858117327
857.0,0.0098,0.013422818791946308
856.5,0.0099,0.013541239228559706
856.0,0.0097,0.013256799234659014
855.5,0.0101,0.01379027853631895
855.0,0.0099,0.01354309165526676
854.5,0.0099,0.01348406428766004
854.0,0.0098,0.013331519521153584
853.5,0.0098,0.013307984790874524
853.0,0.01,0.013610997686130393
852.5,0.0099,0.013467555434634746
852.0,0.0102,0.013847407005158838
851.5,0.0098,0.013393467268006012
851.0,0.01,0.013614703880190605
850.5,0.0098,0.013327893376852985
850.0,0.0098,0.013320647002854423
849.5,0.0099,0.013434658705387435
849.0,0.01,0.013577732518669382
848.5,0.0102,0.013877551020408165
848.0,0.0101,0.013702347035680369
847.5,0.01,0.013579576317218902
847.0,0.01,0.013579576317218902
846.5,0.0104,0.01414388684890521
846.0,0.0096,0.013057671381936888
845.5,0.0101,0.013691202385793681
845.0,0.01,0.01352813852813853
844.5,0.0102,0.013832384052074858
844.0,0.01,0.013551971811898631
843.5,0.0101,0.013661571757067496
843.0,0.01,0.013557483731019523
842.5,0.0102,0.013808041153377556
842.0,0.0103,0.013964208242950108
841.5,0.0102,0.013858695652173915
841.0,0.0101,0.013667117726657645
840.5,0.0103,0.013964208242950108
840.0,0.0102,0.013809910641754672
839.5,0.0102,0.013856812933025405
839.0,0.0103,0.013967995660428532
838.5,0.0101,0.013707926167209554
838.0,0.0101,0.013693058568329718
837.5,0.0102,0.013821138211382115
837.0,0.0103,0.013949079089924162
836.5,0.0101,0.013706065951960916
836.0,0.0102,0.013873775843307946
835.5,0.0102,0.013870002719608376
835.0,0.0103,0.013973680640347307
834.5,0.0102,0.013885107541519195
834.0,0.0103,0.014004078857919782
833.5,0.0103,0.014000271849938833
833.0,0.0101,0.013747107662991696
832.5,0.0103,0.013979370249728555
832.0,0.0102,0.013864346880521952
831.5,0.0103,0.013998369122044033
831.0,0.0102,0.013900245298446443
830.5,0.0101,0.013734022300788684
830.0,0.0101,0.01375085091899251
829.5,0.0102,0.013860578883000409
829.0,0.0101,0.013765844350551996
828.5,0.0102,0.013873775843307946
828.0,0.0103,0.014023144996596324
827.5,0.0103,0.014049924976128768
827.0,0.0102,0.013888888888888888
826.5,0.0102,0.013892672296377011
826.0,0.0103,0.014053759039432392
825.5,0.0102,0.013917314776913632
825.0,0.0103,0.014059514059514059
824.5,0.0104,0.014168937329700272
824.0,0.0103,0.014057595195850961
823.5,0.0103,0.014046093004227466
823.0,0.0103,0.014015512314600626
822.5,0.0104,0.014167007219724833
822.0,0.0103,0.014023144996596324
821.5,0.0105,0.01429349305744623
821.0,0.0104,0.014180529042814288
820.5,0.0104,0.014190203301951152
820.0,0.0104,0.014205709602513317
819.5,0.0106,0.014465065502183407
819.0,0.0103,0.014046093004227466
818.5,0.0105,0.01431688028361058
818.0,0.0105,0.014320785597381343
817.5,0.0105,0.01436192039392696
817.0,0.0105,0.014328602620087337
816.5,0.0105,0.014326647564469915
816.0,0.0104,0.014190203301951152
815.5,0.0105,0.01431297709923664
815.0,0.0106,0.014451261077027948
814.5,0.0105,0.014320785597381343
814.0,0.0106,0.014472965592572364
813.5,0.0106,0.014469014469014468
813.0,0.0106,0.01447098976109215
812.5,0.0106,0.014449291166848418
812.0,0.0106,0.014451261077027948
811.5,0.0106,0.014461118690313779
811.0,0.0106,0.01447691887462442
810.5,0.0107,0.014595553130541535
810.0,0.0106,0.014463091826988675
809.5,0.0107,0.014595553130541535
809.0,0.0108,0.014721919302071973
808.5,0.0106,0.014439449666258004
808.0,0.0108,0.014727942179189966
807.5,0.0108,0.014715901348957625
807.0,0.0107,0.014595553130541535
806.5,0.0107,0.014559804054973466
806.0,0.0108,0.01474805407619828
805.5,0.0108,0.014709888313810952
805.0,0.0108,0.014717906786590353
804.5,0.0109,0.014846090983383275
804.0,0.0108,0.014711892112791175
803.5,0.0108,0.014705882352941176
803.0,0.0109,0.014866339334424442
802.5,0.0109,0.014838007078682276
802.0,0.0109,0.01485823336968375
801.5,0.011,0.014976174268209665
801.0,0.0109,0.014850136239782017
800.5,0.0111,0.015108207431604737
800.0,0.011,0.014974135583991285
799.5,0.0109,0.014821865651346204
799.0,0.011,0.014957846070165894
798.5,0.011,0.01497005988023952
798.0,0.0111,0.015108207431604737
797.5,0.0112,0.015229806907805274
797.0,0.011,0.014996591683708246
796.5,0.0111,0.015087671605273889
796.0,0.0111,0.015093826488985586
795.5,0.0111,0.015097932535364528
795.0,0.0112,0.015207060420909708
794.5,0.0113,0.015386710239651415
794.0,0.0111,0.015089722675367047
793.5,0.0112,0.01522773623385452
793.0,0.0112,0.01522359657469077
792.5,0.0113,0.015355347193912216
792.0,0.0113,0.015338672458259806
791.5,0.0114,0.01548913043478261
791.0,0.0114,0.015495446513524535
790.5,0.0114,0.015510204081632653
790.0,0.0114,0.015484922575387125
789.5,0.0114,0.015484922575387125
789.0,0.0115,0.015605916677975302
788.5,0.0115,0.015625
788.0,0.0115,0.015642002176278563
787.5,0.0116,0.015754447915251935
787.0,0.0115,0.015622877326450211
786.5,0.0115,0.015612272603855552
786.0,0.0117,0.015898899306971057
785.5,0.0115,0.015599565925122084
785.0,0.0116,0.015735214324470972
784.5,0.0117,0.015845070422535214
784.0,0.0115,0.015608034744842562
783.5,0.0116,0.01574589385095697
783.0,0.0118,0.016026076327583866
782.5,0.0116,0.015737349070682402
782.0,0.0116,0.015758728433636734
781.5,0.0118,0.015997830802603037
781.0,0.0116,0.015726681127982645
780.5,0.0119,0.016137781394087333
780.0,0.0117,0.015873015873015876
779.5,0.0118,0.016008682675349342
779.0,0.0119,0.016129032258064516
778.5,0.0118,0.015965363279664458
778.0,0.0119,0.016153115243654134
777.5,0.0121,0.016391221891086428
777.0,0.0118,0.016008682675349342
776.5,0.012,0.016275600162756004
776.0,0.0121,0.01638456330399458
775.5,0.012,0.01627339300244101
775.0,0.012,0.016227180527383367
774.5,0.0121,0.01642013841769575
774.0,0.0121,0.016371262346096604
773.5,0.0124,0.0168135593220339
773.0,0.0121,0.016373477672530445
772.5,0.0121,0.016373477672530445
772.0,0.0123,0.016650873155543523
771.5,0.0121,0.016411230164112302
771.0,0.0123,0.016657638136511378
770.5,0.0123,0.01663286004056795
770.0,0.0122,0.016522210184182016
769.5,0.0124,0.016761286834279535
769.0,0.0124,0.016779431664411367
768.5,0.0124,0.016761286834279535
768.0,0.0125,0.016903313049357674
767.5,0.0123,0.01663961038961039
767.0,0.0126,0.017043148924658462
766.5,0.0126,0.017056992012995802
766.0,0.0125,0.016885046602728625
765.5,0.0126,0.017029328287606435
765.0,0.0126,0.01705468327016784
764.5,0.0126,0.017043148924658462
764.0,0.0128,0.0173043125591456
763.5,0.0126,0.0170316301703163
763.0,0.0128,0.01730197350635307
762.5,0.0128,0.017306652244456464
762.0,0.0128,0.01729963508582241
761.5,0.013,0.017586580086580088
761.0,0.0128,0.01726463447531697
760.5,0.013,0.0175651938927172
760.0,0.0129,0.01742772223723318
759.5,0.013,0.01756044846683777
759.0,0.013,0.017534394388993797
758.5,0.013,0.017598483822932175
758.0,0.0132,0.01783060921248143
757.5,0.0131,0.01770509528314637
757.0,0.0131,0.017662127544829445
756.5,0.0134,0.01810810810810811
756.0,0.0132,0.017813765182186234
755.5,0.0132,0.017828200972447326
755.0,0.0133,0.01794629604641749
754.5,0.0132,0.017808958445763627
754.0,0.0134,0.0181056613971085
753.5,0.0134,0.018083670715249665
753.0,0.0134,0.018047138047138048
752.5,0.0136,0.018333782690752223
752.0,0.0134,0.018059299191374664
751.5,0.0136,0.018316498316498314
751.0,0.0136,0.018328840970350403
750.5,0.0136,0.01831896551724138
750.0,0.0138,0.018593371059013743
749.5,0.0136,0.01830910070005385
749.0,0.0138,0.0185808536421166
748.5,0.0138,0.018590866226593023
748.0,0.0137,0.018438761776581426
747.5,0.014,0.018827326519634213
747.0,0.0139,0.018718017775383785
746.5,0.014,0.01885014137606032
746.0,0.014,0.018867924528301886
745.5,0.0139,0.01869033212316794
745.0,0.0141,0.01897201291711518
744.5,0.0141,0.018984785243032178
744.0,0.014,0.01886029907045669
743.5,0.0142,0.01911170928667564
743.0,0.014,0.018819733835192903
742.5,0.0145,0.0194840096748186
742.0,0.0142,0.0191014258810869
741.5,0.0143,0.019192054757750637
741.0,0.0144,0.019347037484885126
740.5,0.0143,0.019197207678883072
740.0,0.0145,0.019491867186449793
739.5,0.0146,0.019605210151738956
739.0,0.0144,0.019341840161182
738.5,0.0146,0.01959468527714401
738.0,0.0145,0.019463087248322148
737.5,0.0146,0.019573669392679984
737.0,0.0147,0.019734192509061617
736.5,0.0146,0.019560557341907824
736.0,0.0148,0.019828510182207933
735.5,0.0147,0.01968398500267809
735.0,0.0149,0.019949123041906547
734.5,0.0149,0.019935777361519937
734.0,0.0149,0.019946452476572958
733.5,0.0151,0.020160213618157546
733.0,0.0148,0.019809931736046046
732.5,0.0152,0.020293724966622163
732.0,0.015,0.020053475935828877
731.5,0.0152,0.020266666666666665
731.0,0.0154,0.020547031354236158
730.5,0.0154,0.020511454448588172
730.0,0.0155,0.020625415834996674
729.5,0.0153,0.020337631264123354
729.0,0.0156,0.020725388601036267
728.5,0.0156,0.020697890407323866
728.0,0.0155,0.020551577830814106
727.5,0.0158,0.020882897171556968
727.0,0.0157,0.020775439989413787
726.5,0.0161,0.021296296296296296
726.0,0.0158,0.020833333333333336
725.5,0.0161,0.02121771217712177
725.0,0.016,0.02101668199133062
724.5,0.0162,0.021290576948350636
724.0,0.0162,0.0212347620920173
723.5,0.0162,0.02118754904525242
723.0,0.0165,0.021517996870109544
722.5,0.0163,0.021215670961863855
722.0,0.0166,0.021491455204557225
721.5,0.0167,0.021654564315352696
721.0,0.0168,0.02167462262933815
720.5,0.0169,0.021719573319624725
720.0,0.0168,0.021568879188599305
719.5,0.0173,0.022131252398618396
719.0,0.017,0.021730793813115174
718.5,0.0173,0.02202699261522791
718.0,0.0171,0.021725320797865582
717.5,0.0171,0.02175295763897723
717.0,0.0175,0.022208121827411168
716.5,0.0173,0.021982210927573062
716.0,0.0176,0.022474779721619206
715.5,0.0174,0.022264875239923224
715.0,0.0175,0.022427271562219662
714.5,0.0174,0.022313413695819437
714.0,0.0175,0.02256899664689193
713.5,0.0175,0.022633212622866012
713.0,0.0173,0.022476289463427307
712.5,0.0177,0.023079932194549485
712.0,0.0173,0.022608468374281234
711.5,0.0176,0.023033634341054838
711.0,0.0174,0.022903777807029086
710.5,0.0177,0.023335530652603825
710.0,0.0174,0.02302500992457324
709.5,0.0176,0.023261961406291304
709.0,0.0175,0.023246546227417644
708.5,0.0177,0.023518469306404464
708.0,0.0178,0.023708044752264252
707.5,0.0177,0.023556028746340166
707.0,0.0178,0.02375550513812892
706.5,0.0178,0.0237396639103761
706.0,0.0179,0.02389215162840363
705.5,0.018,0.02397762088717197
705.0,0.018,0.024060954417858573
704.5,0.0181,0.024133333333333336
704.0,0.018,0.02398720682302772
703.5,0.0184,0.024552975713904458
703.0,0.0182,0.024260197280725142
702.5,0.0184,0.024523523923763828
