lambda,transmittance,polished
900.0,0.5384,0.49326614750343567
899.5,0.5309,0.5430091029968294
899.0,0.5045,0.5152165032679739
898.5,0.492,0.4911159912158115
898.0,0.7139,0.7311552642359688
897.5,0.6062,0.5687212684116708
897.0,0.4989,0.4862099210603255
896.5,0.6035,0.5951676528599605
896.0,0.5449,0.5336924583741431
895.5,0.5101,0.5184996950599715
895.0,0.6282,0.6778892845581094
894.5,0.5817,0.5929663608562691
894.0,0.5979,0.6069434575170034
893.5,0.6053,0.5997225800059446
893.0,0.5573,0.5707701761573125
892.5,0.6241,0.6650682011935208
892.0,0.6004,0.6526796390912056
891.5,0.522,0.5546111347216319
891.0,0.5218,0.5440517151496195
890.5,0.631,0.6395702412325157
890.0,0.5708,0.5826868109432422
889.5,0.5908,0.6042135406013499
889.0,0.5903,0.6006919711000306
888.5,0.611,0.6119791666666666
888.0,0.5407,0.5578252347054575
887.5,0.5917,0.5810664833546106
887.0,0.5689,0.5549702468051898
886.5,0.6171,0.5907524411257897
886.0,0.5111,0.522223357515071
885.5,0.5523,0.5668685209894283
885.0,0.5547,0.5661937327753394
884.5,0.5703,0.5846232701178883
884.0,0.5446,0.5384083044982698
883.5,0.5691,0.5700120192307693
883.0,0.5749,0.5804725363489499
882.5,0.5838,0.5895778630579681
882.0,0.5803,0.5467307329941588
881.5,0.5512,0.5368134008570317
881.0,0.5589,0.5391144979261117
880.5,0.5713,0.5592208300704776
880.0,0.5566,0.5567113422684536
879.5,0.5513,0.5379586260733802
879.0,0.5638,0.5646469704556835
878.5,0.5648,0.5781553894973896
878.0,0.5673,0.5559039686428222
877.5,0.5507,0.5585759204787504
877.0,0.5725,0.583826228839486
876.5,0.5664,0.562854019676041
876.0,0.5799,0.5733069698467622
875.5,0.5703,0.575944253686124
875.0,0.5632,0.5661439485323684
874.5,0.5693,0.5720458199356914
874.0,0.5525,0.5624554616715871
873.5,0.5372,0.535806902054658
873.0,0.5643,0.5645258103241296
872.5,0.5803,0.5913584021196373
872.0,0.5651,0.5638032525192059
871.5,0.5648,0.5571668146394396
871.0,0.5597,0.5589175154783302
870.5,0.5623,0.5577266415393771
870.0,0.5634,0.5544729849424269
869.5,0.5678,0.5597397476340694
869.0,0.5642,0.5711104362789756
868.5,0.554,0.5567279670384887
868.0,0.5498,0.5445721077654516
867.5,0.5622,0.5606302353410452
867.0,0.5612,0.5597446638739279
866.5,0.5543,0.5581512435807069
866.0,0.5669,0.5617320650019817
865.5,0.5693,0.5674840510366826
865.0,0.5583,0.5574638042935597
864.5,0.5673,0.5639165009940358
864.0,0.553,0.5540527001302475
863.5,0.5629,0.5568856351404828
863.0,0.5578,0.5528245787908821
862.5,0.5599,0.5584480351087173
