Data	M5
Recipe	AU1404
Site Name	
Points	1998
X-Resolution	0.500751
X-Coord	-6380.17
Y-Coord	7982.47
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	  -9725.12	         0	   274.395	   274.395	   274.395
2	  -9712.47	   12.6523	   286.532	   286.532	   286.532
3	  -9680.45	   44.6738	   298.841	   298.841	   298.841
4	  -9666.46	   58.6621	    310.37	    310.37	    310.37
5	  -9643.51	   81.6133	   320.684	   320.684	   320.684
6	  -9634.61	   90.5117	   329.934	   329.934	   329.934
7	     -9603	   122.122	   337.188	   337.188	   337.188
8	  -9595.26	   129.862	   340.904	   340.904	   340.904
9	  -9600.17	   124.949	   341.344	   341.344	   341.344
10	   -9574.9	   150.225	   339.081	   339.081	   339.081
11	  -9577.45	   147.675	    333.22	    333.22	    333.22
12	  -9588.68	   136.439	    323.98	    323.98	    323.98
13	  -9585.12	   140.004	   312.127	   312.127	   312.127
14	  -9578.42	   146.699	   295.904	   295.904	   295.904
15	  -9607.43	   117.694	   274.331	   274.331	   274.331
16	   -9633.1	   92.0273	   251.585	   251.585	   251.585
17	   -9642.5	   82.6221	   232.707	   232.707	   232.707
18	  -9632.98	   92.1465	   216.965	   216.965	   216.965
19	  -9634.53	   90.5928	   200.643	   200.643	   200.643
20	  -9676.39	   48.7354	   186.293	   186.293	   186.293
21	  -9671.98	   53.1396	   183.074	   183.074	   183.074
22	  -9641.64	   83.4805	   196.392	   196.392	   196.392
23	  -9594.09	   131.032	    222.56	    222.56	    222.56
24	  -9547.03	   178.093	   253.063	   253.063	   253.063
25	  -9509.64	   215.482	   279.932	   279.932	   279.932
26	   -9470.3	   254.824	   298.613	   298.613	   298.613
27	  -9476.77	   248.353	   310.204	   310.204	   310.204
28	  -9461.41	   263.713	   319.198	   319.198	   319.198
29	   -9419.2	   305.926	   325.834	   325.834	   325.834
30	  -9415.83	   309.292	   326.484	   326.484	   326.484
31	  -9432.19	   292.938	   323.204	   323.204	   323.204
32	  -9436.35	   288.778	   324.297	   324.297	   324.297
33	  -9399.27	   325.854	   332.355	   332.355	   332.355
34	  -9349.97	   375.152	   338.004	   338.004	   338.004
35	  -9360.46	   364.669	   331.186	   331.186	   331.186
36	  -9407.48	    317.64	   314.295	   314.295	   314.295
37	  -9404.84	   320.286	   296.139	   296.139	   296.139
38	  -9390.75	   334.373	   278.768	   278.768	   278.768
39	  -9420.38	    304.74	   260.676	   260.676	   260.676
40	  -9443.95	   281.177	    246.46	    246.46	    246.46
41	  -9434.02	   291.102	   243.441	   243.441	   243.441
42	  -9406.63	   318.492	   252.913	   252.913	   252.913
43	  -9372.92	   352.204	   269.521	   269.521	   269.521
44	  -9342.42	   382.702	   285.992	   285.992	   285.992
45	  -9319.02	   406.108	    296.88	    296.88	    296.88
46	  -9307.95	   417.179	   301.643	   301.643	   301.643
47	  -9324.23	   400.891	   306.333	   306.333	   306.333
48	  -9301.74	   423.387	   317.301	   317.301	   317.301
49	  -9236.92	   488.201	   330.641	   330.641	   330.641
50	  -9226.65	   498.473	   334.922	   334.922	   334.922
51	  -9243.96	   481.159	   324.973	   324.973	   324.973
52	  -9263.47	   461.657	    305.31	    305.31	    305.31
53	  -9275.64	   449.486	   281.935	   281.935	   281.935
54	  -9290.21	   434.913	   257.362	   257.362	   257.362
55	  -9311.88	   413.249	   232.643	   232.643	   232.643
56	  -9326.81	   398.311	   209.739	   209.739	   209.739
57	  -9346.02	   379.108	   190.155	   190.155	   190.155
58	   -9331.4	   393.726	   172.356	   172.356	   172.356
59	  -9350.33	   374.789	   154.255	   154.255	   154.255
60	  -9382.85	   342.271	   138.475	   138.475	   138.475
61	  -9363.69	   361.431	    129.38	    129.38	    129.38
62	   -9354.5	   370.628	    127.97	    127.97	    127.97
63	  -9357.86	   367.268	   135.809	   135.809	   135.809
64	  -9332.23	   392.894	    156.77	    156.77	    156.77
65	  -9267.99	   457.139	    189.05	    189.05	    189.05
66	  -9202.22	     522.9	   221.686	   221.686	   221.686
67	  -9180.22	   544.908	   243.552	   243.552	   243.552
68	  -9172.21	   552.912	    251.92	    251.92	    251.92
69	   -9166.6	    558.52	   250.058	   250.058	   250.058
70	  -9165.85	    559.27	   241.212	   241.212	   241.212
71	   -9176.4	   548.726	   226.955	   226.955	   226.955
72	  -9186.81	   538.313	   206.781	   206.781	   206.781
73	  -9184.28	   540.846	   177.806	   177.806	   177.806
74	  -9236.64	   488.481	   140.704	   140.704	   140.704
75	  -9298.38	   426.739	   105.996	   105.996	   105.996
76	   -9301.5	   423.619	   86.1723	   86.1723	   86.1723
77	  -9273.03	   452.099	   82.4483	   82.4483	   82.4483
78	  -9255.24	   469.889	   85.3353	   85.3353	   85.3353
79	  -9238.15	    486.97	   85.3952	   85.3952	   85.3952
80	  -9245.58	   479.545	   81.3498	   81.3498	   81.3498
81	   -9267.8	   457.323	   80.8094	   80.8094	   80.8094
82	  -9233.61	   491.516	   92.0944	   92.0944	   92.0944
83	  -9188.76	   536.366	   115.811	   115.811	   115.811
84	  -9155.53	   569.598	   146.649	   146.649	   146.649
85	  -9099.94	   625.185	   177.744	   177.744	   177.744
86	  -9054.27	   670.857	   201.238	   201.238	   201.238
87	  -9044.79	   680.329	   211.271	   211.271	   211.271
88	  -9040.24	   684.885	   208.173	   208.173	   208.173
89	     -9059	    666.12	   198.247	   198.247	   198.247
90	  -9071.78	   653.341	   188.479	   188.479	   188.479
91	  -9038.66	   686.469	   178.957	   178.957	   178.957
92	  -9043.18	   681.944	    163.92	    163.92	    163.92
93	  -9086.76	   638.362	    142.53	    142.53	    142.53
94	  -9098.12	   627.006	   120.496	   120.496	   120.496
95	  -9090.73	   634.392	   101.492	   101.492	   101.492
96	  -9115.89	   609.236	   87.2284	   87.2284	   87.2284
97	  -9128.98	   596.146	   82.8354	   82.8354	   82.8354
98	   -9091.4	   633.726	   92.8434	   92.8434	   92.8434
99	  -9059.53	   665.596	   115.347	   115.347	   115.347
100	  -9015.57	   709.559	    143.86	    143.86	    143.86
101	  -8960.43	   764.697	   171.597	   171.597	   171.597
102	  -8952.12	   773.007	   195.477	   195.477	   195.477
103	  -8917.79	   807.332	   216.639	   216.639	   216.639
104	   -8875.4	    849.72	   236.002	   236.002	   236.002
105	  -8872.26	   852.859	   253.194	   253.194	   253.194
106	  -8833.37	   891.752	   266.494	   266.494	   266.494
107	  -8799.01	   926.111	   270.366	   270.366	   270.366
108	  -8817.79	   907.335	   260.233	   260.233	   260.233
109	   -8848.2	   876.928	    238.98	    238.98	    238.98
110	  -8857.23	   867.895	   211.932	   211.932	   211.932
111	  -8868.53	   856.598	   179.981	   179.981	   179.981
112	  -8916.88	   808.244	   143.062	   143.062	   143.062
113	  -8948.76	    776.36	   104.274	   104.274	   104.274
114	  -8969.93	   755.198	   66.6423	   66.6423	   66.6423
115	  -9003.29	   721.836	   31.8833	   31.8833	   31.8833
116	   -9030.5	   694.622	   4.61557	   4.61557	   4.61557
117	  -9056.34	   668.785	  -6.86292	  -6.86292	  -6.86292
118	  -9022.75	   702.369	    2.6877	    2.6877	    2.6877
119	  -8967.58	   757.544	   29.6459	   29.6459	   29.6459
