Data	M7
Recipe	AU1404
Site Name	
Points	1998
X-Resolution	0.500751
X-Coord	-5576.86
Y-Coord	-5238.77
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	    -11191	         0	   185.998	   185.998	   185.998
2	  -11192.1	  -1.08691	   181.024	   181.024	   181.024
3	  -11211.3	  -20.3096	   175.853	   175.853	   175.853
4	  -11213.9	  -22.9219	   172.286	   172.286	   172.286
5	  -11200.3	  -9.34863	   169.543	   169.543	   169.543
6	  -11215.4	   -24.377	   165.312	   165.312	   165.312
7	    -11226	  -34.9961	   159.596	   159.596	   159.596
8	  -11225.2	   -34.168	   153.685	   153.685	   153.685
9	    -11235	  -44.0527	   148.033	   148.033	   148.033
10	  -11244.1	  -53.1641	   143.035	   143.035	   143.035
11	  -11241.9	  -50.8975	   139.209	   139.209	   139.209
12	  -11250.1	   -59.085	   137.049	   137.049	   137.049
13	  -11254.9	  -63.8838	   137.355	   137.355	   137.355
14	  -11239.7	   -48.749	   139.991	   139.991	   139.991
15	  -11242.8	  -51.7832	   143.881	   143.881	   143.881
16	  -11243.3	  -52.2939	   148.955	   148.955	   148.955
17	  -11226.5	  -35.5205	   155.357	   155.357	   155.357
18	  -11226.1	  -35.1211	   162.023	   162.023	   162.023
19	  -11216.6	  -25.5977	   167.466	   167.466	   167.466
20	  -11210.8	  -19.7891	   170.562	   170.562	   170.562
21	  -11218.3	  -27.3291	   171.427	   171.427	   171.427
22	  -11219.9	  -28.8682	   171.188	   171.188	   171.188
23	  -11212.3	  -21.3633	   169.609	   169.609	   169.609
24	  -11218.4	  -27.4395	   165.074	   165.074	   165.074
25	  -11235.4	  -44.4326	   157.259	   157.259	   157.259
26	  -11237.8	  -46.8311	   147.206	   147.206	   147.206
27	  -11255.2	  -64.1982	   136.051	   136.051	   136.051
28	  -11271.5	  -80.5527	   125.573	   125.573	   125.573
29	    -11276	  -85.0283	   117.876	   117.876	   117.876
30	  -11283.5	  -92.5557	   114.283	   114.283	   114.283
31	  -11284.6	  -93.6221	   115.047	   115.047	   115.047
32	  -11270.7	  -79.7539	    118.66	    118.66	    118.66
33	    -11267	  -76.0029	   122.655	   122.655	   122.655
34	    -11274	  -83.0273	   126.378	   126.378	   126.378
35	  -11261.4	  -70.4668	   131.055	   131.055	   131.055
36	  -11262.5	  -71.5264	   137.735	   137.735	   137.735
37	  -11252.5	  -61.5459	   146.161	   146.161	   146.161
38	  -11230.7	  -39.7266	   154.048	   154.048	   154.048
39	  -11235.8	  -44.7783	   158.715	   158.715	   158.715
40	  -11237.1	  -46.1211	   159.455	   159.455	   159.455
41	  -11231.4	  -40.3906	   156.208	   156.208	   156.208
42	  -11246.7	  -55.6982	   148.547	   148.547	   148.547
43	  -11260.2	  -69.1846	   136.963	   136.963	   136.963
44	    -11270	  -79.0625	   123.063	   123.063	   123.063
45	  -11298.9	  -107.941	   109.619	   109.619	   109.619
46	  -11308.2	  -117.194	   99.5591	   99.5591	   99.5591
47	  -11301.8	  -110.862	   92.9243	   92.9243	   92.9243
48	  -11312.1	  -121.111	     87.98	     87.98	     87.98
49	  -11326.9	  -135.881	   85.4468	   85.4468	   85.4468
50	  -11320.2	  -129.212	   86.9932	   86.9932	   86.9932
51	  -11300.9	  -109.902	   91.0788	   91.0788	   91.0788
52	  -11310.5	  -119.546	   95.1646	   95.1646	   95.1646
53	  -11307.9	  -116.899	   99.5347	   99.5347	   99.5347
54	    -11297	  -105.976	   105.304	   105.304	   105.304
55	  -11292.5	   -101.52	   111.934	   111.934	   111.934
56	  -11282.2	  -91.1758	   118.443	   118.443	   118.443
57	    -11285	  -93.9941	   124.722	   124.722	   124.722
58	  -11271.9	  -80.9287	   130.267	   130.267	   130.267
59	  -11261.9	  -70.9375	   132.788	   132.788	   132.788
60	  -11271.6	  -80.6416	   130.709	   130.709	   130.709
61	  -11286.9	  -95.8691	   125.832	   125.832	   125.832
62	  -11285.1	  -94.1143	   120.721	   120.721	   120.721
63	  -11288.1	  -97.1533	   115.609	   115.609	   115.609
64	  -11300.9	  -109.918	   109.783	   109.783	   109.783
65	  -11301.2	  -110.222	   103.404	   103.404	   103.404
66	  -11316.4	  -125.379	   97.3194	   97.3194	   97.3194
67	    -11318	  -127.014	   92.3681	   92.3681	   92.3681
68	  -11320.9	  -129.903	   88.4721	   88.4721	   88.4721
69	  -11323.3	  -132.271	   85.2738	   85.2738	   85.2738
70	  -11334.8	    -143.8	   83.7883	   83.7883	   83.7883
71	  -11331.9	  -140.939	    85.296	    85.296	    85.296
72	  -11311.8	  -120.847	   89.1851	   89.1851	   89.1851
73	  -11331.2	   -140.18	   94.8797	   94.8797	   94.8797
74	  -11309.9	  -118.898	   103.138	   103.138	   103.138
75	    -11296	  -105.009	   112.949	   112.949	   112.949
76	  -11290.6	  -99.6006	   121.261	   121.261	   121.261
77	  -11278.2	   -87.168	   125.647	   125.647	   125.647
78	  -11289.2	  -98.2168	   125.612	   125.612	   125.612
79	  -11289.6	  -98.5791	   122.299	   122.299	   122.299
80	  -11299.1	  -108.144	   116.732	   116.732	   116.732
81	  -11298.7	  -107.744	   109.064	   109.064	   109.064
82	  -11321.5	  -130.503	   100.155	   100.155	   100.155
83	  -11329.8	  -138.768	   91.9376	   91.9376	   91.9376
84	  -11326.1	  -135.104	   85.1071	   85.1071	   85.1071
85	  -11344.5	  -153.503	   79.1099	   79.1099	   79.1099
86	  -11342.9	  -151.896	   73.9992	   73.9992	   73.9992
87	  -11349.9	  -158.943	   70.4144	   70.4144	   70.4144
88	  -11356.5	  -165.517	   69.2631	   69.2631	   69.2631
89	  -11350.2	  -159.218	   70.7454	   70.7454	   70.7454
90	  -11341.5	   -150.47	   73.2908	   73.2908	   73.2908
91	  -11345.9	  -154.964	   75.4723	   75.4723	   75.4723
92	  -11347.2	  -156.186	   78.0227	   78.0227	   78.0227
93	  -11340.7	  -149.668	   82.2071	   82.2071	   82.2071
94	  -11334.4	  -143.416	   87.5847	   87.5847	   87.5847
95	  -11323.9	  -132.938	    92.664	    92.664	    92.664
96	  -11329.2	  -138.258	   97.2478	   97.2478	   97.2478
97	  -11326.7	  -135.761	   102.293	   102.293	   102.293
98	  -11307.3	  -116.317	   106.586	   106.586	   106.586
99	  -11305.7	  -114.707	   107.322	   107.322	   107.322
100	  -11330.3	  -139.282	    105.34	    105.34	    105.34
101	  -11326.5	  -135.562	   104.295	   104.295	   104.295
102	    -11311	  -120.055	   104.281	   104.281	   104.281
103	  -11321.5	   -130.48	   102.073	   102.073	   102.073
104	  -11327.8	  -136.822	   96.1074	   96.1074	   96.1074
105	  -11335.4	  -144.369	   87.4733	   87.4733	   87.4733
106	  -11356.1	  -165.092	    78.881	    78.881	    78.881
107	  -11361.4	  -170.462	   73.2936	   73.2936	   73.2936
108	  -11355.5	  -164.559	    71.388	    71.388	    71.388
109	  -11359.1	  -168.109	   71.3265	   71.3265	   71.3265
110	  -11355.4	  -164.426	   70.6156	   70.6156	   70.6156
111	  -11353.7	  -162.742	   67.3574	   67.3574	   67.3574
112	  -11372.7	  -181.728	   62.0273	   62.0273	   62.0273
113	  -11379.3	  -188.278	   57.9305	   57.9305	   57.9305
114	  -11376.7	  -185.753	   58.5649	   58.5649	   58.5649
115	  -11379.1	  -188.091	   65.4706	   65.4706	   65.4706
116	  -11352.2	  -161.263	   77.0393	   77.0393	   77.0393
117	  -11334.3	  -143.303	   88.7132	   88.7132	   88.7132
118	  -11334.5	  -143.471	   96.8709	   96.8709	   96.8709
