Data	M2
Recipe	AU1404
Site Name	
Points	1998
X-Resolution	0.500751
X-Coord	-2938.84
Y-Coord	34576.99
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	  -9552.34	         0	   17.8458	   17.8458	   17.8458
2	  -9469.62	   82.7148	   102.514	   102.514	   102.514
3	  -9398.24	   154.097	   187.306	   187.306	   187.306
4	  -9318.81	   233.528	   263.211	   263.211	   263.211
5	  -9258.22	   294.119	   318.862	   318.862	   318.862
6	  -9246.83	   305.505	   344.545	   344.545	   344.545
7	  -9277.34	   274.996	   336.953	   336.953	   336.953
8	  -9329.72	    222.62	   298.076	   298.076	   298.076
9	  -9408.84	   143.498	   231.991	   231.991	   231.991
10	  -9531.45	   20.8916	   146.042	   146.042	   146.042
11	  -9653.57	  -101.234	   51.5636	   51.5636	   51.5636
12	  -9755.96	  -203.625	  -40.2007	  -40.2007	  -40.2007
13	  -9867.34	  -315.001	   -120.45	   -120.45	   -120.45
14	  -9945.63	  -393.296	  -182.022	  -182.022	  -182.022
15	  -9992.72	  -440.384	  -220.037	  -220.037	  -220.037
16	  -10026.5	  -474.135	  -231.474	  -231.474	  -231.474
17	  -10025.3	   -472.92	  -213.342	  -213.342	  -213.342
18	  -9987.83	  -435.488	  -164.148	  -164.148	  -164.148
19	  -9911.98	  -359.641	  -87.1907	  -87.1907	  -87.1907
20	  -9814.02	   -261.68	   9.29488	   9.29488	   9.29488
21	  -9721.08	  -168.742	    115.11	    115.11	    115.11
22	  -9609.77	  -57.4287	   219.372	   219.372	   219.372
23	  -9521.93	   30.4131	   309.598	   309.598	   309.598
24	  -9457.09	    95.251	   373.248	   373.248	   373.248
25	  -9440.92	   111.421	     402.2	     402.2	     402.2
26	  -9481.25	   71.0918	    395.51	    395.51	    395.51
27	  -9520.81	   31.5254	   356.211	   356.211	   356.211
28	  -9610.24	  -57.9043	   287.501	   287.501	   287.501
29	  -9731.15	  -178.808	   195.156	   195.156	   195.156
30	  -9864.07	  -311.734	   90.1682	   90.1682	   90.1682
31	  -9997.82	  -445.481	  -13.2873	  -13.2873	  -13.2873
32	  -10110.4	  -558.109	  -101.501	  -101.501	  -101.501
33	  -10192.5	  -640.195	  -164.352	  -164.352	  -164.352
34	  -10233.1	  -680.805	  -196.863	  -196.863	  -196.863
35	  -10251.1	  -698.724	  -198.108	  -198.108	  -198.108
36	  -10233.3	  -680.939	  -169.794	  -169.794	  -169.794
37	  -10179.7	  -627.343	  -117.279	  -117.279	  -117.279
38	    -10111	  -558.632	  -49.2291	  -49.2291	  -49.2291
39	    -10052	  -499.628	   27.1618	   27.1618	   27.1618
40	  -9992.77	  -440.435	   108.449	   108.449	   108.449
41	  -9899.72	  -347.382	   188.746	   188.746	   188.746
42	  -9818.24	  -265.897	   255.193	   255.193	   255.193
43	  -9802.46	  -250.119	   295.615	   295.615	   295.615
44	  -9813.77	  -261.431	    307.45	    307.45	    307.45
45	   -9840.7	  -288.356	   295.918	   295.918	   295.918
46	  -9894.88	  -342.541	   268.554	   268.554	   268.554
47	  -9950.79	  -398.452	   232.332	   232.332	   232.332
48	  -10002.2	  -449.895	   189.869	   189.869	   189.869
49	  -10044.7	  -492.366	   137.233	   137.233	   137.233
