Data	M4
Recipe	AU1404
Site Name	
Points	1998
X-Resolution	0.500751
X-Coord	8747.11
Y-Coord	20000.00
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	  -10581.7	         0	  -6.64876	  -6.64876	  -6.64876
2	    -10532	   49.6201	    5.1936	    5.1936	    5.1936
3	  -10484.5	   97.2139	   15.9947	   15.9947	   15.9947
4	  -10493.6	   88.1152	    20.574	    20.574	    20.574
5	    -10490	   91.6416	   22.2014	   22.2014	   22.2014
6	  -10454.5	   127.143	   25.0535	   25.0535	   25.0535
7	  -10439.7	   141.941	    28.122	    28.122	    28.122
8	  -10426.5	   155.182	   30.2317	   30.2317	   30.2317
9	  -10424.6	    157.06	   33.7775	   33.7775	   33.7775
10	  -10392.3	   189.381	   39.8501	   39.8501	   39.8501
11	  -10354.3	   227.351	   42.9326	   42.9326	   42.9326
12	  -10350.7	   230.987	   35.3322	   35.3322	   35.3322
13	    -10366	   215.672	   17.3988	   17.3988	   17.3988
14	  -10406.3	    175.35	  0.852598	  0.852598	  0.852598
15	  -10396.7	    184.99	  -1.00505	  -1.00505	  -1.00505
16	  -10334.7	   246.964	   11.9758	   11.9758	   11.9758
17	  -10283.2	   298.479	   25.6394	   25.6394	   25.6394
18	  -10274.2	   307.429	   27.0326	   27.0326	   27.0326
19	  -10300.8	   280.899	   16.8077	   16.8077	   16.8077
20	  -10300.7	   280.992	   4.19109	   4.19109	   4.19109
21	  -10290.1	   291.614	  -6.34246	  -6.34246	  -6.34246
22	  -10270.5	   311.185	  -19.6977	  -19.6977	  -19.6977
23	  -10273.4	   308.315	   -41.366	   -41.366	   -41.366
24	  -10334.5	   247.192	  -64.7556	  -64.7556	  -64.7556
25	  -10345.9	   235.767	  -72.7527	  -72.7527	  -72.7527
26	  -10292.2	   289.448	  -56.0621	  -56.0621	  -56.0621
27	  -10211.1	   370.561	  -24.2622	  -24.2622	  -24.2622
28	  -10156.8	    424.87	   4.39543	   4.39543	   4.39543
29	  -10145.4	   436.283	   18.8148	   18.8148	   18.8148
30	    -10128	   453.688	   18.2165	   18.2165	   18.2165
31	  -10132.5	   449.122	   6.32348	   6.32348	   6.32348
32	  -10145.1	   436.563	  -10.5666	  -10.5666	  -10.5666
33	  -10163.2	   418.424	  -22.2754	  -22.2754	  -22.2754
34	  -10156.4	   425.222	  -18.1091	  -18.1091	  -18.1091
35	  -10100.8	   480.888	   4.80624	   4.80624	   4.80624
36	  -10032.1	   549.584	   37.6132	   37.6132	   37.6132
37	  -9975.11	   606.553	   66.9797	   66.9797	   66.9797
38	  -9963.23	   618.432	   86.0861	   86.0861	   86.0861
39	  -9939.06	   642.608	   96.5649	   96.5649	   96.5649
40	  -9916.28	   665.382	   102.113	   102.113	   102.113
41	  -9909.58	   672.083	   105.097	   105.097	   105.097
42	  -9891.13	   690.537	   106.467	   106.467	   106.467
43	  -9870.97	   710.693	   103.823	   103.823	   103.823
44	   -9855.9	   725.764	   91.9294	   91.9294	   91.9294
45	  -9882.49	   699.177	   68.5637	   68.5637	   68.5637
46	  -9910.76	   670.906	   37.7397	   37.7397	   37.7397
47	  -9924.24	   657.426	    5.0979	    5.0979	    5.0979
48	  -9943.22	   638.442	  -25.6335	  -25.6335	  -25.6335
49	  -9967.75	   613.921	  -49.1403	  -49.1403	  -49.1403
50	  -9981.98	   599.684	  -57.0598	  -57.0598	  -57.0598
51	     -9939	   642.665	  -45.7385	  -45.7385	  -45.7385
52	  -9872.24	   709.427	  -23.1316	  -23.1316	  -23.1316
53	  -9833.33	   748.334	  -1.81367	  -1.81367	  -1.81367
54	  -9827.93	    753.74	   13.6663	   13.6663	   13.6663
55	  -9800.15	    781.52	   27.1541	   27.1541	   27.1541
56	  -9764.81	   816.853	    41.075	    41.075	    41.075
57	  -9732.55	   849.111	   51.6625	   51.6625	   51.6625
58	  -9709.09	   872.574	   52.2882	   52.2882	   52.2882
59	   -9711.9	   869.767	   39.2728	   39.2728	   39.2728
60	  -9737.12	   844.548	   16.3583	   16.3583	   16.3583
61	  -9768.41	   813.261	  -6.66519	  -6.66519	  -6.66519
62	  -9757.51	   824.158	  -22.4298	  -22.4298	  -22.4298
63	  -9739.66	   842.006	  -31.9645	  -31.9645	  -31.9645
64	  -9735.81	   845.852	  -38.9418	  -38.9418	  -38.9418
65	  -9745.01	   836.656	  -39.9474	  -39.9474	  -39.9474
66	  -9737.49	   844.178	   -25.771	   -25.771	   -25.771
67	  -9660.72	   920.945	   5.09805	   5.09805	   5.09805
68	  -9575.87	    1005.8	   38.5167	   38.5167	   38.5167
69	   -9538.9	   1042.77	   56.4062	   56.4062	   56.4062
70	  -9558.74	   1022.92	   54.9287	   54.9287	   54.9287
71	  -9580.02	   1001.65	   46.0824	   46.0824	   46.0824
72	  -9560.57	   1021.09	   41.9051	   41.9051	   41.9051
73	  -9525.71	   1055.96	     42.17	     42.17	     42.17
74	  -9507.34	   1074.32	   39.6876	   39.6876	   39.6876
