Data	M5
Recipe	AU1404
Site Name	
Points	1998
X-Resolution	0.500751
X-Coord	8089.26
Y-Coord	-5869.03
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	  -9210.04	         0	   2623.79	   2623.79	   2623.79
2	  -9198.14	   11.8916	   2623.18	   2623.18	   2623.18
3	  -9207.87	   2.16211	      2622	      2622	      2622
4	  -9210.58	 -0.545898	   2623.75	   2623.75	   2623.75
5	  -9191.33	    18.709	   2629.18	   2629.18	   2629.18
6	  -9161.06	   48.9756	    2632.1	    2632.1	    2632.1
7	  -9165.83	   44.2012	   2624.99	   2624.99	   2624.99
8	  -9205.56	   4.47461	   2608.93	   2608.93	   2608.93
9	   -9224.5	   -14.459	   2593.12	   2593.12	   2593.12
10	  -9223.85	  -13.8096	   2585.13	   2585.13	   2585.13
11	  -9218.14	  -8.10449	   2585.49	   2585.49	   2585.49
12	  -9195.85	   14.1885	   2589.36	   2589.36	   2589.36
13	  -9188.69	   21.3506	   2590.76	   2590.76	   2590.76
14	  -9196.16	   13.8799	   2586.74	   2586.74	   2586.74
15	  -9197.67	   12.3682	   2578.56	   2578.56	   2578.56
16	  -9216.07	   -6.0293	   2570.88	   2570.88	   2570.88
17	  -9223.25	  -13.2188	    2569.5	    2569.5	    2569.5
18	  -9197.68	   12.3594	   2575.77	   2575.77	   2575.77
19	  -9168.28	   41.7607	   2583.42	   2583.42	   2583.42
20	  -9165.22	   44.8184	   2584.56	   2584.56	   2584.56
21	   -9180.5	   29.5361	   2577.69	   2577.69	   2577.69
22	  -9193.48	   16.5547	   2567.95	   2567.95	   2567.95
23	  -9200.73	   9.30859	   2561.61	   2561.61	   2561.61
24	  -9195.63	   14.4072	   2560.94	   2560.94	   2560.94
25	  -9172.05	   37.9893	   2562.37	   2562.37	   2562.37
26	  -9169.69	   40.3506	   2560.05	   2560.05	   2560.05
27	  -9186.17	   23.8652	   2552.29	   2552.29	   2552.29
28	  -9194.84	   15.1953	   2543.02	   2543.02	   2543.02
29	  -9205.55	   4.48438	   2537.32	   2537.32	   2537.32
30	  -9190.72	   19.3154	   2536.59	   2536.59	   2536.59
31	  -9180.87	    29.166	   2537.41	   2537.41	   2537.41
32	  -9175.71	   34.3311	   2534.67	   2534.67	   2534.67
33	   -9179.3	   30.7314	      2526	      2526	      2526
34	  -9209.22	    0.8125	   2514.24	   2514.24	   2514.24
35	  -9209.34	  0.699219	   2504.66	   2504.66	   2504.66
36	  -9207.67	   2.36816	   2499.89	   2499.89	   2499.89
37	  -9206.09	   3.94141	   2499.47	   2499.47	   2499.47
38	  -9197.85	   12.1855	   2501.95	   2501.95	   2501.95
39	  -9185.93	   24.1094	    2504.8	    2504.8	    2504.8
40	  -9173.44	   36.5938	   2504.99	   2504.99	   2504.99
41	  -9190.14	   19.8926	   2502.16	   2502.16	   2502.16
42	  -9187.27	   22.7695	   2499.35	   2499.35	   2499.35
43	  -9183.56	   26.4766	   2499.24	   2499.24	   2499.24
44	  -9176.26	   33.7715	    2501.5	    2501.5	    2501.5
45	  -9160.95	    49.084	   2503.42	   2503.42	   2503.42
46	  -9161.73	   48.3066	   2501.76	   2501.76	   2501.76
47	   -9163.9	   46.1328	   2494.74	   2494.74	   2494.74
48	  -9172.23	   37.8047	   2482.86	   2482.86	   2482.86
49	  -9192.58	   17.4512	   2469.72	   2469.72	   2469.72
50	  -9211.42	  -1.38086	    2461.3	    2461.3	    2461.3
51	  -9194.43	   15.6035	   2460.65	   2460.65	   2460.65
52	  -9172.38	   37.6582	    2464.3	    2464.3	    2464.3
53	  -9175.19	   34.8428	   2467.09	   2467.09	   2467.09
54	  -9170.98	   39.0547	   2467.27	   2467.27	   2467.27
55	  -9166.52	   43.5205	   2465.23	   2465.23	   2465.23
56	  -9169.31	   40.7236	   2461.23	   2461.23	   2461.23
57	  -9172.91	   37.1221	   2455.48	   2455.48	   2455.48
58	  -9171.64	   38.3926	   2448.29	   2448.29	   2448.29
59	  -9182.36	   27.6777	   2440.81	   2440.81	   2440.81
60	  -9192.17	   17.8623	   2435.71	   2435.71	   2435.71
61	  -9179.46	   30.5752	   2434.97	   2434.97	   2434.97
62	  -9175.58	    34.459	   2437.61	   2437.61	   2437.61
63	  -9160.69	   49.3477	   2440.26	   2440.26	   2440.26
64	  -9153.04	   56.9912	   2438.86	   2438.86	   2438.86
65	  -9161.45	   48.5889	   2431.37	   2431.37	   2431.37
66	  -9177.38	   32.6602	   2419.93	   2419.93	   2419.93
67	  -9191.89	   18.1475	   2409.38	   2409.38	   2409.38
68	  -9187.05	   22.9824	   2403.28	   2403.28	   2403.28
69	  -9190.14	   19.8994	   2402.12	   2402.12	   2402.12
70	  -9173.33	   36.7012	   2403.98	   2403.98	   2403.98
71	   -9167.7	   42.3408	   2406.28	   2406.28	   2406.28
72	  -9168.24	   41.7988	    2408.1	    2408.1	    2408.1
73	  -9159.92	   50.1152	   2410.54	   2410.54	   2410.54
74	  -9156.69	   53.3447	   2414.82	   2414.82	   2414.82
75	  -9140.28	   69.7568	   2420.33	   2420.33	   2420.33
76	  -9127.57	   82.4648	   2424.38	   2424.38	   2424.38
77	  -9124.12	    85.916	   2424.43	   2424.43	   2424.43
78	  -9131.09	   78.9453	   2420.68	   2420.68	   2420.68
79	  -9134.75	   75.2852	   2415.74	   2415.74	   2415.74
80	  -9135.55	   74.4883	   2411.84	   2411.84	   2411.84
81	  -9130.09	   79.9482	   2408.82	   2408.82	   2408.82
82	  -9126.37	   83.6709	   2404.62	   2404.62	   2404.62
83	   -9133.9	   76.1406	    2397.8	    2397.8	    2397.8
84	  -9139.08	   70.9531	   2389.33	   2389.33	   2389.33
85	  -9152.59	   57.4424	   2382.38	   2382.38	   2382.38
86	  -9149.24	    60.793	   2380.08	   2380.08	   2380.08
87	  -9139.53	   70.5107	   2382.31	   2382.31	   2382.31
88	  -9121.61	   88.4287	   2384.37	   2384.37	   2384.37
89	  -9111.85	   98.1885	   2380.47	   2380.47	   2380.47
90	  -9141.83	   68.2041	    2370.5	    2370.5	    2370.5
91	  -9159.23	   50.8066	   2361.33	   2361.33	   2361.33
92	   -9148.3	   61.7383	   2358.61	   2358.61	   2358.61
93	  -9130.81	   79.2246	   2360.27	   2360.27	   2360.27
94	  -9123.04	   86.9941	   2360.16	   2360.16	   2360.16
95	  -9129.88	   80.1523	   2354.97	   2354.97	   2354.97
96	  -9142.28	   67.7578	   2346.49	   2346.49	   2346.49
97	   -9148.5	   61.5381	   2338.75	   2338.75	   2338.75
98	  -9149.04	   60.9941	   2334.31	   2334.31	   2334.31
99	  -9142.51	   67.5244	   2332.59	   2332.59	   2332.59
100	  -9134.01	   76.0283	   2330.74	   2330.74	   2330.74
101	  -9137.63	   72.4063	   2326.38	   2326.38	   2326.38
102	  -9144.49	   65.5449	   2320.31	   2320.31	   2320.31
103	  -9153.79	   56.2422	   2316.16	   2316.16	   2316.16
104	  -9147.16	    62.876	   2316.85	   2316.85	   2316.85
105	  -9128.82	   81.2188	   2321.06	   2321.06	   2321.06
106	  -9116.05	   93.9863	   2323.77	   2323.77	   2323.77
107	  -9115.88	   94.1611	    2320.7	    2320.7	    2320.7
108	  -9127.99	    82.043	   2311.79	   2311.79	   2311.79
109	  -9140.41	   69.6221	    2301.4	    2301.4	    2301.4
110	  -9156.15	   53.8887	   2295.63	   2295.63	   2295.63
111	  -9140.64	   69.3994	   2297.34	   2297.34	   2297.34
112	  -9114.19	   95.8506	   2302.99	   2302.99	   2302.99
113	  -9110.69	   99.3496	   2306.91	   2306.91	   2306.91
114	  -9115.27	   94.7627	   2307.56	   2307.56	   2307.56
115	  -9109.81	   100.223	   2306.87	   2306.87	   2306.87
116	  -9105.56	   104.478	   2306.05	   2306.05	   2306.05
117	  -9103.28	   106.756	   2304.67	   2304.67	   2304.67
118	  -9102.08	    107.96	   2301.69	   2301.69	   2301.69
119	  -9100.02	   110.015	   2295.41	   2295.41	   2295.41
120	  -9103.16	   106.873	   2284.72	   2284.72	   2284.72
121	  -9131.49	    78.542	   2272.37	   2272.37	   2272.37
122	  -9142.42	   67.6162	   2264.67	   2264.67	   2264.67
123	  -9127.01	   83.0283	   2264.99	   2264.99	   2264.99
124	  -9112.11	   97.9229	   2269.52	   2269.52	   2269.52
125	  -9088.79	   121.246	   2270.42	   2270.42	   2270.42
126	  -9106.74	     103.3	   2263.48	   2263.48	   2263.48
127	  -9129.63	   80.4053	   2252.71	   2252.71	   2252.71
128	  -9136.31	   73.7275	    2245.9	    2245.9	    2245.9
129	  -9124.23	   85.8027	   2246.56	   2246.56	   2246.56
130	  -9105.85	   104.189	   2251.89	   2251.89	   2251.89
131	  -9098.27	   111.768	   2256.56	   2256.56	   2256.56
132	  -9084.89	   125.148	   2256.73	   2256.73	   2256.73
133	  -9100.09	   109.949	   2252.19	   2252.19	   2252.19
134	  -9105.86	   104.176	    2245.9	    2245.9	    2245.9
135	  -9102.56	   107.473	      2240	      2240	      2240
136	  -9101.28	    108.76	   2233.26	   2233.26	   2233.26
137	  -9105.96	   104.074	    2223.6	    2223.6	    2223.6
138	  -9123.51	   86.5264	   2211.74	   2211.74	   2211.74
139	  -9134.88	   75.1602	   2201.65	   2201.65	   2201.65
140	  -9139.46	   70.5801	   2197.01	   2197.01	   2197.01
141	  -9121.25	   88.7852	   2197.81	   2197.81	   2197.81
142	  -9116.67	   93.3711	   2200.83	   2200.83	   2200.83
143	  -9108.28	   101.755	   2202.83	   2202.83	   2202.83
144	  -9101.16	   108.881	   2202.37	   2202.37	   2202.37
145	  -9113.02	   97.0137	    2200.2	    2200.2	    2200.2
146	  -9104.63	   105.402	      2198	      2198	      2198
147	  -9102.62	   107.421	    2195.5	    2195.5	    2195.5
148	  -9096.51	   113.527	   2190.17	   2190.17	   2190.17
149	  -9106.26	   103.777	   2180.53	   2180.53	   2180.53
150	  -9127.02	   83.0127	   2168.65	   2168.65	   2168.65
151	  -9129.81	   80.2275	   2158.57	   2158.57	   2158.57
152	  -9135.43	   74.6064	   2152.81	   2152.81	   2152.81
153	  -9128.27	   81.7676	   2151.36	   2151.36	   2151.36
154	  -9121.54	    88.499	    2152.7	    2152.7	    2152.7
155	  -9114.61	   95.4238	   2155.56	   2155.56	   2155.56
156	  -9110.68	   99.3535	   2160.63	   2160.63	   2160.63
157	   -9104.3	   105.737	   2169.59	   2169.59	   2169.59
158	  -9074.24	   135.801	   2181.39	   2181.39	   2181.39
159	  -9051.39	   158.646	   2190.57	   2190.57	   2190.57
160	  -9048.33	   161.711	   2191.83	   2191.83	   2191.83
161	  -9060.91	   149.128	   2185.25	   2185.25	   2185.25
162	  -9073.12	   136.916	   2176.23	   2176.23	   2176.23
163	  -9086.75	   123.283	   2170.82	   2170.82	   2170.82
164	  -9062.23	   147.802	   2170.16	   2170.16	   2170.16
165	  -9054.86	   155.181	   2170.45	   2170.45	   2170.45
166	  -9066.02	   144.016	   2169.16	   2169.16	   2169.16
167	  -9060.25	    149.79	   2167.13	   2167.13	   2167.13
168	  -9055.28	   154.759	   2164.63	   2164.63	   2164.63
169	  -9050.38	   159.652	   2160.66	   2160.66	   2160.66
170	  -9072.37	   137.665	   2156.01	   2156.01	   2156.01
171	  -9055.97	   154.064	   2152.15	   2152.15	   2152.15
172	  -9052.03	   158.009	   2148.59	   2148.59	   2148.59
173	  -9072.11	   137.927	   2145.25	   2145.25	   2145.25
174	  -9054.51	   155.528	   2142.86	   2142.86	   2142.86
175	  -9052.88	   157.156	   2138.91	   2138.91	   2138.91
176	  -9046.59	   163.443	   2128.93	   2128.93	   2128.93
177	  -9079.55	   130.484	   2112.53	   2112.53	   2112.53
178	  -9102.82	   107.219	   2095.31	   2095.31	   2095.31
179	  -9103.88	   106.156	    2083.5	    2083.5	    2083.5
180	  -9114.33	   95.7041	   2079.39	   2079.39	   2079.39
181	  -9087.41	   122.622	   2081.33	   2081.33	   2081.33
182	  -9091.75	   118.285	   2085.94	   2085.94	   2085.94
183	  -9070.86	   139.173	   2090.65	   2090.65	   2090.65
184	  -9070.93	   139.107	   2094.48	   2094.48	   2094.48
185	  -9065.81	   144.223	   2097.72	   2097.72	   2097.72
186	  -9049.78	   160.254	   2100.91	   2100.91	   2100.91
187	  -9060.65	   149.389	   2104.12	   2104.12	   2104.12
188	  -9028.51	   181.527	   2106.09	   2106.09	   2106.09
189	  -9040.25	    169.79	   2104.73	   2104.73	   2104.73
190	  -9042.18	   167.854	    2100.3	    2100.3	    2100.3
191	   -9045.4	   164.632	   2095.47	   2095.47	   2095.47
192	  -9051.57	   158.465	   2091.77	   2091.77	   2091.77
193	  -9026.87	   183.165	   2087.36	   2087.36	   2087.36
194	  -9051.13	   158.909	   2079.69	   2079.69	   2079.69
195	  -9052.46	   157.577	    2070.1	    2070.1	    2070.1
196	  -9069.61	   140.426	   2063.39	   2063.39	   2063.39
197	  -9067.27	   142.765	   2063.59	   2063.59	   2063.59
198	   -9037.1	   172.934	   2069.56	   2069.56	   2069.56
199	  -9030.46	   179.572	   2075.51	   2075.51	   2075.51
200	  -9014.03	   196.011	   2076.63	   2076.63	   2076.63
201	  -9037.32	   172.719	   2073.31	   2073.31	   2073.31
202	  -9032.48	   177.553	   2069.33	   2069.33	   2069.33
203	  -9026.14	   183.893	   2066.54	   2066.54	   2066.54
204	  -9026.92	   183.112	   2063.59	   2063.59	   2063.59
