Data	M6
Recipe	AU1404
Site Name	
Points	1998
X-Resolution	0.500751
X-Coord	-5071.07
Y-Coord	-5982.30
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	  -14149.1	         0	    108.69	    108.69	    108.69
2	  -14114.8	   34.3145	   112.125	   112.125	   112.125
3	  -14110.1	   38.9512	   114.541	   114.541	   114.541
4	  -14120.5	   28.5791	   113.973	   113.973	   113.973
5	    -14119	   30.0693	   113.001	   113.001	   113.001
6	    -14109	   40.1211	   113.716	   113.716	   113.716
7	  -14103.2	   45.9004	   115.537	   115.537	   115.537
8	  -14101.8	   47.2441	    117.14	    117.14	    117.14
9	  -14088.7	   60.4336	     116.8	     116.8	     116.8
10	  -14090.3	    58.752	   112.086	   112.086	   112.086
11	  -14098.8	   50.2803	   101.648	   101.648	   101.648
12	  -14113.6	   35.4893	   86.6337	   86.6337	   86.6337
13	  -14132.7	   16.3457	   70.1334	   70.1334	   70.1334
14	  -14145.1	    3.9668	    55.677	    55.677	    55.677
15	  -14153.4	  -4.32617	   45.7373	   45.7373	   45.7373
16	  -14151.5	  -2.38867	   41.1104	   41.1104	   41.1104
17	  -14149.5	 -0.416016	   41.2108	   41.2108	   41.2108
18	    -14136	   13.1113	   44.7861	   44.7861	   44.7861
19	  -14130.9	   18.2314	   51.0805	   51.0805	   51.0805
20	    -14121	    28.127	   60.4981	   60.4981	   60.4981
21	    -14099	   50.0977	   72.9204	   72.9204	   72.9204
22	  -14080.4	    68.668	   85.4786	   85.4786	   85.4786
23	  -14053.5	   95.6006	   93.3423	   93.3423	   93.3423
24	  -14061.1	   88.0293	    94.326	    94.326	    94.326
25	  -14078.9	   70.2354	   91.9046	   91.9046	   91.9046
26	    -14061	   88.0537	   90.4227	   90.4227	   90.4227
27	  -14056.5	   92.6084	   90.0271	   90.0271	   90.0271
28	  -14061.5	   87.5869	   89.0876	   89.0876	   89.0876
29	  -14052.2	   96.9063	   86.6855	   86.6855	   86.6855
30	  -14052.5	   96.6377	   82.1137	   82.1137	   82.1137
31	  -14064.4	   84.7217	   76.0695	   76.0695	   76.0695
32	  -14068.3	   80.7744	   70.7877	   70.7877	   70.7877
33	    -14059	   90.1318	   67.1404	   67.1404	   67.1404
34	  -14061.7	   87.4258	   64.2892	   64.2892	   64.2892
35	  -14065.5	   83.5459	    62.144	    62.144	    62.144
36	  -14058.9	   90.1719	   60.8251	   60.8251	   60.8251
37	    -14049	   100.141	   58.7841	   58.7841	   58.7841
38	  -14055.9	   93.2178	   55.1736	   55.1736	   55.1736
39	  -14068.6	    80.501	   53.0537	   53.0537	   53.0537
40	  -14058.5	   90.5908	   56.4008	   56.4008	   56.4008
41	  -14033.6	   115.503	   64.5758	   64.5758	   64.5758
42	  -14018.4	   130.653	   73.0932	   73.0932	   73.0932
43	    -14017	   132.048	   78.6092	   78.6092	   78.6092
44	  -14003.8	   145.267	   80.0013	   80.0013	   80.0013
45	  -14004.6	   144.502	   76.9845	   76.9845	   76.9845
46	  -14016.3	   132.808	   71.2562	   71.2562	   71.2562
47	    -14023	    126.05	   66.6149	   66.6149	   66.6149
48	  -14013.8	   135.241	   65.5534	   65.5534	   65.5534
49	  -14006.4	   142.733	   67.5407	   67.5407	   67.5407
50	  -14002.1	   147.004	   71.0587	   71.0587	   71.0587
51	  -13990.9	   158.215	   74.8524	   74.8524	   74.8524
52	  -13983.2	   165.912	   76.9712	   76.9712	   76.9712
53	  -13974.9	   174.164	    74.854	    74.854	    74.854
54	  -13985.7	    163.38	   67.6859	   67.6859	   67.6859
55	  -14000.5	   148.544	   57.9638	   57.9638	   57.9638
56	    -14003	   146.059	   49.3639	   49.3639	   49.3639
57	  -14007.1	   141.982	   43.9315	   43.9315	   43.9315
58	  -14002.9	   146.198	   42.0767	   42.0767	   42.0767
59	    -14001	   148.091	   43.5765	   43.5765	   43.5765
60	    -13989	   160.063	   47.3069	   47.3069	   47.3069
61	  -13975.3	   173.821	   50.7244	   50.7244	   50.7244
62	  -13974.1	   174.956	    51.439	    51.439	    51.439
63	  -13974.2	   174.876	   49.7078	   49.7078	   49.7078
64	  -13981.3	   167.771	   48.7514	   48.7514	   48.7514
65	  -13975.9	   173.208	   52.1567	   52.1567	   52.1567
66	  -13954.2	   194.896	   60.4058	   60.4058	   60.4058
67	  -13940.3	   208.805	   70.2144	   70.2144	   70.2144
68	  -13920.5	   228.625	   76.8493	   76.8493	   76.8493
69	  -13917.9	   231.164	   76.9879	   76.9879	   76.9879
70	    -13930	   219.103	   70.9236	   70.9236	   70.9236
71	  -13936.4	   212.672	   61.9534	   61.9534	   61.9534
72	  -13944.5	   204.627	   53.4873	   53.4873	   53.4873
73	  -13947.9	    201.16	   47.0631	   47.0631	   47.0631
74	  -13941.5	   207.624	   41.8191	   41.8191	   41.8191
75	  -13945.1	   204.008	   35.7526	   35.7526	   35.7526
76	  -13952.7	   196.386	   28.1549	   28.1549	   28.1549
77	  -13956.8	   192.261	    20.355	    20.355	    20.355
78	  -13966.7	   182.343	   14.5443	   14.5443	   14.5443
79	  -13959.7	   189.432	   12.1828	   12.1828	   12.1828
80	  -13954.9	   194.215	   13.5078	   13.5078	   13.5078
81	  -13951.7	   197.437	   18.8233	   18.8233	   18.8233
82	  -13937.4	    211.69	   28.1094	   28.1094	   28.1094
83	  -13909.8	   239.285	   38.2461	   38.2461	   38.2461
84	  -13893.5	   255.569	   43.8643	   43.8643	   43.8643
85	  -13905.5	   243.612	    42.855	    42.855	    42.855
86	  -13912.3	   236.838	   38.1126	   38.1126	   38.1126
87	  -13905.9	    243.16	   33.0773	   33.0773	   33.0773
88	  -13912.4	    236.67	   29.4757	   29.4757	   29.4757
89	  -13916.7	   232.354	   28.5951	   28.5951	   28.5951
90	  -13896.2	    252.92	   30.0416	   30.0416	   30.0416
91	  -13893.3	   255.808	   30.6797	   30.6797	   30.6797
92	  -13891.8	   257.258	   27.4667	   27.4667	   27.4667
93	  -13895.5	   253.604	   20.0529	   20.0529	   20.0529
94	  -13914.2	   234.914	   11.1174	   11.1174	   11.1174
95	  -13915.6	   233.457	   4.40306	   4.40306	   4.40306
96	  -13911.5	   237.603	   1.48966	   1.48966	   1.48966
97	  -13906.2	   242.899	   1.42904	   1.42904	   1.42904
98	  -13903.5	   245.622	   2.92391	   2.92391	   2.92391
99	  -13894.6	   254.459	   5.16002	   5.16002	   5.16002
100	  -13888.4	    260.74	   7.26596	   7.26596	   7.26596
101	  -13884.1	   264.994	   8.46351	   8.46351	   8.46351
102	  -13878.9	   270.213	   8.88665	   8.88665	   8.88665
103	  -13883.5	   265.604	   10.0079	   10.0079	   10.0079
104	    -13873	   276.087	   13.2766	   13.2766	   13.2766
105	  -13857.4	   291.706	   17.9156	   17.9156	   17.9156
106	  -13854.3	   294.744	    21.141	    21.141	    21.141
107	  -13840.9	   308.196	   19.8868	   19.8868	   19.8868
108	  -13850.5	   298.549	   12.6129	   12.6129	   12.6129
109	  -13865.9	   283.209	    1.6197	    1.6197	    1.6197
110	  -13881.5	   267.572	  -7.20362	  -7.20362	  -7.20362
111	  -13881.7	   267.436	  -8.77661	  -8.77661	  -8.77661
112	  -13856.2	   292.887	  -3.26062	  -3.26062	  -3.26062
113	    -13844	   305.135	   5.01097	   5.01097	   5.01097
114	  -13835.1	   313.993	    12.586	    12.586	    12.586
115	  -13825.9	   323.238	   18.7016	   18.7016	   18.7016
116	  -13815.5	   333.637	   23.3212	   23.3212	   23.3212
117	  -13809.4	    339.73	   26.0359	   26.0359	   26.0359
118	  -13806.3	   342.756	   26.5369	   26.5369	   26.5369
119	    -13805	   344.059	     24.47	     24.47	     24.47
120	  -13799.7	   349.417	   18.9778	   18.9778	   18.9778
121	    -13813	   336.086	   10.2163	   10.2163	   10.2163
122	  -13827.3	   321.831	   1.04893	   1.04893	   1.04893
123	  -13826.3	   322.782	  -4.96685	  -4.96685	  -4.96685
124	  -13826.6	   322.524	  -7.04142	  -7.04142	  -7.04142
125	  -13810.1	   338.966	  -7.94549	  -7.94549	  -7.94549
126	  -13812.5	   336.619	  -11.5573	  -11.5573	  -11.5573
127	    -13819	   330.054	  -18.9732	  -18.9732	  -18.9732
128	  -13832.7	   316.363	  -26.8997	  -26.8997	  -26.8997
129	  -13841.4	   307.729	  -29.8811	  -29.8811	  -29.8811
130	  -13822.5	   326.595	  -24.5022	  -24.5022	  -24.5022
131	  -13810.4	   338.725	  -12.0041	  -12.0041	  -12.0041
132	  -13772.1	   377.031	   1.96995	   1.96995	   1.96995
133	  -13757.7	   391.383	   10.1867	   10.1867	   10.1867
134	  -13761.7	   387.419	   9.04688	   9.04688	   9.04688
135	  -13771.9	   377.205	   1.69683	   1.69683	   1.69683
136	  -13797.2	   351.879	  -4.49564	  -4.49564	  -4.49564
137	  -13773.4	   375.702	  -4.34975	  -4.34975	  -4.34975
138	  -13765.9	   383.208	   1.59846	   1.59846	   1.59846
139	  -13755.2	   393.895	   9.76219	   9.76219	   9.76219
