wl,n,k
1.879E-07,1.28,1.188
1.916E-07,1.32,1.203
1.953E-07,1.34,1.226
1.993E-07,1.33,1.251
2.033E-07,1.33,1.277
2.073E-07,1.3,1.304
2.119E-07,1.3,1.35
2.164E-07,1.3,1.387
2.214E-07,1.3,1.427
2.262E-07,1.31,1.46
2.313E-07,1.3,1.497
2.371E-07,1.32,1.536
2.426E-07,1.32,1.577
2.49E-07,1.33,1.631
2.551E-07,1.33,1.688
2.616E-07,1.35,1.749
2.689E-07,1.38,1.803
2.761E-07,1.43,1.847
2.844E-07,1.47,1.869
2.924E-07,1.49,1.878
3.009E-07,1.53,1.889
3.107E-07,1.53,1.893
3.204E-07,1.54,1.898
3.315E-07,1.48,1.883
3.425E-07,1.48,1.871
3.542E-07,1.5,1.866
3.679E-07,1.48,1.895
3.815E-07,1.46,1.933
3.974E-07,1.47,1.952
4.133E-07,1.46,1.958
4.305E-07,1.45,1.948
4.509E-07,1.38,1.914
4.714E-07,1.31,1.849
4.959E-07,1.04,1.833
5.209E-07,0.62,2.081
5.486E-07,0.43,2.455
5.821E-07,0.29,2.863
6.168E-07,0.21,3.272
6.595E-07,0.14,3.697
7.045E-07,0.13,4.103
7.56E-07,0.14,4.542
8.211E-07,0.16,5.083
0.000000892,0.17,5.663
0.000000984,0.22,6.35
0.000001088,0.27,7.15
0.000001216,0.35,8.145
0.000001393,0.43,9.519
0.00000161,0.56,11.21
0.000001937,0.92,13.78
