eV ;cm^-1;Angstrom;exp_lenght;n;k;exp_k
 9,919.00 ;0;1.250;-10.00 ; 0.9999719 ;2.39;-6.00 
 9,184.00 ;0;1.350;-10.00 ; 0.9999665 ;3.13;-6.00 
 8,551.00 ;0;1.450;-10.00 ; 0.9999608 ;4.02;-6.00 
 8,266.00 ;0;1.500;-10.00 ; 0.9999578 ;4.52;-6.00 
 7,085.00 ;0;1.750;-10.00 ; 0.9999415 ;7.78;-6.00 
 6,199.00 ;0;2.000;-10.00 ; 0.9999227 ;1.25;-5.00 
 4,959.00 ;0;2.500;-10.00 ; 0.9998790 ;2.75;-5.00 
 4,133.00 ;0;3.000;-10.00 ; 0.9998310 ;5.25;-5.00 
 3,542.00 ;0;3.500;-10.00 ; 0.9997940 ;9.07;-5.00 
 3,100.00 ;0;4.000;-10.00 ; 0.9997690 ;1.2;-4.00 
 2,480.00 ;0;5.000;-10.00 ; 0.9997060 ;2.36;-4.00 
 2,066.00 ;0;6.000;-10.00 ; 0.9996370 ;9.88;-5.00 
 1,771.00 ;0;7.000;-10.00 ; 0.9993950 ;1.68;-4.00 
 1,550.00 ;0;8.000;-10.00 ; 0.9991560 ;2.67;-4.00 
 1,487.00 ;0;8.340;-10.00 ; 0.9990850 ;3.1;-4.00 
 1,254.00 ;0;9.890;-10.00 ; 0.9988500 ;4.4;-4.00 
 1,188.00 ;0;10.440;-10.00 ; 0.9987100 ;5.33;-4.00 
 1,012.00 ;0;12.250;-10.00 ; 0.9982000 ;9.4;-4.00 
 929.40 ;0;13.340;-10.00 ; 0.9978800 ;1.23;-3.00 
 851.50 ;0;14.560;-10.00 ; 0.9975900 ;1.57;-3.00 
 776.40 ;0;15.970;-10.00 ; 0.9973400 ;1.86;-3.00 
 704.90 ;0;17.590;-10.00 ; 0.9970800 ;2.34;-3.00 
 637.50 ;0;19.450;-10.00 ; 0.9966500 ;2.68;-3.00 
 572.90 ;0;21.640;-10.00 ; 0.9965200 ;2.85;-3.00 
 524.90 ;0;23.620;-10.00 ; 0.9962400 ;3.76;-3.00 
 500.30 ;0;24.780;-10.00 ; 0.9960000 ;5.6;-3.00 
 452.20 ;0;27.420;-10.00 ; 0.9959200 ;6.1;-3.00 
 395.40 ;0;31.360;-10.00 ; 0.9952500 ;6.15;-3.00 
 300.00 ;0;41.330;-10.00 ; 0.9910000 ;8.95;-3.00 
 260.00 ;0;47.690;-10.00 ; 0.9880000 ;1.06;-2.00 
 220.00 ;0;56.360;-10.00 ; 0.9860000 ;1.18;-2.00 
 200.00 ;0;61.990;-10.00 ; 0.9830000 ;1.15;-2.00 
 180.00 ;0;68.880;-10.00 ; 0.9790000 ;1.07;-2.00 
 150.00 ;0;82.650;-10.00 ; 0.9630000 ;1.01;-2.00 
 120.00 ;0;103.300;-10.00 ; 0.9290000 ;1.78;-2.00 
 110.00 ;0;112.700;-10.00 ; 0.9110000 ;2.83;-2.00 
 105.00 ;0;118.100;-10.00 ; 0.9000000 ;3.53;-2.00 
 100.00 ;0;124.000;-10.00 ; 0.8890000 ;4.54;-2.00 
 88.00 ;0;140.900;-10.00 ; 0.8890000 ;5.54;-2.00 
 87.50 ;0;141.700;-10.00 ; 0.8880000 ;5.58;-2.00 
 87.00 ;0;142.500;-10.00 ; 0.8870000 ;5.76;-2.00 
 86.00 ;0;144.200;-10.00 ; 0.8860000 ;6.13;-2.00 
 85.00 ;0;145.900;-10.00 ; 0.8870000 ;6.48;-2.00 
 84.50 ;0;146.700;-10.00 ; 0.8880000 ;6.54;-2.00 
 84.00 ;0;147.600;-10.00 ; 0.8880000 ;6.33;-2.00 
 83.50 ;0;148.500;-10.00 ; 0.8850000 ;6.37;-2.00 
 83.00 ;0;149.400;-10.00 ; 0.8840000 ;6.53;-2.00 
 82.00 ;0;151.200;-10.00 ; 0.8810000 ;6.82;-2.00 
 80.00 ;0;155.000;-10.00 ; 0.8780000 ;7.52;-2.00 
 78.00 ;0;158.900;-10.00 ; 0.8750000 ;8.18;-2.00 
 76.00 ;0;163.100;-10.00 ; 0.8730000 ;8.71;-2.00 
 74.00 ;0;167.500;-10.00 ; 0.8690000 ;9.27;-2.00 
 72.00 ;0;172.200;-10.00 ; 0.8620000 ;9.97;-2.00 
 70.00 ;0;177.100;-10.00 ; 0.8570000 ;0.112;0
 68.00 ;0;182.300;-10.00 ; 0.8550000 ;0.124;0
 66.00 ;0;187.800;-10.00 ; 0.8560000 ;0.136;0
 64.00 ;0;193.700;-10.00 ; 0.8570000 ;0.147;0
 62.00 ;0;200.000;-10.00 ; 0.8590000 ;0.156;0
 60.00 ;0;206.600;-10.00 ; 0.8630000 ;0.162;0
 58.00 ;0;213.800;-10.00 ; 0.8610000 ;0.166;0
 56.00 ;0;221.400;-10.00 ; 0.8560000 ;0.171;0
 54.00 ;0;229.600;-10.00 ; 0.8480000 ;0.18;0
 52.00 ;0;238.400;-10.00 ; 0.8390000 ;0.19;0
 50.00 ;0;248.000;-10.00 ; 0.8280000 ;0.204;0
 49.00 ;0;253.000;-10.00 ; 0.8210000 ;0.213;0
 48.00 ;0;258.300;-10.00 ; 0.8140000 ;0.225;0
 47.00 ;0;263.800;-10.00 ; 0.8090000 ;0.238;0
 46.00 ;0;269.500;-10.00 ; 0.8050000 ;0.254;0
 45.00 ;0;275.500;-10.00 ; 0.8050000 ;0.27;0
 44.00 ;0;281.800;-10.00 ; 0.8070000 ;0.282;0
 43.00 ;0;288.300;-10.00 ; 0.8070000 ;0.292;0
 42.00 ;0;295.200;-10.00 ; 0.8040000 ;0.303;0
 41.00 ;0;302.400;-10.00 ; 0.7990000 ;0.317;0
 40.00 ;0;309.900;-10.00 ; 0.7950000 ;0.334;0
 39.00 ;0;317.900;-10.00 ; 0.7930000 ;0.353;0
 38.00 ;0;326.300;-10.00 ; 0.7910000 ;0.371;0
 37.00 ;0;335.100;-10.00 ; 0.7880000 ;0.391;0
 36.00 ;0;344.400;-10.00 ; 0.7860000 ;0.414;0
 35.00 ;0;354.200;-10.00 ; 0.7830000 ;0.439;0
 34.00 ;0;364.600;-10.00 ; 0.7790000 ;0.473;0
 33.00 ;0;375.700;-10.00 ; 0.7810000 ;0.515;0
 32.00 ;0;387.400;-10.00 ; 0.8050000 ;0.57;0
 31.00 ;0;399.900;-10.00 ; 0.8510000 ;0.596;0
 30.50 ;0;406.500;-10.00 ; 0.8700000 ;0.601;0
 30.00 ;0;413.300;-10.00 ; 0.8870000 ;0.603;0
 29.50 ;0;420.300;-10.00 ; 0.9000000 ;0.601;0
 29.00 ;0;427.500;-10.00 ; 0.9050000 ;0.599;0
 28.00 ;0;442.800;-10.00 ; 0.9010000 ;0.607;0
 27.00 ;0;459.200;-10.00 ; 0.8950000 ;0.635;0
 26.38 ;0;0.047;-6.00 ; 0.8550000 ;0.548;0
 26.00 ;0;0.048;-6.00 ; 0.8960000 ;0.679;0
 25.83 ;0;0.048;-6.00 ; 0.8460000 ;0.565;0
 25.30 ;0;0.049;-6.00 ; 0.8460000 ;0.6;0
 24.80 ;0;0.050;-6.00 ; 0.8500000 ;0.645;0
 24.31 ;0;0.051;-6.00 ; 0.8600000 ;0.695;0
 23.84 ;0;0.052;-6.00 ; 0.8720000 ;0.74;0
 23.39 ;0;0.053;-6.00 ; 0.8900000 ;0.795;0
 22.96 ;0;0.054;-6.00 ; 0.9150000 ;0.825;0
 22.54 ;0;0.055;-6.00 ; 0.9500000 ;0.84;0
 22.14 ;0;0.056;-6.00 ; 0.9850000 ;0.848;0
 21.75 ;0;0.057;-6.00 ; 1.0220000 ;0.85;0
 21.38 ;0;0.058;-6.00 ; 1.0550000 ;0.842;0
 21.01 ;0;0.059;-6.00 ; 1.0850000 ;0.83;0
 20.66 ;0;0.060;-6.00 ; 1.1130000 ;0.813;0
 20.33 ;0;0.061;-6.00 ; 1.1340000 ;0.795;0
 20.00 ;0;0.062;-6.00 ; 1.1460000 ;0.77;0
 19.68 ;0;0.063;-6.00 ; 1.1530000 ;0.75;0
 19.37 ;0;0.064;-6.00 ; 1.1570000 ;0.73;0
 19.07 ;0;0.065;-6.00 ; 1.1550000 ;0.71;0
 18.79 ;0;0.066;-6.00 ; 1.1400000 ;0.7;0
 18.51 ;0;0.067;-6.00 ; 1.1250000 ;0.694;0
 18.23 ;0;0.068;-6.00 ; 1.1070000 ;0.687;0
 17.97 ;0;0.069;-6.00 ; 1.0880000 ;0.68;0
 17.71 ;0;0.070;-6.00 ; 1.0750000 ;0.678;0
